,entity,class_target
0,Athens,AdministrativeRegion
1,Algiers,City
2,Atlanta,City
3,Chicago,City
4,Cleveland,City
5,Detroit,City
6,Guatemala_City,City
7,Houston,City
8,Pittsburgh,City
9,St._Louis,City
10,Minneapolis,City
11,Seattle,City
12,Djibouti,Country
13,Hong_Kong,Country
14,Luxembourg,Country
15,Singapore,Country
16,Algiers,Place
17,Athens,Place
18,Atlanta,Place
19,Cape_Town,Place
20,Chicago,Place
21,Cleveland,Place
22,Detroit,Place
23,Guatemala_City,Place
24,Houston,Place
25,Kuala_Lumpur,Place
26,London,Place
27,Manama,Place
28,Pittsburgh,Place
29,Rome,Place
30,St._Louis,Place
31,Ludwigshafen,Place
32,Algiers,PopulatedPlace
33,Athens,PopulatedPlace
34,Atlanta,PopulatedPlace
35,Cape_Town,PopulatedPlace
36,Chicago,PopulatedPlace
37,Cleveland,PopulatedPlace
38,Detroit,PopulatedPlace
39,Guatemala_City,PopulatedPlace
40,Houston,PopulatedPlace
41,Kuala_Lumpur,PopulatedPlace
42,London,PopulatedPlace
43,Manama,PopulatedPlace
44,Pittsburgh,PopulatedPlace
45,Rome,PopulatedPlace
46,St._Louis,PopulatedPlace
47,Ludwigshafen,PopulatedPlace
48,Athens,Region
49,Algiers,Settlement
50,Atlanta,Settlement
51,Cape_Town,Settlement
52,Chicago,Settlement
53,Cleveland,Settlement
54,Detroit,Settlement
55,Guatemala_City,Settlement
56,Houston,Settlement
57,Kuala_Lumpur,Settlement
58,London,Settlement
59,Manama,Settlement
60,Pittsburgh,Settlement
61,Rome,Settlement
62,St._Louis,Settlement
63,Ludwigshafen,Settlement
64,Ludwigshafen,Town
