,entity,class_target
0,Conspiracy_of_One,Album
1,Songs_for_the_Deaf,Album
2,America's_Sweetheart_(album),Album
3,Saints_of_Los_Angeles,Album
4,Tenacious_D_(album),Album
5,White_Blood_Cells_(album),Album
6,5.0,Album
7,Are_You_Passionate%3F,Album
8,Bad_(album),Album
9,Beyond_the_Neighbourhood,Album
10,Bittersweet_World,Album
11,Diotima_(album),Album
12,Fasciinatiion,Album
13,From_a_Basement_on_the_Hill,Album
14,Funeral_(album),Album
15,Her_Majesty_the_Decemberists,Album
16,Home_Sweet_Home_(Kano_album),Album
17,Lost_and_Found_(Mudvayne_album),Album
18,Minutes_to_Midnight_(album),Album
19,Mirrored,Album
20,Music_of_the_Spheres_(Ian_Brown_album),Album
21,"Orphans:_Brawlers,_Bawlers_&_Bastards",Album
22,Skying,Album
23,St._Elsewhere_(album),Album
24,Conspiracy_of_One,MusicalWork
25,Songs_for_the_Deaf,MusicalWork
26,America's_Sweetheart_(album),MusicalWork
27,Saints_of_Los_Angeles,MusicalWork
28,Tenacious_D_(album),MusicalWork
29,White_Blood_Cells_(album),MusicalWork
30,5.0,MusicalWork
31,Are_You_Passionate%3F,MusicalWork
32,Bad_(album),MusicalWork
33,Beyond_the_Neighbourhood,MusicalWork
34,Bittersweet_World,MusicalWork
35,Diotima_(album),MusicalWork
36,Fasciinatiion,MusicalWork
37,From_a_Basement_on_the_Hill,MusicalWork
38,Funeral_(album),MusicalWork
39,Her_Majesty_the_Decemberists,MusicalWork
40,Home_Sweet_Home_(Kano_album),MusicalWork
41,Conspiracy_of_One,Work
42,Songs_for_the_Deaf,Work
43,America's_Sweetheart_(album),Work
44,Saints_of_Los_Angeles,Work
45,Tenacious_D_(album),Work
46,White_Blood_Cells_(album),Work
47,5.0,Work
