,entity,classes
0,DBPEDIA_ID/International_Conference_on_Automated_Software_Engineering,"SocietalEvent,AcademicConference,Event"
1,DBPEDIA_ID/Conference_on_Implementation_and_Application_of_Automata,"SocietalEvent,AcademicConference,Event"
2,DBPEDIA_ID/Distributed_Event-Based_Systems,"SocietalEvent,AcademicConference,Event"
3,DBPEDIA_ID/International_Conference_on_Software_Engineering,"SocietalEvent,AcademicConference,Event"
4,DBPEDIA_ID/Pattern_Languages_of_Programs,"SocietalEvent,AcademicConference,Event"
5,DBPEDIA_ID/International_Conference_on_Nitride_Semiconductors,"SocietalEvent,AcademicConference,Event"
6,DBPEDIA_ID/International_Semantic_Web_Conference,"SocietalEvent,AcademicConference,Event"
7,DBPEDIA_ID/Symposium_on_Principles_of_Distributed_Computing,"SocietalEvent,AcademicConference,Event"
8,OOPSLA,"SocietalEvent,AcademicConference,Event"
9,DBPEDIA_ID/Pacific_Rim_Symposium_on_Image_and_Video_Technology,"SocietalEvent,AcademicConference,Event"
10,DBPEDIA_ID/International_Conference_on_Parallel_and_Distributed_Systems,"SocietalEvent,AcademicConference,Event"
11,DBPEDIA_ID/Mexican_International_Conference_on_Artificial_Intelligence,"SocietalEvent,AcademicConference,Event"
12,DBPEDIA_ID/International_Conference_on_Applied_Human_Factors_and_Ergonomics,"SocietalEvent,AcademicConference,Event"
13,DBPEDIA_ID/IEEE_Southwest_Symposium_on_Image_Analysis_and_Interpretation,"SocietalEvent,AcademicConference,Event"
14,DBPEDIA_ID/ACM/IEEE_Virtual_Reality_International_Conference,"SocietalEvent,AcademicConference,Event"
15,DBPEDIA_ID/Stereoscopic_Displays_and_Applications,"SocietalEvent,AcademicConference,Event"
16,OpenSym,"SocietalEvent,AcademicConference,Event"
17,DBPEDIA_ID/BIS_Conference,"SocietalEvent,AcademicConference,Event"
18,DBPEDIA_ID/Information_Systems_International_Conference,"SocietalEvent,AcademicConference,Event"
19,DBPEDIA_ID/Conference_on_Computer_Vision_and_Pattern_Recognition,"SocietalEvent,AcademicConference,Event"
20,DBPEDIA_ID/International_Conference_on_Intelligent_Text_Processing_and_Computational_Linguistics,"SocietalEvent,AcademicConference,Event"
21,"DBPEDIA_ID/International_Conference_on_Simulation_and_Modeling_Methodologies,_Technologies_and_Applications","SocietalEvent,AcademicConference,Event"
22,MobileHCI,"SocietalEvent,AcademicConference,Event"
23,DBPEDIA_ID/International_Requirements_Engineering_Conference,"SocietalEvent,AcademicConference,Event"
24,DBPEDIA_ID/ACM_Multimedia,"SocietalEvent,AcademicConference,Event"
25,"DBPEDIA_ID/International_Colloquium_on_Automata,_Languages_and_Programming","SocietalEvent,AcademicConference,Event"
26,DBPEDIA_ID/International_Conference_on_Distributed_Computing_Systems,"SocietalEvent,AcademicConference,Event"
27,"DBPEDIA_ID/Text,_Speech_and_Dialogue","SocietalEvent,AcademicConference,Event"
28,DBPEDIA_ID/Symposium_on_Theoretical_Aspects_of_Computer_Science,"SocietalEvent,AcademicConference,Event"
29,THATCamp,"SocietalEvent,AcademicConference,Event"
30,DBPEDIA_ID/International_Colloquium_on_Structural_Information_and_Communication_Complexity,"SocietalEvent,AcademicConference,Event"
31,DBPEDIA_ID/Alan_Turing_Year,"SocietalEvent,AcademicConference,Event"
32,DBPEDIA_ID/SWAT_and_WADS_conferences,"SocietalEvent,AcademicConference,Event"
33,DBPEDIA_ID/Workshop_on_Reachability_Problems,"SocietalEvent,AcademicConference,Event"
34,DBPEDIA_ID/International_Conference_On_Intelligent_Robots_and_Systems,"SocietalEvent,AcademicConference,Event"
35,DBPEDIA_ID/Conference_on_Human_Factors_in_Computing_Systems,"SocietalEvent,AcademicConference,Event"
36,DBPEDIA_ID/International_Conference_on_Information_Systems,"SocietalEvent,AcademicConference,Event"
37,DBPEDIA_ID/Conference_on_Innovative_Data_Systems_Research,"SocietalEvent,AcademicConference,Event"
38,DBPEDIA_ID/Hawaii_International_Conference_on_Education,"SocietalEvent,AcademicConference,Event"
39,DBPEDIA_ID/International_Symposium_on_Mixed_and_Augmented_Reality,"SocietalEvent,AcademicConference,Event"
40,DBPEDIA_ID/International_Conference_on_Remote_Engineering_and_Virtual_Instrumentation,"SocietalEvent,AcademicConference,Event"
41,DBPEDIA_ID/British-Ukrainian_Symposium,"SocietalEvent,AcademicConference,Event"
42,DBPEDIA_ID/European_Symposium_on_Programming,"SocietalEvent,AcademicConference,Event"
