,entity,classes
0,Acquire,"Game,Activity"
1,DBPEDIA_ID/Amber_Diceless_Roleplaying_Game,"Game,Activity"
2,DBPEDIA_ID/Association_football,"Sport,Activity"
3,DBPEDIA_ID/Australian_rules_football,"Sport,Activity"
4,DBPEDIA_ID/Auto_racing,"Sport,Activity"
5,Backgammon,"Game,Activity"
6,Badminton,"Sport,Activity"
7,Bandy,"Sport,Activity"
8,Baseball,"Sport,Activity"
9,DBPEDIA_ID/Basic_Role-Playing,"Game,Activity"
10,Basketball,"Sport,Activity"
11,Biathlon,"Sport,Activity"
12,Bocce,"Sport,Activity"
13,Bowls,"Sport,Activity"
14,DBPEDIA_ID/Bunnies_&_Burrows,"Game,Activity"
15,DBPEDIA_ID/Call_of_Cthulhu_(role-playing_game),"Game,Activity"
16,DBPEDIA_ID/Canadian_football,"Sport,Activity"
17,DBPEDIA_ID/Catan:_Cities_&_Knights,"Game,Activity"
18,Chess,"Game,Activity"
19,DBPEDIA_ID/Chinese_checkers,"Game,Activity"
20,Crokinole,"Game,Activity"
21,DBPEDIA_ID/Cross-country_skiing,"Sport,Activity"
22,DBPEDIA_ID/Cue_sports,"Sport,Activity"
23,Curling,"Sport,Activity"
24,DBPEDIA_ID/Disc_golf,"Sport,Activity"
25,Diving,"Sport,Activity"
26,Dominoes,"Game,Activity"
27,DBPEDIA_ID/Dungeons_&_Dragons,"Game,Activity"
28,Earthdawn,"Game,Activity"
29,Elfenland,"Game,Activity"
30,Everway,"Game,Activity"
31,DBPEDIA_ID/Field_hockey,"Sport,Activity"
32,DBPEDIA_ID/Figure_skating,"Sport,Activity"
33,Floorball,"Sport,Activity"
34,DBPEDIA_ID/Forgotten_Futures,"Game,Activity"
35,DBPEDIA_ID/Fudge_(role-playing_game_system),"Game,Activity"
36,GURPS,"Game,Activity"
37,DBPEDIA_ID/GURPS_Supers,"Game,Activity"
38,DBPEDIA_ID/Gamma_World,"Game,Activity"
39,Geocaching,"Sport,Activity"
40,DBPEDIA_ID/Golden_Heroes,"Game,Activity"
41,Handball,"Sport,Activity"
42,DBPEDIA_ID/Hero_System,"Game,Activity"
43,DBPEDIA_ID/Hero_Wars,"Game,Activity"
44,DBPEDIA_ID/Ice_hockey,"Sport,Activity"
45,DBPEDIA_ID/Illuminati:_New_World_Order,"Game,Activity"
46,DBPEDIA_ID/Java_(board_game),"Game,Activity"
47,Korfball,"Sport,Activity"
48,DBPEDIA_ID/Kult_(role-playing_game),"Game,Activity"
49,Lacrosse,"Sport,Activity"
50,DBPEDIA_ID/Ludo_(board_game),"Game,Activity"
51,DBPEDIA_ID/Mage:_The_Ascension,"Game,Activity"
52,Mahjong,"Game,Activity"
53,DBPEDIA_ID/Marvel_Super_Heroes_(role-playing_game),"Game,Activity"
54,DBPEDIA_ID/Monopoly_(game),"Game,Activity"
55,DBPEDIA_ID/Musical_chairs,"Game,Activity"
56,Netball,"Sport,Activity"
57,Nomic,"Game,Activity"
58,Pente,"Game,Activity"
59,Polo,"Sport,Activity"
60,Reversi,"Game,Activity"
61,DBPEDIA_ID/Ringworld_(role-playing_game),"Game,Activity"
62,Rock-paper-scissors,"Game,Activity"
63,DBPEDIA_ID/Rowing_(sport),"Sport,Activity"
64,DBPEDIA_ID/Rugby_league,"Sport,Activity"
65,DBPEDIA_ID/Rugby_union,"Sport,Activity"
66,RuneQuest,"Game,Activity"
67,Scrabble,"Game,Activity"
68,Shogi,"Game,Activity"
69,Snooker,"Sport,Activity"
70,DBPEDIA_ID/Speed_skating,"Sport,Activity"
71,DBPEDIA_ID/Star_Frontiers,"Game,Activity"
72,DBPEDIA_ID/Stock_car_racing,"Sport,Activity"
73,DBPEDIA_ID/Synchronised_swimming,"Sport,Activity"
74,DBPEDIA_ID/Tug_of_war,"Sport,Activity"
75,DBPEDIA_ID/Hazard_(game),"Game,Activity"
76,Senet,"Game,Activity"
77,DBPEDIA_ID/Cyberpunk_2020,"Game,Activity"
78,DBPEDIA_ID/Bughouse_chess,"Game,Activity"
79,DBPEDIA_ID/Chivalry_&_Sorcery,"Game,Activity"
80,DBPEDIA_ID/International_draughts,"Game,Activity"
