,entity,classes
0,DBPEDIA_ID/Dawson_(actor),"AdultActor,Person,Actor,Agent,Artist"
1,DBPEDIA_ID/Julian_(actor),"AdultActor,Person,Actor,Agent,Artist"
2,DBPEDIA_ID/Annie_Sprinkle,"AdultActor,Person,Actor,Agent,Artist"
3,DBPEDIA_ID/Johan_Paulik,"AdultActor,Person,Actor,Agent,Artist"
4,DBPEDIA_ID/Tera_Patrick,"AdultActor,Person,Actor,Agent,Artist"
5,DBPEDIA_ID/Jake_Deckard,"AdultActor,Person,Actor,Agent,Artist"
6,DBPEDIA_ID/Michiko_Maeda,"AdultActor,Person,Actor,Agent,Artist"
7,DBPEDIA_ID/Taylor_Rain,"AdultActor,Person,Actor,Agent,Artist"
8,DBPEDIA_ID/Ai_Kurosawa,"AdultActor,Person,Actor,Agent,Artist"
9,DBPEDIA_ID/Alexandra_Quinn,"AdultActor,Person,Actor,Agent,Artist"
10,DBPEDIA_ID/Andrew_Ellicott_(miller),"AdultActor,Person,Actor,Agent,Artist"
11,DBPEDIA_ID/Annie_Cruz,"AdultActor,Person,Actor,Agent,Artist"
12,DBPEDIA_ID/Ariana_(actress),"AdultActor,Person,Actor,Agent,Artist"
13,DBPEDIA_ID/Atsuko_Sakuraba,"AdultActor,Person,Actor,Agent,Artist"
14,DBPEDIA_ID/Brianna_Love,"AdultActor,Person,Actor,Agent,Artist"
15,DBPEDIA_ID/Carol_Connors_(actress),"AdultActor,Person,Actor,Agent,Artist"
16,DBPEDIA_ID/Catalina_Cruz,"AdultActor,Person,Actor,Agent,Artist"
17,DBPEDIA_ID/Chihiro_Hara,"AdultActor,Person,Actor,Agent,Artist"
18,DBPEDIA_ID/Chihiro_Hasegawa,"AdultActor,Person,Actor,Agent,Artist"
19,DBPEDIA_ID/Dora_Venter,"AdultActor,Person,Actor,Agent,Artist"
20,DBPEDIA_ID/Eiko_Koike,"AdultActor,Person,Actor,Agent,Artist"
21,DBPEDIA_ID/Erika_Yazawa,"AdultActor,Person,Actor,Agent,Artist"
22,DBPEDIA_ID/Jenaveve_Jolie,"AdultActor,Person,Actor,Agent,Artist"
23,DBPEDIA_ID/Jerry_Butler_(actor),"AdultActor,Person,Actor,Agent,Artist"
24,DBPEDIA_ID/John_Ellicott_(miller),"AdultActor,Person,Actor,Agent,Artist"
