,entity,classes
0,DBPEDIA_ID/Aa_(architect),"Person,Agent"
1,"DBPEDIA_ID/Abel,_King_of_Denmark","Person,Royalty,Agent"
2,DBPEDIA_ID/Abel_Ferreira,"Person,SportsManager,Agent,SoccerManager"
3,DBPEDIA_ID/Abel_Gómez_Moreno,"Person,Athlete,SoccerPlayer,Agent"
4,DBPEDIA_ID/Abel_Miglietti,"Person,Athlete,SoccerPlayer,Agent"
5,DBPEDIA_ID/Achille_Casanova,"Person,OfficeHolder,Agent"
6,DBPEDIA_ID/Adolf_Holzhaus,"Person,Agent"
7,DBPEDIA_ID/Adonis_(musician),"Person,MusicalArtist,Agent,Artist"
8,DBPEDIA_ID/Agustín_de_Iturbide_y_Green,"Person,Royalty,Agent"
9,DBPEDIA_ID/Ainslie_Roberts,"Person,Agent"
10,DBPEDIA_ID/Akhenaton_(rapper),"Person,MusicalArtist,Agent,Artist"
11,DBPEDIA_ID/Alaina_Johnson,"Gymnast,Person,Athlete,Agent"
12,DBPEDIA_ID/Alastair_Martin,"Person,Agent"
13,"DBPEDIA_ID/Albert,_12th_Prince_of_Thurn_and_Taxis","Person,Royalty,Agent"
14,"DBPEDIA_ID/Albert,_8th_Prince_of_Thurn_and_Taxis","Person,Royalty,Agent"
15,"DBPEDIA_ID/Albert,_Duke_of_Schleswig-Holstein","Person,Royalty,Agent"
16,"DBPEDIA_ID/Albert,_King_of_Sweden","Person,Royalty,Agent"
17,"DBPEDIA_ID/Albert,_Prince_of_Schwarzburg-Rudolstadt","Person,Royalty,Agent"
18,"DBPEDIA_ID/Albert_Casimir,_Duke_of_Teschen","Person,Royalty,Agent"
19,"DBPEDIA_ID/Albert_Hall_(footballer,_born_1918)","Person,Athlete,SoccerPlayer,Agent"
20,DBPEDIA_ID/Albert_N._Whiting,"Person,Agent"
21,"DBPEDIA_ID/Albert_VII,_Archduke_of_Austria","Person,Royalty,Agent"
22,DBPEDIA_ID/Albert_of_Saxony,"Person,Royalty,Agent"
23,DBPEDIA_ID/Anders_Franzén,"Person,Agent"
24,DBPEDIA_ID/Andy_Collins_(artist),"Person,Agent,Artist"
25,DBPEDIA_ID/Angeli_(cartoonist),"Person,Agent"
26,DBPEDIA_ID/Annie_Lee_Moss,"Person,Agent"
27,DBPEDIA_ID/Anthony_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
28,"DBPEDIA_ID/Antonio_Farnese,_Duke_of_Parma","Person,Royalty,Agent"
29,DBPEDIA_ID/Antonio_Thomas_(wrestler),"Person,Athlete,Wrestler,Agent"
30,DBPEDIA_ID/Antonius_Ariantho,"Person,Athlete,BadmintonPlayer,Agent"
31,DBPEDIA_ID/Antônio_Wilson_Vieira_Honório,"Person,SportsManager,Agent,SoccerManager"
32,DBPEDIA_ID/Antônio_de_Moura_Carvalho,"Person,Athlete,SoccerPlayer,Agent"
33,DBPEDIA_ID/Archduchess_Maria_Magdalena_of_Austria_(1689–1743),"Person,Royalty,Agent"
34,DBPEDIA_ID/Ariadne_(empress),"Monarch,Agent,Person"
35,DBPEDIA_ID/Art_Smith_(chef),"Chef,Person,Agent"
36,DBPEDIA_ID/Arthur_P._Jacobs,"Person,Agent"
37,DBPEDIA_ID/Arthur_Roberts_(physicist),"Person,MusicalArtist,Agent,Artist"
38,DBPEDIA_ID/Arthur_W._Murray,"Person,MilitaryPerson,Agent"
39,Aspekt,"Person,MusicalArtist,Agent,Artist"
40,Asser,"Person,Cleric,ChristianBishop,Agent"
41,DBPEDIA_ID/Atlantis_(wrestler),"Person,Athlete,Wrestler,Agent"
