,entity,classes
0,DBPEDIA_ID/Airbus_A300,"Aircraft,MeanOfTransportation"
1,DBPEDIA_ID/Boeing_B-17_Flying_Fortress,"Aircraft,MeanOfTransportation"
2,DBPEDIA_ID/Boeing_C-17_Globemaster_III,"Aircraft,MeanOfTransportation"
3,DBPEDIA_ID/Boeing_E-3_Sentry,"Aircraft,MeanOfTransportation"
4,DBPEDIA_ID/Boeing_KC-135_Stratotanker,"Aircraft,MeanOfTransportation"
5,DBPEDIA_ID/Boeing_OC-135B_Open_Skies,"Aircraft,MeanOfTransportation"
6,DBPEDIA_ID/Boeing_RC-135,"Aircraft,MeanOfTransportation"
7,DBPEDIA_ID/Boeing_Vertol_CH-46_Sea_Knight,"Aircraft,MeanOfTransportation"
8,DBPEDIA_ID/CIM-10_Bomarc,"Aircraft,MeanOfTransportation"
9,Concorde,"Aircraft,MeanOfTransportation"
10,DBPEDIA_ID/Curtiss_P-40_Warhawk,"Aircraft,MeanOfTransportation"
11,DBPEDIA_ID/De_Havilland_Mosquito,"Aircraft,MeanOfTransportation"
12,DBPEDIA_ID/General_Dynamics_F-16_Fighting_Falcon,"Aircraft,MeanOfTransportation"
13,DBPEDIA_ID/Grumman_F-14_Tomcat,"Aircraft,MeanOfTransportation"
14,DBPEDIA_ID/Hawker_Harrier,"Aircraft,MeanOfTransportation"
15,DBPEDIA_ID/Hawker_Siddeley_Harrier,"Aircraft,MeanOfTransportation"
16,DBPEDIA_ID/Junkers_Ju_87,"Aircraft,MeanOfTransportation"
17,DBPEDIA_ID/Kamov_Ka-25,"Aircraft,MeanOfTransportation"
18,DBPEDIA_ID/Kamov_Ka-50,"Aircraft,MeanOfTransportation"
19,DBPEDIA_ID/Kawasaki_Ki-56,"Aircraft,MeanOfTransportation"
20,DBPEDIA_ID/Lockheed_AC-130,"Aircraft,MeanOfTransportation"
21,DBPEDIA_ID/Lockheed_C-130_Hercules,"Aircraft,MeanOfTransportation"
22,DBPEDIA_ID/Lockheed_F-117_Nighthawk,"Aircraft,MeanOfTransportation"
23,DBPEDIA_ID/Lockheed_Martin_F-35_Lightning_II,"Aircraft,MeanOfTransportation"
24,DBPEDIA_ID/Lockheed_P-38_Lightning,"Aircraft,MeanOfTransportation"
25,DBPEDIA_ID/McDonnell_Douglas_F-15_Eagle,"Aircraft,MeanOfTransportation"
26,DBPEDIA_ID/McDonnell_Douglas_F-4_Phantom_II,"Aircraft,MeanOfTransportation"
27,DBPEDIA_ID/McDonnell_FH_Phantom,"Aircraft,MeanOfTransportation"
28,DBPEDIA_ID/Messerschmitt_Me_163_Komet,"Aircraft,MeanOfTransportation"
29,DBPEDIA_ID/Messerschmitt_Me_262,"Aircraft,MeanOfTransportation"
30,DBPEDIA_ID/Mitsubishi_A6M_Zero,"Aircraft,MeanOfTransportation"
31,DBPEDIA_ID/North_American_B-25_Mitchell,"Aircraft,MeanOfTransportation"
32,DBPEDIA_ID/North_American_P-51_Mustang,"Aircraft,MeanOfTransportation"
33,DBPEDIA_ID/Northrop_F-5,"Aircraft,MeanOfTransportation"
34,DBPEDIA_ID/Northrop_Grumman_B-2_Spirit,"Aircraft,MeanOfTransportation"
35,DBPEDIA_ID/Northrop_Grumman_E-8_Joint_STARS,"Aircraft,MeanOfTransportation"
36,DBPEDIA_ID/Rockwell_B-1_Lancer,"Aircraft,MeanOfTransportation"
37,DBPEDIA_ID/Vought_F4U_Corsair,"Aircraft,MeanOfTransportation"
38,DBPEDIA_ID/Airbus_A310,"Aircraft,MeanOfTransportation"
39,DBPEDIA_ID/Avro_Lancaster,"Aircraft,MeanOfTransportation"
40,DBPEDIA_ID/Fieseler_Fi_103R_Reichenberg,"Aircraft,MeanOfTransportation"
41,DBPEDIA_ID/Focke-Wulf_Fw_200_Condor,"Aircraft,MeanOfTransportation"
42,DBPEDIA_ID/Fokker_D.VII,"Aircraft,MeanOfTransportation"
43,DBPEDIA_ID/Heinkel_He_162,"Aircraft,MeanOfTransportation"
44,DBPEDIA_ID/Abramovich_Flyer,"Aircraft,MeanOfTransportation"
45,DBPEDIA_ID/Armstrong_Whitworth_Ensign,"Aircraft,MeanOfTransportation"
46,DBPEDIA_ID/Blackburn_Botha,"Aircraft,MeanOfTransportation"
47,DBPEDIA_ID/Fisher_Flyer,"Aircraft,MeanOfTransportation"
48,DBPEDIA_ID/Fleet_Fort,"Aircraft,MeanOfTransportation"
49,DBPEDIA_ID/IAI_Arava,"Aircraft,MeanOfTransportation"
50,Irbis-E,"Aircraft,MeanOfTransportation"
51,DBPEDIA_ID/Kolb_Flyer,"Aircraft,MeanOfTransportation"
52,DBPEDIA_ID/LTV_A-7_Corsair_II,"Aircraft,MeanOfTransportation"
53,DBPEDIA_ID/La_Mouette_Sphinx,"Aircraft,MeanOfTransportation"
54,DBPEDIA_ID/Pfitzner_Flyer,"Aircraft,MeanOfTransportation"
55,DBPEDIA_ID/Progressive_Aerodyne_Stingray,"Aircraft,MeanOfTransportation"
