,entity,classes
0,DBPEDIA_ID/...Baby_One_More_Time_(album),"Album,MusicalWork,Work"
1,DBPEDIA_ID/Bar_Kokhba_(album),"Album,MusicalWork,Work"
2,DBPEDIA_ID/Blood_on_the_Tracks,"Album,MusicalWork,Work"
3,DBPEDIA_ID/Decade_(Neil_Young_album),"Album,MusicalWork,Work"
4,DBPEDIA_ID/Floating_Point,"Album,MusicalWork,Work"
5,DBPEDIA_ID/Forever_Changes,"Album,MusicalWork,Work"
6,DBPEDIA_ID/Garage_Inc.,"Album,MusicalWork,Work"
7,DBPEDIA_ID/Horses_(album),"Album,MusicalWork,Work"
8,DBPEDIA_ID/Liverpool_(album),"Album,MusicalWork,Work"
9,DBPEDIA_ID/Load_(album),"Album,MusicalWork,Work"
10,DBPEDIA_ID/Love_and_Theft_(Bob_Dylan_album),"Album,MusicalWork,Work"
11,DBPEDIA_ID/Master_of_Puppets,"Album,MusicalWork,Work"
12,DBPEDIA_ID/Metallica_(album),"Album,MusicalWork,Work"
13,DBPEDIA_ID/Ride_the_Lightning,"Album,MusicalWork,Work"
14,DBPEDIA_ID/S&M_(Metallica_album),"Album,MusicalWork,Work"
15,DBPEDIA_ID/The_Downward_Spiral,"Album,MusicalWork,Work"
16,"DBPEDIA_ID/Greetings_from_Asbury_Park,_N.J.","Album,MusicalWork,Work"
17,"DBPEDIA_ID/The_Wild,_the_Innocent_&_the_E_Street_Shuffle","Album,MusicalWork,Work"
18,DBPEDIA_ID/Shotgun_Angel,"Album,MusicalWork,Work"
19,DBPEDIA_ID/The_Best..._Album_in_the_World...Ever!,"Album,MusicalWork,Work"
20,DBPEDIA_ID/The_Marshall_Mathers_LP,"Album,MusicalWork,Work"
21,"DBPEDIA_ID/10,_9,_8,_7,_6,_5,_4,_3,_2,_1","Album,MusicalWork,Work"
22,DBPEDIA_ID/100%25_Live,"Album,MusicalWork,Work"
23,DBPEDIA_ID/1_(Beatles_album),"Album,MusicalWork,Work"
24,DBPEDIA_ID/A_Passion_Play,"Album,MusicalWork,Work"
25,DBPEDIA_ID/A_Quick_One,"Album,MusicalWork,Work"
26,DBPEDIA_ID/Adrenaline_(album),"Album,MusicalWork,Work"
27,DBPEDIA_ID/Ah_Via_Musicom,"Album,MusicalWork,Work"
28,DBPEDIA_ID/Among_the_Living,"Album,MusicalWork,Work"
29,Amorica,"Album,MusicalWork,Work"
30,DBPEDIA_ID/Ani_DiFranco_(album),"Album,MusicalWork,Work"
31,DBPEDIA_ID/Anthology_(UFO_album),"Album,MusicalWork,Work"
32,Aquemini,"Album,MusicalWork,Work"
33,DBPEDIA_ID/Armed_and_Dangerous_(EP),"Album,MusicalWork,Work"
34,DBPEDIA_ID/Attack_of_the_Killer_B's,"Album,MusicalWork,Work"
35,DBPEDIA_ID/Beg_to_Differ,"Album,MusicalWork,Work"
36,DBPEDIA_ID/Bird_Noises,"Album,MusicalWork,Work"
37,DBPEDIA_ID/Birrkuta_–_Wild_Honey,"Album,MusicalWork,Work"
38,DBPEDIA_ID/Blue_Sky_Mining,"Album,MusicalWork,Work"
39,DBPEDIA_ID/Bon_Jovi_(album),"Album,MusicalWork,Work"
40,DBPEDIA_ID/Camper_Van_Beethoven_(album),"Album,MusicalWork,Work"
41,DBPEDIA_ID/Captured_(Journey_album),"Album,MusicalWork,Work"
42,DBPEDIA_ID/Christopher_Cross_(album),"Album,MusicalWork,Work"
43,DBPEDIA_ID/Cleansing_(album),"Album,MusicalWork,Work"
44,DBPEDIA_ID/Conspiracy_of_One,"Album,MusicalWork,Work"
45,DBPEDIA_ID/Darn_Floor-Big_Bite,"Album,MusicalWork,Work"
46,DBPEDIA_ID/Die_for_the_Government,"Album,MusicalWork,Work"
47,DBPEDIA_ID/Diesel_and_Dust,"Album,MusicalWork,Work"
48,DBPEDIA_ID/Dressing_Up_the_Idiot,"Album,MusicalWork,Work"
49,DBPEDIA_ID/Earth_and_Sun_and_Moon,"Album,MusicalWork,Work"
50,DBPEDIA_ID/Everything_Went_Black,"Album,MusicalWork,Work"
51,DBPEDIA_ID/F.N.G._(album),"Album,MusicalWork,Work"
52,DBPEDIA_ID/Family_Man_(Black_Flag_album),"Album,MusicalWork,Work"
53,DBPEDIA_ID/Fear_of_a_Punk_Planet,"Album,MusicalWork,Work"
