,entity,classes
0,DBPEDIA_ID/Burnout_(ride),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
1,DBPEDIA_ID/Mumbo_Jumbo_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
2,DBPEDIA_ID/Ricochet_(Carowinds),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
3,DBPEDIA_ID/Ricochet_(Kings_Dominion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
4,DBPEDIA_ID/Wildfire_(Kolmården_Wildlife_Park),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
5,DBPEDIA_ID/Wildfire_(Silver_Dollar_City),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
6,DBPEDIA_ID/Afterburn_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
7,DBPEDIA_ID/Armageddon_–_Les_Effets_Speciaux,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
8,DBPEDIA_ID/Batwing_Spaceshot,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
9,DBPEDIA_ID/Beauty_and_the_Beast_Live_on_Stage,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
10,DBPEDIA_ID/Big_Shot_(ride),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
11,DBPEDIA_ID/Cannonball_Run_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
12,DBPEDIA_ID/Cosmic_Coaster_(Valleyfair),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
13,DBPEDIA_ID/Demon_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
14,DBPEDIA_ID/Dragon_(Adventureland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
15,DBPEDIA_ID/Dragon_Coaster_(Playland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
16,DBPEDIA_ID/Galactica_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
17,DBPEDIA_ID/Goofy's_Sky_School,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
18,DBPEDIA_ID/Hollywood_Stunt_Driver,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
19,IllumiNations,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
20,DBPEDIA_ID/Loch_Ness_Monster_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
21,DBPEDIA_ID/Nighthawk_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
22,DBPEDIA_ID/Predator_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
23,DBPEDIA_ID/Runaway_Train_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
24,DBPEDIA_ID/Samurai_(ride),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
25,DBPEDIA_ID/Screamin'_Demon,"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
26,DBPEDIA_ID/Silver_Bullet_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
27,DBPEDIA_ID/Silver_Star_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
28,DBPEDIA_ID/Skyway_(Disney),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
29,DBPEDIA_ID/The_Voyage_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
30,DBPEDIA_ID/Tremors_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
31,DBPEDIA_ID/Undertow_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
32,DBPEDIA_ID/Vortex_(California's_Great_America),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
33,DBPEDIA_ID/Vortex_(Canada's_Wonderland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
34,DBPEDIA_ID/Vortex_(Carowinds),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
35,DBPEDIA_ID/Vortex_(Kings_Island),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
36,DBPEDIA_ID/Vortex_(Thorpe_Park),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
37,DBPEDIA_ID/X_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
38,DBPEDIA_ID/Zoomerang_(Alabama_Adventure),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
39,DBPEDIA_ID/Charlie_and_the_Chocolate_Factory:_The_Ride,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
40,DBPEDIA_ID/Shockwave_(Canada's_Wonderland),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
41,DBPEDIA_ID/Shockwave_(Drayton_Manor),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
42,DBPEDIA_ID/Shockwave_(Dreamworld),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
43,DBPEDIA_ID/Shockwave_(Kings_Dominion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
44,DBPEDIA_ID/Shockwave_(Six_Flags_Great_America),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
45,DBPEDIA_ID/Thunderhead_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
46,DBPEDIA_ID/Transformers:_The_Ride,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
47,DBPEDIA_ID/Antarctica:_Empire_of_the_Penguin,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
48,DBPEDIA_ID/Behemoth_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
49,DBPEDIA_ID/Believe..._There's_Magic_in_the_Stars,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
50,DBPEDIA_ID/Bizarro_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
51,DBPEDIA_ID/Cajun_Cliffhanger,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
52,DBPEDIA_ID/Cannibal_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
53,DBPEDIA_ID/Country_Bear_Jamboree,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
54,DBPEDIA_ID/Dominator_(ride),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
55,DBPEDIA_ID/Dominator_(roller_coaster),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
56,DBPEDIA_ID/ImageWorks:_The_What-If_Labs,"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
57,DBPEDIA_ID/Kobra_(ride),"ArchitecturalStructure,AmusementParkAttraction,Place,Location"
58,DBPEDIA_ID/Mad_Mouse_(Michigan's_Adventure),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
59,DBPEDIA_ID/Mad_Mouse_(Pavilion),"ArchitecturalStructure,AmusementParkAttraction,Place,Location,RollerCoaster"
