,entity,classes
0,DBPEDIA_ID/Adrenal_gland,AnatomicalStructure
1,Anus,AnatomicalStructure
2,Aorta,"Artery,AnatomicalStructure"
3,Apoptosis,AnatomicalStructure
4,Blood,AnatomicalStructure
5,Bone,AnatomicalStructure
6,Brain,AnatomicalStructure
7,Breast,AnatomicalStructure
8,DBPEDIA_ID/Cell_(biology),AnatomicalStructure
9,DBPEDIA_ID/Central_nervous_system,AnatomicalStructure
10,DBPEDIA_ID/Cerebrospinal_fluid,AnatomicalStructure
11,Cervix,AnatomicalStructure
12,Clitoris,AnatomicalStructure
13,DBPEDIA_ID/Endocrine_system,AnatomicalStructure
14,Endometrium,AnatomicalStructure
15,DBPEDIA_ID/Entorhinal_cortex,"Brain,AnatomicalStructure"
16,Foot,AnatomicalStructure
17,Ganglion,AnatomicalStructure
18,Glottis,AnatomicalStructure
19,Hair,AnatomicalStructure
20,Kidney,AnatomicalStructure
21,DBPEDIA_ID/Labia_majora,AnatomicalStructure
22,DBPEDIA_ID/Labia_minora,AnatomicalStructure
23,Ligament,AnatomicalStructure
24,Nerve,AnatomicalStructure
25,DBPEDIA_ID/Nervous_system,AnatomicalStructure
26,DBPEDIA_ID/Nuclear_pore,AnatomicalStructure
27,Organelle,AnatomicalStructure
28,Ovary,AnatomicalStructure
29,DBPEDIA_ID/Paranasal_sinuses,AnatomicalStructure
30,DBPEDIA_ID/Peripheral_nervous_system,"Brain,AnatomicalStructure"
31,Skeleton,AnatomicalStructure
32,Skin,AnatomicalStructure
33,Spermatozoon,AnatomicalStructure
34,DBPEDIA_ID/Stem_cell,AnatomicalStructure
35,Cecum,AnatomicalStructure
36,Ileum,AnatomicalStructure
37,Jejunum,AnatomicalStructure
38,DBPEDIA_ID/Oval_window,AnatomicalStructure
39,DBPEDIA_ID/Organ_(anatomy),AnatomicalStructure
40,Amygdala,"Brain,AnatomicalStructure"
41,Beard,AnatomicalStructure
42,DBPEDIA_ID/Coronary_circulation,AnatomicalStructure
