,entity,classes
0,DBPEDIA_ID/Skuld_(Oh_My_Goddess!),"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
1,DBPEDIA_ID/Dio_Brando,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
2,DBPEDIA_ID/Akito_Sohma,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
3,DBPEDIA_ID/Andromeda_Shun,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
4,Bulma,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
5,DBPEDIA_ID/Byakuya_Kuchiki,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
6,DBPEDIA_ID/Dragon_Shiryū,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
7,DBPEDIA_ID/Goemon_Ishikawa_XIII,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
8,DBPEDIA_ID/Jiraiya_(Naruto),"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
9,DBPEDIA_ID/Kallen_Stadtfeld,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
10,DBPEDIA_ID/Kamiya_Kaoru,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
11,DBPEDIA_ID/Kaworu_Nagisa,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
12,DBPEDIA_ID/Kunimitsu_Tezuka,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
13,Kuririn,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
14,DBPEDIA_ID/Miyuki_Kobayakawa,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
15,DBPEDIA_ID/Monkey_D._Luffy,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
16,DBPEDIA_ID/Shinji_Ikari,"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
17,DBPEDIA_ID/Astro_Boy_(character),"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
