,entity,classes
0,DBPEDIA_ID/Chaco_socos,"Eukaryote,Arachnid,Species,Animal"
1,DBPEDIA_ID/Chira_(spider),"Eukaryote,Arachnid,Species,Animal"
2,Dendroseius,"Eukaryote,Arachnid,Species,Animal"
3,DBPEDIA_ID/Empanda_(spider),"Eukaryote,Arachnid,Species,Animal"
4,DBPEDIA_ID/Erica_(spider),"Eukaryote,Arachnid,Species,Animal"
5,Gamasellus,"Eukaryote,Arachnid,Species,Animal"
6,Halolaelapidae,"Eukaryote,Arachnid,Species,Animal"
7,DBPEDIA_ID/Nops_(spider),"Eukaryote,Arachnid,Species,Animal"
8,DBPEDIA_ID/Redback_spider,"Eukaryote,Arachnid,Species,Animal"
9,DBPEDIA_ID/Sicarius_(spider),"Eukaryote,Arachnid,Species,Animal"
10,DBPEDIA_ID/Talavera_(spider),"Eukaryote,Arachnid,Species,Animal"
11,Trombiculidae,"Eukaryote,Arachnid,Species,Animal"
12,DBPEDIA_ID/Alcmena_(spider),"Eukaryote,Arachnid,Species,Animal"
13,DBPEDIA_ID/Akela_(spider),"Eukaryote,Arachnid,Species,Animal"
14,Araneotanna,"Eukaryote,Arachnid,Species,Animal"
15,DBPEDIA_ID/Atypical_tarantula,"Eukaryote,Arachnid,Species,Animal"
16,DBPEDIA_ID/Dwarf_tarantula,"Eukaryote,Arachnid,Species,Animal"
17,DBPEDIA_ID/Ebo_(spider),"Eukaryote,Arachnid,Species,Animal"
18,DBPEDIA_ID/Latrodectus_pallidus,"Eukaryote,Arachnid,Species,Animal"
19,DBPEDIA_ID/Mago_(spider),"Eukaryote,Arachnid,Species,Animal"
20,Sarcoptes,"Eukaryote,Arachnid,Species,Animal"
21,Trite,"Eukaryote,Arachnid,Species,Animal"
22,DBPEDIA_ID/Aberoptus_championus,"Eukaryote,Arachnid,Species,Animal"
23,DBPEDIA_ID/Amaurobius_jugorum,"Eukaryote,Arachnid,Species,Animal"
24,Antennophoridae,"Eukaryote,Arachnid,Species,Animal"
25,DBPEDIA_ID/Arabian_fat-tailed_scorpion,"Eukaryote,Arachnid,Species,Animal"
26,Arachnotermes,"Eukaryote,Arachnid,Species,Animal"
27,Bocus,"Eukaryote,Arachnid,Species,Animal"
28,Depreissia,"Eukaryote,Arachnid,Species,Animal"
29,Diarthrophallidae,"Eukaryote,Arachnid,Species,Animal"
30,DBPEDIA_ID/Dysdera_apenninica,"Eukaryote,Arachnid,Species,Animal"
31,DBPEDIA_ID/Amycus_(spider),"Eukaryote,Arachnid,Species,Animal"
32,DBPEDIA_ID/Habronattus_clypeatus,"Eukaryote,Arachnid,Species,Animal"
33,DBPEDIA_ID/Habronattus_fallax,"Eukaryote,Arachnid,Species,Animal"
34,Halarachnidae,"Eukaryote,Arachnid,Species,Animal"
35,Hasarina,"Eukaryote,Arachnid,Species,Animal"
36,Ichoronyssus,"Eukaryote,Arachnid,Species,Animal"
37,Icius,"Eukaryote,Arachnid,Species,Animal"
38,Itata,"Eukaryote,Arachnid,Species,Animal"
39,Liropilio,"Eukaryote,Arachnid,Species,Animal"
40,DBPEDIA_ID/Capidava_(spider),"Eukaryote,Arachnid,Species,Animal"
41,DBPEDIA_ID/Meta_nigra,"Eukaryote,Arachnid,Species,Animal"
42,Myrmosleichus,"Eukaryote,Arachnid,Species,Animal"
43,DBPEDIA_ID/Naphrys_pulex,"Eukaryote,Arachnid,Species,Animal"
44,DBPEDIA_ID/Oxyopes_cornutus,"Eukaryote,Arachnid,Species,Animal"
45,DBPEDIA_ID/Parabuthus_villosus,"Eukaryote,Arachnid,Species,Animal"
46,DBPEDIA_ID/Pisaurina_brevipes,"Eukaryote,Arachnid,Species,Animal"
47,Pseudohomalenotus,"Eukaryote,Arachnid,Species,Animal"
48,DBPEDIA_ID/Salticus_peckhamae,"Eukaryote,Arachnid,Species,Animal"
49,DBPEDIA_ID/Sitalcicus_gardineri,"Eukaryote,Arachnid,Species,Animal"
50,DBPEDIA_ID/Sitticus_designatus,"Eukaryote,Arachnid,Species,Animal"
51,Tarsonemidae,"Eukaryote,Arachnid,Species,Animal"
52,DBPEDIA_ID/Thomasettia_seychellana,"Eukaryote,Arachnid,Species,Animal"
53,Urodinychidae,"Eukaryote,Arachnid,Species,Animal"
54,Wesolowskana,"Eukaryote,Arachnid,Species,Animal"
55,DBPEDIA_ID/Zodarion_jozefienae,"Eukaryote,Arachnid,Species,Animal"
56,DBPEDIA_ID/Zodarion_soror,"Eukaryote,Arachnid,Species,Animal"
57,DBPEDIA_ID/Hermotimus_(spider),"Eukaryote,Arachnid,Species,Animal"
58,DBPEDIA_ID/Hibana_velox,"Eukaryote,Arachnid,Species,Animal"
59,DBPEDIA_ID/Leucorchestris_arenicola,"Eukaryote,Arachnid,Species,Animal"
60,DBPEDIA_ID/Marma_(spider),"Eukaryote,Arachnid,Species,Animal"
61,DBPEDIA_ID/Pacal_(arachnid),"Eukaryote,Arachnid,Species,Animal"
62,DBPEDIA_ID/Pinktoe_tarantula,"Eukaryote,Arachnid,Species,Animal"
63,Onofre,"Eukaryote,Arachnid,Species,Animal"
64,Thrandina,"Eukaryote,Arachnid,Species,Animal"
65,DBPEDIA_ID/Mendoza_(spider),"Eukaryote,Arachnid,Species,Animal"
66,Habronattus,"Eukaryote,Arachnid,Species,Animal"
67,DBPEDIA_ID/Nephila_clavipes,"Eukaryote,Arachnid,Species,Animal"
68,Nuttalliella,"Eukaryote,Arachnid,Species,Animal"
69,Thanatus,"Eukaryote,Arachnid,Species,Animal"
70,DBPEDIA_ID/Acanthogonatus_parana,"Eukaryote,Arachnid,Species,Animal"
71,DBPEDIA_ID/Agelena_nigra,"Eukaryote,Arachnid,Species,Animal"
72,DBPEDIA_ID/Amblyseius_begljarovi,"Eukaryote,Arachnid,Species,Animal"
73,Apopyllus,"Eukaryote,Arachnid,Species,Animal"
74,DBPEDIA_ID/Bothriurus_olaen,"Eukaryote,Arachnid,Species,Animal"
75,Brevipalpus,"Eukaryote,Arachnid,Species,Animal"
76,Cantuaria,"Eukaryote,Arachnid,Species,Animal"
77,DBPEDIA_ID/Carniella_brignolii,"Eukaryote,Arachnid,Species,Animal"
78,DBPEDIA_ID/Centruroides_baergi,"Eukaryote,Arachnid,Species,Animal"
79,DBPEDIA_ID/Centruroides_ornatus,"Eukaryote,Arachnid,Species,Animal"
80,Cheiroseiulus,"Eukaryote,Arachnid,Species,Animal"
81,DBPEDIA_ID/Cicurina_cicur,"Eukaryote,Arachnid,Species,Animal"
82,DBPEDIA_ID/Cybaeus_abchasicus,"Eukaryote,Arachnid,Species,Animal"
83,DBPEDIA_ID/Diving_bell_spider,"Eukaryote,Arachnid,Species,Animal"
84,DBPEDIA_ID/Eustathia_cultrifera,"Eukaryote,Arachnid,Species,Animal"
85,Evanssellus,"Eukaryote,Arachnid,Species,Animal"
86,DBPEDIA_ID/Garypus_titanius,"Eukaryote,Arachnid,Species,Animal"
87,DBPEDIA_ID/Gnaphosa_secreta,"Eukaryote,Arachnid,Species,Animal"
88,Gypogyna,"Eukaryote,Arachnid,Species,Animal"
89,DBPEDIA_ID/Lygromma_anops,"Eukaryote,Arachnid,Species,Animal"
90,DBPEDIA_ID/Mongolicosa_gobiensis,"Eukaryote,Arachnid,Species,Animal"
91,DBPEDIA_ID/Mysmena_wawuensis,"Eukaryote,Arachnid,Species,Animal"
92,Opisthoncus,"Eukaryote,Arachnid,Species,Animal"
93,Orthohalarachne,"Eukaryote,Arachnid,Species,Animal"
94,Parasitengona,"Eukaryote,Arachnid,Species,Animal"
95,DBPEDIA_ID/Philodromus_medius,"Eukaryote,Arachnid,Species,Animal"
96,Psalmopoeus,"Eukaryote,Arachnid,Species,Animal"
97,Pseudastrobunus,"Eukaryote,Arachnid,Species,Animal"
98,Ryuthela,"Eukaryote,Arachnid,Species,Animal"
99,Sphaerolichus,"Eukaryote,Arachnid,Species,Animal"
100,Triaenonychidae,"Eukaryote,Arachnid,Species,Animal"
101,DBPEDIA_ID/Zeuxippus_pallidus,"Eukaryote,Arachnid,Species,Animal"
102,DBPEDIA_ID/Zodarion_barbarae,"Eukaryote,Arachnid,Species,Animal"
103,DBPEDIA_ID/Zodarion_fuscum,"Eukaryote,Arachnid,Species,Animal"
104,DBPEDIA_ID/Avitus_(spider),"Eukaryote,Arachnid,Species,Animal"
105,DBPEDIA_ID/Bdelloidea_(mites),"Eukaryote,Arachnid,Species,Animal"
106,DBPEDIA_ID/Clubiona_terrestris,"Eukaryote,Arachnid,Species,Animal"
107,Demodex,"Eukaryote,Arachnid,Species,Animal"
108,Togwoteeus,"Eukaryote,Arachnid,Species,Animal"
109,DBPEDIA_ID/Euophrys_terrestris,"Eukaryote,Arachnid,Species,Animal"
110,DBPEDIA_ID/Misumenops_celer,"Eukaryote,Arachnid,Species,Animal"
111,DBPEDIA_ID/Moggridgea_terrestris,"Eukaryote,Arachnid,Species,Animal"
112,DBPEDIA_ID/Nephila_edulis,"Eukaryote,Arachnid,Species,Animal"
113,Paraamblyseius,"Eukaryote,Arachnid,Species,Animal"
114,DBPEDIA_ID/Tartarocreagris_texana,"Eukaryote,Arachnid,Species,Animal"
115,DBPEDIA_ID/Bagheera_(spider),"Eukaryote,Arachnid,Species,Animal"
116,DBPEDIA_ID/Cobalt_blue_tarantula,"Eukaryote,Arachnid,Species,Animal"
117,DBPEDIA_ID/Araneus_gemmoides,"Eukaryote,Arachnid,Species,Animal"
118,DBPEDIA_ID/Argiope_argentata,"Eukaryote,Arachnid,Species,Animal"
119,DBPEDIA_ID/Atypus_karschi,"Eukaryote,Arachnid,Species,Animal"
120,DBPEDIA_ID/Callobius_bennetti,"Eukaryote,Arachnid,Species,Animal"
121,DBPEDIA_ID/Cerbalus_aravaensis,"Eukaryote,Arachnid,Species,Animal"
122,DBPEDIA_ID/Chinattus_taiwanensis,"Eukaryote,Arachnid,Species,Animal"
123,DBPEDIA_ID/Sphodros_niger,"Eukaryote,Arachnid,Species,Animal"
124,DBPEDIA_ID/Striped_bark_scorpion,"Eukaryote,Arachnid,Species,Animal"
125,DBPEDIA_ID/Tetragnatha_elongata,"Eukaryote,Arachnid,Species,Animal"
126,DBPEDIA_ID/Theridula_emertoni,"Eukaryote,Arachnid,Species,Animal"
127,DBPEDIA_ID/Trochosa_ruricola,"Eukaryote,Arachnid,Species,Animal"
128,DBPEDIA_ID/Amblyomma_americanum,"Eukaryote,Arachnid,Species,Animal"
129,DBPEDIA_ID/Amblyomma_maculatum,"Eukaryote,Arachnid,Species,Animal"
130,DBPEDIA_ID/Anasaitis_canosa,"Eukaryote,Arachnid,Species,Animal"
131,DBPEDIA_ID/Dexippus_taiwanensis,"Eukaryote,Arachnid,Species,Animal"
132,DBPEDIA_ID/Gladicosa_gulosa,"Eukaryote,Arachnid,Species,Animal"
133,DBPEDIA_ID/Habronattus_borealis,"Eukaryote,Arachnid,Species,Animal"
134,DBPEDIA_ID/Habronattus_viridipes,"Eukaryote,Arachnid,Species,Animal"
135,DBPEDIA_ID/Herpyllus_ecclesiasticus,"Eukaryote,Arachnid,Species,Animal"
136,DBPEDIA_ID/Hogna_carolinensis,"Eukaryote,Arachnid,Species,Animal"
137,DBPEDIA_ID/Ixodes_hexagonus,"Eukaryote,Arachnid,Species,Animal"
138,DBPEDIA_ID/Larinioides_sclopetarius,"Eukaryote,Arachnid,Species,Animal"
139,DBPEDIA_ID/Leucauge_venusta,"Eukaryote,Arachnid,Species,Animal"
140,DBPEDIA_ID/Maevia_inclemens,"Eukaryote,Arachnid,Species,Animal"
141,DBPEDIA_ID/Marpissa_pikei,"Eukaryote,Arachnid,Species,Animal"
142,DBPEDIA_ID/Menemerus_bivittatus,"Eukaryote,Arachnid,Species,Animal"
143,DBPEDIA_ID/Micrathena_sagittata,"Eukaryote,Arachnid,Species,Animal"
144,DBPEDIA_ID/Misumenoides_formosipes,"Eukaryote,Arachnid,Species,Animal"
145,DBPEDIA_ID/Misumenops_asperatus,"Eukaryote,Arachnid,Species,Animal"
146,DBPEDIA_ID/Neon_zonatus,"Eukaryote,Arachnid,Species,Animal"
147,DBPEDIA_ID/Neoscona_adianta,"Eukaryote,Arachnid,Species,Animal"
148,DBPEDIA_ID/Neoscona_crucifera,"Eukaryote,Arachnid,Species,Animal"
149,DBPEDIA_ID/Neoscona_domiciliorum,"Eukaryote,Arachnid,Species,Animal"
150,DBPEDIA_ID/Pancorius_taiwanensis,"Eukaryote,Arachnid,Species,Animal"
151,DBPEDIA_ID/Pelegrina_galathea,"Eukaryote,Arachnid,Species,Animal"
152,DBPEDIA_ID/Phidippus_clarus,"Eukaryote,Arachnid,Species,Animal"
153,DBPEDIA_ID/Phidippus_mystaceus,"Eukaryote,Arachnid,Species,Animal"
154,DBPEDIA_ID/Phidippus_otiosus,"Eukaryote,Arachnid,Species,Animal"
155,DBPEDIA_ID/Philodromus_vulgaris,"Eukaryote,Arachnid,Species,Animal"
156,DBPEDIA_ID/Pisaurina_mira,"Eukaryote,Arachnid,Species,Animal"
157,DBPEDIA_ID/Plexippus_paykulli,"Eukaryote,Arachnid,Species,Animal"
158,DBPEDIA_ID/Polyphagotarsonemus_latus,"Eukaryote,Arachnid,Species,Animal"
159,DBPEDIA_ID/Rhipicephalus_microplus,"Eukaryote,Arachnid,Species,Animal"
160,DBPEDIA_ID/Sitticus_fasciger,"Eukaryote,Arachnid,Species,Animal"
161,DBPEDIA_ID/Sitticus_taiwanensis,"Eukaryote,Arachnid,Species,Animal"
162,Avicularia,"Eukaryote,Arachnid,Species,Animal"
163,Ancylometes,"Eukaryote,Arachnid,Species,Animal"
164,DBPEDIA_ID/Diplura_(spider),"Eukaryote,Arachnid,Species,Animal"
165,DBPEDIA_ID/Myrmarachne_plataleoides,"Eukaryote,Arachnid,Species,Animal"
