,entity,classes
0,Methanomicrobiales,"Archaea,Species"
1,DBPEDIA_ID/Thermococcus_celer,"Archaea,Species"
2,Natrialba,"Archaea,Species"
3,Acidianus,"Archaea,Species"
4,Desulfurococcus,"Archaea,Species"
5,Metallosphaera,"Archaea,Species"
6,Methanothermobacter,"Archaea,Species"
7,DBPEDIA_ID/Thermococcus_profundus,"Archaea,Species"
8,DBPEDIA_ID/Thermococcus_gammatolerans,"Archaea,Species"
9,Halobaculum,"Archaea,Species"
10,Thermocladium,"Archaea,Species"
11,Geoglobus,"Archaea,Species"
12,Thermoprotei,"Archaea,Species"
13,Halostagnicola,"Archaea,Species"
14,DBPEDIA_ID/Methanogenium_boonei,"Archaea,Species"
15,Thermoplasmataceae,"Archaea,Species"
16,Caldivirga,"Archaea,Species"
17,DBPEDIA_ID/Halobacterium_salinarum,"Archaea,Species"
18,Methanothermococcus,"Archaea,Species"
19,DBPEDIA_ID/Methanogenium_frigidum,"Archaea,Species"
20,DBPEDIA_ID/Methanothrix_soehngenii,"Archaea,Species"
21,Fervidicoccus,"Archaea,Species"
22,Ferroplasma,"Archaea,Species"
23,Acidiplasma,"Archaea,Species"
24,Caldococcus,"Archaea,Species"
25,Cenarchaeales,"Archaea,Species"
26,Haloarchaea,"Archaea,Species"
27,Methanosaetaceae,"Archaea,Species"
28,Nanoarchaeota,"Archaea,Species"
29,DBPEDIA_ID/Nanoarchaeum_equitans,"Archaea,Species"
30,Crenarchaeota,"Archaea,Species"
31,Korarchaeota,"Archaea,Species"
32,Nitrosopumilales,"Archaea,Species"
33,Halalkalicoccus,"Archaea,Species"
34,DBPEDIA_ID/Thermococcus_peptonophilus,"Archaea,Species"
35,DBPEDIA_ID/Methanoplanus_endosymbiosus,"Archaea,Species"
36,Natrinema,"Archaea,Species"
37,Pyrococcus,"Archaea,Species"
38,Staphylothermus,"Archaea,Species"
39,DBPEDIA_ID/Acidianus_infernus,"Archaea,Species"
40,DBPEDIA_ID/Haloferax_volcanii,"Archaea,Species"
41,DBPEDIA_ID/Halococcus_salifodinae,"Archaea,Species"
42,DBPEDIA_ID/Methanobrevibacter_oralis,"Archaea,Species"
43,DBPEDIA_ID/Palaeococcus_ferrophilus,"Archaea,Species"
44,DBPEDIA_ID/Cenarchaeum_symbiosum,"Archaea,Species"
45,Acidilobales,"Archaea,Species"
46,Sulfurisphaera,"Archaea,Species"
47,DBPEDIA_ID/Thermococcus_hydrothermalis,"Archaea,Species"
48,DBPEDIA_ID/Methanolobus_profundi,"Archaea,Species"
49,Archaeoglobus,"Archaea,Species"
50,Halosarcina,"Archaea,Species"
51,Methanopyrales,"Archaea,Species"
52,Stygiolobus,"Archaea,Species"
53,DBPEDIA_ID/Thermoplasma_acidophilum,"Archaea,Species"
54,DBPEDIA_ID/Methanomethylovorans_thermophila,"Archaea,Species"
55,DBPEDIA_ID/Palaeococcus_helgesonii,"Archaea,Species"
56,DBPEDIA_ID/Methanobrevibacter_wolinii,"Archaea,Species"
57,DBPEDIA_ID/Methanococcus_maripaludis,"Archaea,Species"
58,DBPEDIA_ID/Methanoculleus_submarinus,"Archaea,Species"
59,DBPEDIA_ID/Halobiforma_haloterrestris,"Archaea,Species"
60,DBPEDIA_ID/Methanobrevibacter_curvatus,"Archaea,Species"
61,Methanohalobium,"Archaea,Species"
62,Caldisphaeraceae,"Archaea,Species"
63,DBPEDIA_ID/Methanogenium_marinum,"Archaea,Species"
64,Methanomicrobia,"Archaea,Species"
65,Methanosarcinaceae,"Archaea,Species"
66,Methanosarcinales,"Archaea,Species"
67,Methanococcoides,"Archaea,Species"
68,DBPEDIA_ID/Thermococcus_chitonophagus,"Archaea,Species"
69,DBPEDIA_ID/Pyrobaculum_aerophilum,"Archaea,Species"
70,DBPEDIA_ID/Pyrococcus_furiosus,"Archaea,Species"
71,DBPEDIA_ID/Archaeal_Richmond_Mine_acidophilic_nanoorganisms,"Archaea,Species"
72,DBPEDIA_ID/Methanothermus_fervidus,"Archaea,Species"
73,DBPEDIA_ID/Pyrococcus_horikoshii,"Archaea,Species"
74,Methanoculleus,"Archaea,Species"
75,Methanofollis,"Archaea,Species"
76,Methanolacinia,"Archaea,Species"
77,Methanoplanus,"Archaea,Species"
78,Methanospirillum,"Archaea,Species"
79,DBPEDIA_ID/Halococcus_dombrowskii,"Archaea,Species"
80,DBPEDIA_ID/Sulfolobus_tokodaii,"Archaea,Species"
81,Hyperthermus,"Archaea,Species"
82,Methanobacteriales,"Archaea,Species"
83,DBPEDIA_ID/Methanobrevibacter_gottschalkii,"Archaea,Species"
84,DBPEDIA_ID/Sulfolobus_solfataricus,"Archaea,Species"
85,Halobacterium,"Archaea,Species"
86,DBPEDIA_ID/Sulfolobus_metallicus,"Archaea,Species"
87,Thermococcales,"Archaea,Species"
88,Picrophilus,"Archaea,Species"
89,Aigarchaeota,"Archaea,Species"
90,Methanocella,"Archaea,Species"
91,DBPEDIA_ID/Methanocella_paludicola,"Archaea,Species"
92,Methanopyraceae,"Archaea,Species"
93,DBPEDIA_ID/Methanosarcina_thermophila,"Archaea,Species"
94,Thaumarchaeota,"Archaea,Species"
95,Thermococcaceae,"Archaea,Species"
96,Thermococcus,"Archaea,Species"
97,Cenarchaeaceae,"Archaea,Species"
98,Desulfurococcaceae,"Archaea,Species"
99,Ferroplasmaceae,"Archaea,Species"
100,Methanobacteria,"Archaea,Species"
101,Methanobacteriaceae,"Archaea,Species"
102,Methanocaldococcaceae,"Archaea,Species"
103,Methanococcaceae,"Archaea,Species"
104,Methanocorpusculaceae,"Archaea,Species"
105,Methanospirillaceae,"Archaea,Species"
106,Nitrosopumilaceae,"Archaea,Species"
107,Pyrodictiaceae,"Archaea,Species"
108,Sulfolobaceae,"Archaea,Species"
109,Sulfolobales,"Archaea,Species"
110,Thermofilaceae,"Archaea,Species"
111,DBPEDIA_ID/Sulfolobus_acidocaldarius,"Archaea,Species"
112,DBPEDIA_ID/Methanobrevibacter_filiformis,"Archaea,Species"
