,entity,classes
0,DBPEDIA_ID/Jacob_van_Campen,"Person,Architect,Agent"
1,DBPEDIA_ID/Alvar_Aalto,"Person,Architect,Agent"
2,DBPEDIA_ID/Eugène_Viollet-le-Duc,"Person,Architect,Agent"
3,DBPEDIA_ID/Francesco_Borromini,"Person,Architect,Agent"
4,DBPEDIA_ID/Frank_Lloyd_Wright,"Person,Architect,Agent"
5,DBPEDIA_ID/I._M._Pei,"Person,Architect,Agent"
6,DBPEDIA_ID/Le_Corbusier,"Person,Architect,Agent"
7,DBPEDIA_ID/Ludwig_Mies_van_der_Rohe,"Person,Architect,Agent"
8,DBPEDIA_ID/Mario_Botta,"Person,Architect,Agent"
9,DBPEDIA_ID/Minoru_Yamasaki,"Person,Architect,Agent"
10,"DBPEDIA_ID/Norman_Foster,_Baron_Foster_of_Thames_Bank","Person,Architect,Agent"
11,DBPEDIA_ID/Rem_Koolhaas,"Person,Architect,Agent"
12,DBPEDIA_ID/Renzo_Piano,"Person,Architect,Agent"
13,DBPEDIA_ID/George_Gilbert_Scott,"Person,Architect,Agent"
14,DBPEDIA_ID/Giles_Gilbert_Scott,"Person,Architect,Agent"
15,DBPEDIA_ID/Auguste_de_Montferrand,"Person,Architect,Agent"
16,DBPEDIA_ID/Charles_Barry,"Person,Architect,Agent"
17,DBPEDIA_ID/John_Vanbrugh,"Person,Architect,Agent"
18,DBPEDIA_ID/Louis-Pierre_Baltard,"Person,Architect,Agent"
19,DBPEDIA_ID/William_Chambers_(architect),"Person,Architect,Agent"
20,DBPEDIA_ID/Andrew_Johnson_(architect),"Person,Architect,Agent"
21,DBPEDIA_ID/Edward_Clark_(architect),"Person,Architect,Agent"
22,DBPEDIA_ID/George_Williams_(Idaho_architect),"Person,Architect,Agent"
23,DBPEDIA_ID/J._T._W._Jennings,"Person,Architect,Agent"
24,DBPEDIA_ID/John_Byers_(architect),"Person,Architect,Agent"
25,DBPEDIA_ID/John_Giles_(architect),"Person,Architect,Agent"
26,DBPEDIA_ID/John_Middleton_(architect),"Person,Architect,Agent"
27,DBPEDIA_ID/Thomas_Cecil_Howitt,"Person,Architect,Agent"
28,DBPEDIA_ID/William_Wallace_(mason),"Person,Architect,Agent"
29,DBPEDIA_ID/William_Wilkins_(architect),"Person,Architect,Agent"
30,DBPEDIA_ID/Alexander_Thomson,"Person,Architect,Agent"
31,DBPEDIA_ID/Andrew_Geller,"Person,Architect,Agent"
32,DBPEDIA_ID/Anton_Rosen,"Person,Architect,Agent"
33,DBPEDIA_ID/Armas_Lindgren,"Person,Architect,Agent"
34,DBPEDIA_ID/Bernardo_Calderón_Cabrera,"Person,Architect,Agent"
35,DBPEDIA_ID/Bremer_Whidden_Pond,"Person,Architect,Agent"
36,DBPEDIA_ID/Carl_Pfeiffer_(architect),"Person,Architect,Agent"
37,DBPEDIA_ID/Charles_Underwood,"Person,Architect,Agent"
38,DBPEDIA_ID/Decimus_Burton,"Person,Architect,Agent"
39,DBPEDIA_ID/Donald_Wexler,"Person,Architect,Agent"
40,DBPEDIA_ID/Eugen_Kaufmann,"Person,Architect,Agent"
41,DBPEDIA_ID/Frederick_Mathesius,"Person,Architect,Agent"
42,DBPEDIA_ID/George_Allen_Underwood,"Person,Architect,Agent"
43,DBPEDIA_ID/Gunnar_Asplund,"Person,Architect,Agent"
44,DBPEDIA_ID/Hare_&_Hare,"Person,Architect,Agent"
45,DBPEDIA_ID/Henry_Jones_Underwood,"Person,Architect,Agent"
