,entity,classes
0,DBPEDIA_ID/Abbotsford_House,"ArchitecturalStructure,Building,Place,Location"
1,DBPEDIA_ID/Amsterdam_Airport_Schiphol,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
2,DBPEDIA_ID/Arc_de_Triomphe,"ArchitecturalStructure,Building,Place,Location"
3,DBPEDIA_ID/Area_51,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
4,DBPEDIA_ID/Bank_of_China_Tower_(Hong_Kong),"ArchitecturalStructure,Building,Place,Location"
5,DBPEDIA_ID/Berlin_Wall,"ArchitecturalStructure,Building,Place,Location"
6,DBPEDIA_ID/Big_Dig,"ArchitecturalStructure,Tunnel,Place,Location"
7,DBPEDIA_ID/Bletchley_Park,"ArchitecturalStructure,Building,Museum,Place,Location"
8,DBPEDIA_ID/British_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
9,DBPEDIA_ID/Broadway_(Manhattan),"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
10,DBPEDIA_ID/CN_Tower,"ArchitecturalStructure,Building,Place,Location"
11,DBPEDIA_ID/Cardiff_Arms_Park,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
12,DBPEDIA_ID/Casa_Batlló,"ArchitecturalStructure,Building,Place,Location"
13,DBPEDIA_ID/Casa_Milà,"ArchitecturalStructure,Building,Place,Location"
14,DBPEDIA_ID/Central_Plaza_(Hong_Kong),"ArchitecturalStructure,Building,Place,Location"
15,DBPEDIA_ID/Channel_Tunnel,"Infrastructure,RailwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/Chrysler_Building,"ArchitecturalStructure,Building,Place,Location"
17,DBPEDIA_ID/Church_of_the_Holy_Sepulchre,"ArchitecturalStructure,Building,ReligiousBuilding,Place,Location"
18,DBPEDIA_ID/Cobble_Hill_Tunnel,"ArchitecturalStructure,Building,Place,Location"
19,DBPEDIA_ID/Craven_Cottage,"ArchitecturalStructure,SportFacility,Place,Location,Stadium"
20,DBPEDIA_ID/Dumbarton_Bridge_(California),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
21,DBPEDIA_ID/Eden_Project,"ArchitecturalStructure,Building,Place,Location"
22,DBPEDIA_ID/Eiffel_Tower,"ArchitecturalStructure,Building,Place,Location"
23,DBPEDIA_ID/Empire_State_Building,"ArchitecturalStructure,Building,Place,Location"
24,DBPEDIA_ID/European_route_E4,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
25,DBPEDIA_ID/Fenway_Park,"ArchitecturalStructure,Place,Venue,Location"
