,entity,classes
0,Aorta,"Artery,AnatomicalStructure"
1,DBPEDIA_ID/Internal_iliac_artery,"Artery,AnatomicalStructure"
2,DBPEDIA_ID/Vaginal_branches_of_uterine_artery,"Artery,AnatomicalStructure"
3,DBPEDIA_ID/Anterior_inferior_cerebellar_artery,"Artery,AnatomicalStructure"
4,DBPEDIA_ID/Masseteric_artery,"Artery,AnatomicalStructure"
5,DBPEDIA_ID/Anterior_auricular_branches_of_superficial_temporal_artery,"Artery,AnatomicalStructure"
6,DBPEDIA_ID/Anterior_ethmoidal_artery,"Artery,AnatomicalStructure"
7,DBPEDIA_ID/Anterior_humeral_circumflex_artery,"Artery,AnatomicalStructure"
8,DBPEDIA_ID/Anterior_tibial_recurrent_artery,"Artery,AnatomicalStructure"
9,DBPEDIA_ID/Auricular_branch_of_occipital_artery,"Artery,AnatomicalStructure"
10,DBPEDIA_ID/Auricular_branch_of_posterior_auricular_artery,"Artery,AnatomicalStructure"
11,DBPEDIA_ID/Common_interosseous_artery,"Artery,AnatomicalStructure"
12,DBPEDIA_ID/Deep_cervical_artery,"Artery,AnatomicalStructure"
13,DBPEDIA_ID/Deep_temporal_arteries,"Artery,AnatomicalStructure"
14,DBPEDIA_ID/Iliolumbar_artery,"Artery,AnatomicalStructure"
15,DBPEDIA_ID/Inferior_gluteal_artery,"Artery,AnatomicalStructure"
16,DBPEDIA_ID/Inferior_phrenic_arteries,"Artery,AnatomicalStructure"
17,DBPEDIA_ID/Inferior_thyroid_artery,"Artery,AnatomicalStructure"
18,DBPEDIA_ID/Infraorbital_artery,"Artery,AnatomicalStructure"
19,DBPEDIA_ID/Intercostal_arteries,"Artery,AnatomicalStructure"
20,DBPEDIA_ID/Internal_pudendal_artery,"Artery,AnatomicalStructure"
21,DBPEDIA_ID/Lacrimal_artery,"Artery,AnatomicalStructure"
22,DBPEDIA_ID/Left_gastroepiploic_artery,"Artery,AnatomicalStructure"
23,DBPEDIA_ID/Posterior_auricular_artery,"Artery,AnatomicalStructure"
24,DBPEDIA_ID/Posterior_humeral_circumflex_artery,"Artery,AnatomicalStructure"
25,DBPEDIA_ID/Short_gastric_arteries,"Artery,AnatomicalStructure"
26,DBPEDIA_ID/Sphenopalatine_artery,"Artery,AnatomicalStructure"
27,DBPEDIA_ID/Subcostal_arteries,"Artery,AnatomicalStructure"
28,DBPEDIA_ID/Superior_gluteal_artery,"Artery,AnatomicalStructure"
29,DBPEDIA_ID/Superior_thyroid_artery,"Artery,AnatomicalStructure"
30,DBPEDIA_ID/Supraorbital_artery,"Artery,AnatomicalStructure"
31,DBPEDIA_ID/Thoracodorsal_artery,"Artery,AnatomicalStructure"
32,DBPEDIA_ID/Transverse_cervical_artery,"Artery,AnatomicalStructure"
33,DBPEDIA_ID/Transverse_facial_artery,"Artery,AnatomicalStructure"
34,DBPEDIA_ID/Umbilical_artery,"Artery,AnatomicalStructure"
35,DBPEDIA_ID/Dorsal_artery_of_the_penis,"Artery,AnatomicalStructure"
36,DBPEDIA_ID/Anterior_superior_alveolar_arteries,"Artery,AnatomicalStructure"
37,DBPEDIA_ID/Deep_external_pudendal_artery,"Artery,AnatomicalStructure"
38,DBPEDIA_ID/First_dorsal_metatarsal_artery,"Artery,AnatomicalStructure"
39,DBPEDIA_ID/Glandular_branches_of_facial_artery,"Artery,AnatomicalStructure"
40,DBPEDIA_ID/Helicine_arteries_of_penis,"Artery,AnatomicalStructure"
41,DBPEDIA_ID/Ileocolic_artery,"Artery,AnatomicalStructure"
42,DBPEDIA_ID/Inferior_alveolar_artery,"Artery,AnatomicalStructure"
43,DBPEDIA_ID/Inferior_hypophysial_artery,"Artery,AnatomicalStructure"
44,DBPEDIA_ID/Inferior_suprarenal_artery,"Artery,AnatomicalStructure"
45,DBPEDIA_ID/Left_colic_artery,"Artery,AnatomicalStructure"
46,DBPEDIA_ID/Middle_colic_artery,"Artery,AnatomicalStructure"
47,DBPEDIA_ID/Right_colic_artery,"Artery,AnatomicalStructure"
48,DBPEDIA_ID/Superficial_epigastric_artery,"Artery,AnatomicalStructure"
49,DBPEDIA_ID/Superficial_external_pudendal_artery,"Artery,AnatomicalStructure"
50,DBPEDIA_ID/Superior_hypophysial_artery,"Artery,AnatomicalStructure"
51,DBPEDIA_ID/Superior_suprarenal_artery,"Artery,AnatomicalStructure"
52,DBPEDIA_ID/Posterior_septal_branches_of_sphenopalatine_artery,"Artery,AnatomicalStructure"
53,DBPEDIA_ID/Deep_artery_of_arm,"Artery,AnatomicalStructure"
54,DBPEDIA_ID/Submental_artery,"Artery,AnatomicalStructure"
55,DBPEDIA_ID/Greater_pancreatic_artery,"Artery,AnatomicalStructure"
56,DBPEDIA_ID/Inferior_genicular_arteries,"Artery,AnatomicalStructure"
57,DBPEDIA_ID/Inferior_lateral_genicular_artery,"Artery,AnatomicalStructure"
58,DBPEDIA_ID/Inferior_rectal_artery,"Artery,AnatomicalStructure"
59,DBPEDIA_ID/Inferior_vesical_artery,"Artery,AnatomicalStructure"
60,DBPEDIA_ID/Lateral_sacral_artery,"Artery,AnatomicalStructure"
61,DBPEDIA_ID/Median_sacral_artery,"Artery,AnatomicalStructure"
62,DBPEDIA_ID/Middle_rectal_artery,"Artery,AnatomicalStructure"
63,DBPEDIA_ID/Middle_suprarenal_arteries,"Artery,AnatomicalStructure"
64,DBPEDIA_ID/Right_gastric_artery,"Artery,AnatomicalStructure"
65,DBPEDIA_ID/Right_gastroepiploic_artery,"Artery,AnatomicalStructure"
66,DBPEDIA_ID/Superior_genicular_arteries,"Artery,AnatomicalStructure"
