,entity,classes
0,DBPEDIA_ID/2001_Mars_Odyssey,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
1,DBPEDIA_ID/Apollo_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
2,DBPEDIA_ID/Apollo_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
3,DBPEDIA_ID/Apollo_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
4,DBPEDIA_ID/Apollo_12,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
5,DBPEDIA_ID/Apollo_13,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
6,DBPEDIA_ID/Apollo_14,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
7,DBPEDIA_ID/Apollo_15,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
8,DBPEDIA_ID/Apollo_16,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
9,DBPEDIA_ID/Apollo_17,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
10,DBPEDIA_ID/Apollo_7,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
11,DBPEDIA_ID/Apollo_8,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
12,DBPEDIA_ID/Apollo_9,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
13,DBPEDIA_ID/Galileo_(spacecraft),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
14,DBPEDIA_ID/Gemini_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
15,DBPEDIA_ID/Mariner_4,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
16,DBPEDIA_ID/Pioneer_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
17,STS-51-F,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
18,DBPEDIA_ID/Sputnik_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
19,DBPEDIA_ID/Luna_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
20,DBPEDIA_ID/Luna_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
21,DBPEDIA_ID/Luna_12,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
22,DBPEDIA_ID/Luna_13,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
23,DBPEDIA_ID/Luna_14,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
24,DBPEDIA_ID/Luna_15,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
25,DBPEDIA_ID/Luna_19,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
26,DBPEDIA_ID/Luna_22,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
27,DBPEDIA_ID/Luna_23,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
28,DBPEDIA_ID/Luna_5,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
29,DBPEDIA_ID/Luna_6,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
30,DBPEDIA_ID/Luna_7,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
31,DBPEDIA_ID/Luna_8,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
32,DBPEDIA_ID/Luna_9,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
33,DBPEDIA_ID/Surveyor_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
34,DBPEDIA_ID/Surveyor_2,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
35,DBPEDIA_ID/Surveyor_4,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
36,DBPEDIA_ID/Surveyor_5,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
37,DBPEDIA_ID/Surveyor_6,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
38,DBPEDIA_ID/Explorer_4,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
39,Radarsat-1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
40,DBPEDIA_ID/Fast_Auroral_Snapshot_Explorer,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
41,DBPEDIA_ID/Mars_Colonial_Transporter,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
42,DBPEDIA_ID/Phobos_And_Deimos_&_Mars_Environment,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
43,ADM-Aeolus,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
44,DBPEDIA_ID/AIDA_(mission),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
45,DBPEDIA_ID/ARGOS_(satellite),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
46,DBPEDIA_ID/Akatsuki_(spacecraft),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
47,DBPEDIA_ID/Hayabusa_2,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
48,DBPEDIA_ID/Ingenio_(satellite),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
49,OSIRIS-REx,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
50,DBPEDIA_ID/Soil_Moisture_and_Ocean_Salinity,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
51,DBPEDIA_ID/Solar_wind_Magnetosphere_Ionosphere_Link_Explorer,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
52,DBPEDIA_ID/VERITAS_(spacecraft),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
53,XMM-Newton,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
54,DBPEDIA_ID/Skylab_Rescue,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
55,DBPEDIA_ID/Submillimeter_Wave_Astronomy_Satellite,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
56,DBPEDIA_ID/Akari_(satellite),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
57,DBPEDIA_ID/Azur_(satellite),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
58,DBPEDIA_ID/Courier_1B,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
59,DBPEDIA_ID/Interstellar_Boundary_Explorer,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
60,DBPEDIA_ID/New_Horizons,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
61,DBPEDIA_ID/Space_Capsule_Recovery_Experiment,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
62,AMC-2,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
63,AMC-8,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
64,DBPEDIA_ID/Discoverer_31,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
65,DBPEDIA_ID/Exploration_Mission_2,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
66,DBPEDIA_ID/Aist_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
67,DBPEDIA_ID/GOES_3,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
68,DBPEDIA_ID/HawkSat_I,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
69,DBPEDIA_ID/Intelsat_605,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
70,DBPEDIA_ID/Kosmos_1586,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
71,DBPEDIA_ID/Kosmos_2403,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
72,DBPEDIA_ID/Kosmos_2440,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
73,DBPEDIA_ID/Kosmos_49,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
74,DBPEDIA_ID/Kosmos_706,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
75,DBPEDIA_ID/Meridian_3,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
76,DBPEDIA_ID/Progress_M-05M,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
77,STS-123,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
78,STS-26,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
