,entity,classes
0,DBPEDIA_ID/Adonis_(musician),"Person,MusicalArtist,Agent,Artist"
1,DBPEDIA_ID/Akhenaton_(rapper),"Person,MusicalArtist,Agent,Artist"
2,DBPEDIA_ID/Andy_Collins_(artist),"Person,Agent,Artist"
3,DBPEDIA_ID/Arthur_Roberts_(physicist),"Person,MusicalArtist,Agent,Artist"
4,Aspekt,"Person,MusicalArtist,Agent,Artist"
5,DBPEDIA_ID/B.G._(rapper),"Person,MusicalArtist,Agent,Artist"
6,Beck,"Person,MusicalArtist,Agent,Artist"
7,DBPEDIA_ID/Benjamin_Smoke,"Person,MusicalArtist,Agent,Artist"
8,DBPEDIA_ID/Bink_(record_producer),"Person,MusicalArtist,Agent,Artist"
9,DBPEDIA_ID/Boom_(entertainer),"Person,MusicalArtist,Agent,Artist"
10,DBPEDIA_ID/Boss_(rapper),"Person,MusicalArtist,Agent,Artist"
11,Canaletto,"Person,Agent,Artist"
12,DBPEDIA_ID/Corneille_(singer),"Person,MusicalArtist,Agent,Artist"
13,DBPEDIA_ID/Cornelis_Pronk,"Person,Agent,Artist"
14,DBPEDIA_ID/DJ_Ajax,"Person,MusicalArtist,Agent,Artist"
15,DBPEDIA_ID/Dale_Murray_(musician),"Person,MusicalArtist,Agent,Artist"
16,DBPEDIA_ID/Daniele_da_Volterra,"Person,Agent,Artist"
17,DBPEDIA_ID/Dawson_(actor),"AdultActor,Person,Actor,Agent,Artist"
18,DBPEDIA_ID/Dean_(rapper),"Person,MusicalArtist,Agent,Artist"
19,DBPEDIA_ID/Diego_Mazquiarán,"Person,Agent,Artist"
20,Donatello,"Person,Agent,Artist"
21,DBPEDIA_ID/Double_(singer),"Person,MusicalArtist,Agent,Artist"
22,Emii,"Person,MusicalArtist,Agent,Artist"
23,DBPEDIA_ID/Georges_Rouget,"Person,Agent,Artist"
24,DBPEDIA_ID/Gerald_Brom,"Person,Agent,Artist"
25,DBPEDIA_ID/Gerhard_(cartoonist),"Person,ComicsCreator,Agent,Artist"
26,DBPEDIA_ID/Hans_Christian,"Person,MusicalArtist,Agent,Artist"
27,DBPEDIA_ID/Harris_(rapper),"Person,MusicalArtist,Agent,Artist"
28,DBPEDIA_ID/Heath_(musician),"Person,MusicalArtist,Agent,Artist"
29,DBPEDIA_ID/Hermann_Huppen,"Person,ComicsCreator,Agent,Artist"
30,Hokusai,"Person,Agent,Artist"
31,DBPEDIA_ID/Hubert_de_Givenchy,"FashionDesigner,Person,Agent,Artist"
32,DBPEDIA_ID/J.R._(musician),"Person,MusicalArtist,Agent,Artist"
33,DBPEDIA_ID/J_(South_Korean_singer),"Person,MusicalArtist,Agent,Artist"
34,DBPEDIA_ID/J_(musician),"Person,MusicalArtist,Agent,Artist"
35,DBPEDIA_ID/Jacob_Guay,"Person,MusicalArtist,Agent,Artist"
36,DBPEDIA_ID/Job_(comics),"Person,ComicsCreator,Agent,Artist"
37,DBPEDIA_ID/Johnson_(composer),"Person,MusicalArtist,Agent,Artist"
38,DBPEDIA_ID/Judith_Holofernes,"Person,MusicalArtist,Agent,Artist"
