,entity,classes
0,DBPEDIA_ID/Country_Gentlemen_discography,"MusicalWork,Work,ArtistDiscography"
1,DBPEDIA_ID/Gilbert_O'Sullivan_discography,"MusicalWork,Work,ArtistDiscography"
2,DBPEDIA_ID/Juice_Newton_discography,"MusicalWork,Work,ArtistDiscography"
3,DBPEDIA_ID/Larry_Gatlin_discography,"MusicalWork,Work,ArtistDiscography"
4,DBPEDIA_ID/Weezer_discography,"MusicalWork,Work,ArtistDiscography"
5,DBPEDIA_ID/Faze_discography,"MusicalWork,Work,ArtistDiscography"
6,DBPEDIA_ID/Vanessa_Amorosi_discography,"MusicalWork,Work,ArtistDiscography"
7,DBPEDIA_ID/Clawfinger_discography,"MusicalWork,Work,ArtistDiscography"
8,DBPEDIA_ID/Donovan_discography,"MusicalWork,Work,ArtistDiscography"
9,DBPEDIA_ID/En_Vogue_discography,"MusicalWork,Work,ArtistDiscography"
10,DBPEDIA_ID/Hawkwind_discography,"MusicalWork,Work,ArtistDiscography"
11,DBPEDIA_ID/Jesse_McCartney_discography,"MusicalWork,Work,ArtistDiscography"
12,DBPEDIA_ID/Kylie_Minogue_singles_discography,"MusicalWork,Work,ArtistDiscography"
13,DBPEDIA_ID/Montgomery_Gentry_discography,"MusicalWork,Work,ArtistDiscography"
14,DBPEDIA_ID/Serj_Tankian_discography,"MusicalWork,Work,ArtistDiscography"
15,DBPEDIA_ID/The_Darkness_discography,"MusicalWork,Work,ArtistDiscography"
16,DBPEDIA_ID/The_Offspring_discography,"MusicalWork,Work,ArtistDiscography"
17,DBPEDIA_ID/Ray_Stevens_discography,"MusicalWork,Work,ArtistDiscography"
18,DBPEDIA_ID/Samantha_Jade_discography,"MusicalWork,Work,ArtistDiscography"
19,DBPEDIA_ID/Terri_Clark_discography,"MusicalWork,Work,ArtistDiscography"
20,DBPEDIA_ID/The_Cure_discography,"MusicalWork,Work,ArtistDiscography"
21,DBPEDIA_ID/Ozzy_Osbourne_discography,"MusicalWork,Work,ArtistDiscography"
22,DBPEDIA_ID/AC/DC_discography,"MusicalWork,Work,ArtistDiscography"
23,DBPEDIA_ID/Coldplay_discography,"MusicalWork,Work,ArtistDiscography"
24,DBPEDIA_ID/Def_Leppard_discography,"MusicalWork,Work,ArtistDiscography"
25,DBPEDIA_ID/Delta_Goodrem_discography,"MusicalWork,Work,ArtistDiscography"
26,DBPEDIA_ID/Dir_En_Grey_discography,"MusicalWork,Work,ArtistDiscography"
27,DBPEDIA_ID/Erasure_discography,"MusicalWork,Work,ArtistDiscography"
28,DBPEDIA_ID/Eurythmics_discography,"MusicalWork,Work,ArtistDiscography"
29,DBPEDIA_ID/INXS_discography,"MusicalWork,Work,ArtistDiscography"
30,DBPEDIA_ID/Lindsay_Lohan_discography,"MusicalWork,Work,ArtistDiscography"
31,DBPEDIA_ID/New_Kids_on_the_Block_discography,"MusicalWork,Work,ArtistDiscography"
32,DBPEDIA_ID/Nirvana_discography,"MusicalWork,Work,ArtistDiscography"
33,DBPEDIA_ID/Prong_discography,"MusicalWork,Work,ArtistDiscography"
34,DBPEDIA_ID/Ray_Charles_discography,"MusicalWork,Work,ArtistDiscography"
35,DBPEDIA_ID/Skunk_Anansie_discography,"MusicalWork,Work,ArtistDiscography"
36,DBPEDIA_ID/Usher_discography,"MusicalWork,Work,ArtistDiscography"
37,DBPEDIA_ID/Will_Young_discography,"MusicalWork,Work,ArtistDiscography"
38,DBPEDIA_ID/BoA_videography,"MusicalWork,Work,ArtistDiscography"
39,DBPEDIA_ID/Nicole_Scherzinger_discography,"MusicalWork,Work,ArtistDiscography"
40,DBPEDIA_ID/Daniel_Merriweather_discography,"MusicalWork,Work,ArtistDiscography"
41,DBPEDIA_ID/Tarja_Turunen_discography,"MusicalWork,Work,ArtistDiscography"
42,DBPEDIA_ID/Ayaka_discography,"MusicalWork,Work,ArtistDiscography"
43,DBPEDIA_ID/Lauryn_Hill_discography,"MusicalWork,Work,ArtistDiscography"
44,DBPEDIA_ID/Guided_by_Voices_discography,"MusicalWork,Work,ArtistDiscography"
45,DBPEDIA_ID/Bob_Dylan_discography,"MusicalWork,Work,ArtistDiscography"
46,DBPEDIA_ID/Kate_Bush_discography,"MusicalWork,Work,ArtistDiscography"
47,DBPEDIA_ID/TVXQ_albums_discography,"MusicalWork,Work,ArtistDiscography"
48,DBPEDIA_ID/The_Killers_discography,"MusicalWork,Work,ArtistDiscography"
49,DBPEDIA_ID/The_Pussycat_Dolls_discography,"MusicalWork,Work,ArtistDiscography"
50,DBPEDIA_ID/Alice_Cooper_discography,"MusicalWork,Work,ArtistDiscography"
51,DBPEDIA_ID/Ashley_Tisdale_discography,"MusicalWork,Work,ArtistDiscography"
52,DBPEDIA_ID/Audioslave_discography,"MusicalWork,Work,ArtistDiscography"
53,DBPEDIA_ID/Billy_Ray_Cyrus_discography,"MusicalWork,Work,ArtistDiscography"
54,DBPEDIA_ID/Dean_Martin_discography,"MusicalWork,Work,ArtistDiscography"
55,DBPEDIA_ID/Eddie_Money_discography,"MusicalWork,Work,ArtistDiscography"
56,DBPEDIA_ID/Guns_N'_Roses_discography,"MusicalWork,Work,ArtistDiscography"
57,DBPEDIA_ID/Ludacris_discography,"MusicalWork,Work,ArtistDiscography"
58,DBPEDIA_ID/Richard_D._James_discography,"MusicalWork,Work,ArtistDiscography"
59,DBPEDIA_ID/Sum_41_discography,"MusicalWork,Work,ArtistDiscography"
60,DBPEDIA_ID/Tarkan_(singer)_discography,"MusicalWork,Work,ArtistDiscography"
61,DBPEDIA_ID/Travis_discography,"MusicalWork,Work,ArtistDiscography"
62,DBPEDIA_ID/Unearth_discography,"MusicalWork,Work,ArtistDiscography"
63,DBPEDIA_ID/%22Weird_Al%22_Yankovic_discography,"MusicalWork,Work,ArtistDiscography"
64,DBPEDIA_ID/Akon_discography,"MusicalWork,Work,ArtistDiscography"
65,DBPEDIA_ID/Alanis_Morissette_discography,"MusicalWork,Work,ArtistDiscography"
66,DBPEDIA_ID/Anna_Vissi_discography,"MusicalWork,Work,ArtistDiscography"
67,DBPEDIA_ID/Anouk_discography,"MusicalWork,Work,ArtistDiscography"
68,DBPEDIA_ID/Boredoms_discography,"MusicalWork,Work,ArtistDiscography"
69,DBPEDIA_ID/Boyz_II_Men_discography,"MusicalWork,Work,ArtistDiscography"
70,DBPEDIA_ID/Brian_McKnight_discography,"MusicalWork,Work,ArtistDiscography"
71,DBPEDIA_ID/Bryan_Adams_discography,"MusicalWork,Work,ArtistDiscography"
72,DBPEDIA_ID/Cannibal_Corpse_discography,"MusicalWork,Work,ArtistDiscography"
73,DBPEDIA_ID/Elena_Paparizou_discography,"MusicalWork,Work,ArtistDiscography"
74,DBPEDIA_ID/Fantasia_Barrino_discography,"MusicalWork,Work,ArtistDiscography"
75,DBPEDIA_ID/Feeder_discography,"MusicalWork,Work,ArtistDiscography"
76,DBPEDIA_ID/Freddie_Mercury_discography,"MusicalWork,Work,ArtistDiscography"
77,DBPEDIA_ID/Garbage_discography,"MusicalWork,Work,ArtistDiscography"
78,DBPEDIA_ID/Iced_Earth_discography,"MusicalWork,Work,ArtistDiscography"
79,DBPEDIA_ID/James_Morrison_discography,"MusicalWork,Work,ArtistDiscography"
80,DBPEDIA_ID/John_Mayer_discography,"MusicalWork,Work,ArtistDiscography"
81,DBPEDIA_ID/Kings_of_Leon_discography,"MusicalWork,Work,ArtistDiscography"
82,DBPEDIA_ID/Kreator_discography,"MusicalWork,Work,ArtistDiscography"
83,DBPEDIA_ID/List_of_compositions_by_Ennio_Morricone,"MusicalWork,Work,ArtistDiscography"
84,DBPEDIA_ID/Morning_Musume_discography,"MusicalWork,Work,ArtistDiscography"
85,DBPEDIA_ID/My_Chemical_Romance_discography,"MusicalWork,Work,ArtistDiscography"
86,DBPEDIA_ID/PJ_&_Duncan_discography,"MusicalWork,Work,ArtistDiscography"
87,DBPEDIA_ID/Porcupine_Tree_discography,"MusicalWork,Work,ArtistDiscography"
88,DBPEDIA_ID/Public_Enemy_discography,"MusicalWork,Work,ArtistDiscography"
89,DBPEDIA_ID/Rush_discography,"MusicalWork,Work,ArtistDiscography"
90,DBPEDIA_ID/Seven_discography,"MusicalWork,Work,ArtistDiscography"
91,DBPEDIA_ID/Shannon_Noll_discography,"MusicalWork,Work,ArtistDiscography"
92,DBPEDIA_ID/Skinny_Puppy_discography,"MusicalWork,Work,ArtistDiscography"
93,DBPEDIA_ID/Sophie_Ellis-Bextor_discography,"MusicalWork,Work,ArtistDiscography"
94,DBPEDIA_ID/Take_That_discography,"MusicalWork,Work,ArtistDiscography"
95,DBPEDIA_ID/Talking_Heads_discography,"MusicalWork,Work,ArtistDiscography"
96,DBPEDIA_ID/Taylor_Swift_discography,"MusicalWork,Work,ArtistDiscography"
97,DBPEDIA_ID/Tenacious_D_discography,"MusicalWork,Work,ArtistDiscography"
98,DBPEDIA_ID/The_Animals_discography,"MusicalWork,Work,ArtistDiscography"
99,DBPEDIA_ID/The_Cars_discography,"MusicalWork,Work,ArtistDiscography"
100,DBPEDIA_ID/The_Cheetah_Girls_discography,"MusicalWork,Work,ArtistDiscography"
101,DBPEDIA_ID/The_Doors_discography,"MusicalWork,Work,ArtistDiscography"
102,DBPEDIA_ID/The_Strokes_discography,"MusicalWork,Work,ArtistDiscography"
103,DBPEDIA_ID/The_Waifs_discography,"MusicalWork,Work,ArtistDiscography"
104,DBPEDIA_ID/Third_Eye_Blind_discography,"MusicalWork,Work,ArtistDiscography"
105,DBPEDIA_ID/Tori_Amos_discography,"MusicalWork,Work,ArtistDiscography"
106,DBPEDIA_ID/Van_der_Graaf_Generator_discography,"MusicalWork,Work,ArtistDiscography"
107,DBPEDIA_ID/Westlife_discography,"MusicalWork,Work,ArtistDiscography"
108,DBPEDIA_ID/Wu-Tang_Clan_discography,"MusicalWork,Work,ArtistDiscography"
109,DBPEDIA_ID/Anna_Vissi_videography,"MusicalWork,Work,ArtistDiscography"
110,DBPEDIA_ID/Children_of_Bodom_discography,"MusicalWork,Work,ArtistDiscography"
111,DBPEDIA_ID/Coil_discography,"MusicalWork,Work,ArtistDiscography"
112,DBPEDIA_ID/MF_Doom_discography,"MusicalWork,Work,ArtistDiscography"
113,DBPEDIA_ID/Monica_discography,"MusicalWork,Work,ArtistDiscography"
114,DBPEDIA_ID/Nightwish_discography,"MusicalWork,Work,ArtistDiscography"
115,DBPEDIA_ID/Severed_Heads_discography,"MusicalWork,Work,ArtistDiscography"
116,DBPEDIA_ID/Dr._Dre_discography,"MusicalWork,Work,ArtistDiscography"
117,DBPEDIA_ID/Eddy_Grant_discography,"MusicalWork,Work,ArtistDiscography"
118,DBPEDIA_ID/Misia_discography,"MusicalWork,Work,ArtistDiscography"
119,DBPEDIA_ID/Poison_discography,"MusicalWork,Work,ArtistDiscography"
120,DBPEDIA_ID/Puffy_AmiYumi_discography,"MusicalWork,Work,ArtistDiscography"
121,DBPEDIA_ID/Richard_Thompson_discography,"MusicalWork,Work,ArtistDiscography"
122,DBPEDIA_ID/They_Might_Be_Giants_discography,"MusicalWork,Work,ArtistDiscography"
123,DBPEDIA_ID/Devo_discography,"MusicalWork,Work,ArtistDiscography"
124,DBPEDIA_ID/JoJo_discography,"MusicalWork,Work,ArtistDiscography"
125,DBPEDIA_ID/The_Feeling_discography,"MusicalWork,Work,ArtistDiscography"
126,DBPEDIA_ID/Deicide_discography,"MusicalWork,Work,ArtistDiscography"
127,DBPEDIA_ID/Far_East_Movement_discography,"MusicalWork,Work,ArtistDiscography"
128,DBPEDIA_ID/Mizraab_discography,"MusicalWork,Work,ArtistDiscography"
129,DBPEDIA_ID/Praga_Khan_discography,"MusicalWork,Work,ArtistDiscography"
130,DBPEDIA_ID/The_Blockheads_discography,"MusicalWork,Work,ArtistDiscography"
131,DBPEDIA_ID/2NE1_discography,"MusicalWork,Work,ArtistDiscography"
132,DBPEDIA_ID/2PM_discography,"MusicalWork,Work,ArtistDiscography"
133,DBPEDIA_ID/Ana_Stanić_discography,"MusicalWork,Work,ArtistDiscography"
134,DBPEDIA_ID/Anahí_discography,"MusicalWork,Work,ArtistDiscography"
135,DBPEDIA_ID/Andrew_W.K._discography,"MusicalWork,Work,ArtistDiscography"
136,DBPEDIA_ID/Beast_discography,"MusicalWork,Work,ArtistDiscography"
137,DBPEDIA_ID/Between_the_Buried_and_Me_discography,"MusicalWork,Work,ArtistDiscography"
138,DBPEDIA_ID/Big_Sean_discography,"MusicalWork,Work,ArtistDiscography"
139,DBPEDIA_ID/Black_Tide_discography,"MusicalWork,Work,ArtistDiscography"
140,DBPEDIA_ID/Bo_Burnham_discography,"MusicalWork,Work,ArtistDiscography"
141,DBPEDIA_ID/Bon_Iver_discography,"MusicalWork,Work,ArtistDiscography"
142,DBPEDIA_ID/Brand_New_discography,"MusicalWork,Work,ArtistDiscography"
143,DBPEDIA_ID/Carlos_Santana_discography,"MusicalWork,Work,ArtistDiscography"
144,DBPEDIA_ID/Casting_Crowns_discography,"MusicalWork,Work,ArtistDiscography"
145,DBPEDIA_ID/CeeLo_Green_discography,"MusicalWork,Work,ArtistDiscography"
146,DBPEDIA_ID/Chris_de_Burgh_discography,"MusicalWork,Work,ArtistDiscography"
147,DBPEDIA_ID/Cute_discography,"MusicalWork,Work,ArtistDiscography"
148,DBPEDIA_ID/Emery_discography,"MusicalWork,Work,ArtistDiscography"
149,DBPEDIA_ID/Escape_the_Fate_discography,"MusicalWork,Work,ArtistDiscography"
150,DBPEDIA_ID/Fatboy_Slim_discography,"MusicalWork,Work,ArtistDiscography"
151,DBPEDIA_ID/Foster_the_People_discography,"MusicalWork,Work,ArtistDiscography"
152,DBPEDIA_ID/Fountains_of_Wayne_discography,"MusicalWork,Work,ArtistDiscography"
153,DBPEDIA_ID/G-Dragon_discography,"MusicalWork,Work,ArtistDiscography"
154,DBPEDIA_ID/Girlschool_discography,"MusicalWork,Work,ArtistDiscography"
155,DBPEDIA_ID/Hurts_discography,"MusicalWork,Work,ArtistDiscography"
156,DBPEDIA_ID/Incognito_discography,"MusicalWork,Work,ArtistDiscography"
157,DBPEDIA_ID/J._Cole_discography,"MusicalWork,Work,ArtistDiscography"
158,DBPEDIA_ID/Jaheim_discography,"MusicalWork,Work,ArtistDiscography"
159,DBPEDIA_ID/Jeanette_Biedermann_discography,"MusicalWork,Work,ArtistDiscography"
160,DBPEDIA_ID/Kayah_discography,"MusicalWork,Work,ArtistDiscography"
161,DBPEDIA_ID/Kekal_discography,"MusicalWork,Work,ArtistDiscography"
162,DBPEDIA_ID/Kelly_Key_discography,"MusicalWork,Work,ArtistDiscography"
163,DBPEDIA_ID/Kendrick_Lamar_discography,"MusicalWork,Work,ArtistDiscography"
164,DBPEDIA_ID/Kerry_Ellis_discography,"MusicalWork,Work,ArtistDiscography"
165,DBPEDIA_ID/Ladytron_discography,"MusicalWork,Work,ArtistDiscography"
166,DBPEDIA_ID/Liza_Minnelli_discography,"MusicalWork,Work,ArtistDiscography"
167,DBPEDIA_ID/Loaded_discography,"MusicalWork,Work,ArtistDiscography"
168,DBPEDIA_ID/Madcon_discography,"MusicalWork,Work,ArtistDiscography"
169,DBPEDIA_ID/Maejor_discography,"MusicalWork,Work,ArtistDiscography"
170,DBPEDIA_ID/Mando_Diao_discography,"MusicalWork,Work,ArtistDiscography"
171,DBPEDIA_ID/Marlene_Dietrich_discography,"MusicalWork,Work,ArtistDiscography"
172,DBPEDIA_ID/Mel_B_discography,"MusicalWork,Work,ArtistDiscography"
173,DBPEDIA_ID/MercyMe_discography,"MusicalWork,Work,ArtistDiscography"
174,DBPEDIA_ID/Motionless_in_White_discography,"MusicalWork,Work,ArtistDiscography"
175,DBPEDIA_ID/Myles_Kennedy_discography,"MusicalWork,Work,ArtistDiscography"
176,DBPEDIA_ID/Nadia_Ali_discography,"MusicalWork,Work,ArtistDiscography"
177,DBPEDIA_ID/Noah_and_the_Whale_discography,"MusicalWork,Work,ArtistDiscography"
178,DBPEDIA_ID/Nylon_discography,"MusicalWork,Work,ArtistDiscography"
179,DBPEDIA_ID/Peaches_discography,"MusicalWork,Work,ArtistDiscography"
180,DBPEDIA_ID/Pusha_T_discography,"MusicalWork,Work,ArtistDiscography"
181,DBPEDIA_ID/Sergio_Franchi_discography,"MusicalWork,Work,ArtistDiscography"
