,entity,classes
0,DBPEDIA_ID/Hope_(painting),"Work,Artwork"
1,DBPEDIA_ID/Portrait_of_Cosimo_I_de'_Medici,"Work,Artwork"
2,DBPEDIA_ID/Portrait_of_a_Man_with_a_Medal_of_Cosimo_the_Elder,"Work,Artwork"
3,DBPEDIA_ID/Verity_(statue),"Work,Artwork"
4,DBPEDIA_ID/Air_(Maillol),"Work,Artwork"
5,DBPEDIA_ID/Andromeda_Chained_to_the_Rocks,"Work,Artwork"
6,DBPEDIA_ID/Argo_(Liberman),"Work,Artwork"
7,DBPEDIA_ID/Augustus_of_Prima_Porta,"Work,Artwork"
8,DBPEDIA_ID/Celebration_(Tyeb_Mehta),"Work,Artwork"
9,DBPEDIA_ID/Chain_Reaction_(sculpture),"Work,Artwork"
10,DBPEDIA_ID/Coastline_(sculpture),"Work,Artwork"
11,DBPEDIA_ID/Dürer's_Rhinoceros,"Work,Artwork"
12,DBPEDIA_ID/Flamingo_(sculpture),"Work,Artwork"
13,DBPEDIA_ID/George_Washington_(Ceracchi),"Work,Artwork"
14,DBPEDIA_ID/George_Washington_(Greenough),"Work,Artwork"
15,DBPEDIA_ID/George_Washington_(Houdon),"Work,Artwork"
16,DBPEDIA_ID/Gravitation_(M._C._Escher),"Work,Artwork"
17,DBPEDIA_ID/In_the_Sun_(painting),"Work,Artwork"
18,DBPEDIA_ID/Lieutenant_General_George_Washington_(statue),"Work,Artwork"
19,DBPEDIA_ID/Matteo_Palmieri,"Work,Artwork"
20,DBPEDIA_ID/Mojo_(Moeller),"Work,Artwork"
21,"DBPEDIA_ID/No._5,_1948","Work,Artwork"
22,DBPEDIA_ID/Obos_(fountain),"Work,Artwork"
23,DBPEDIA_ID/Overpass_Light_Brigade,"Work,Artwork"
24,DBPEDIA_ID/Paradise_of_Maitreya,"Work,Artwork"
25,DBPEDIA_ID/Prometheus_(Manship),"Work,Artwork"
26,DBPEDIA_ID/Singing_Ringing_Tree_(Panopticons),"Work,Artwork"
27,DBPEDIA_ID/Smoke_(1/3),"Work,Artwork"
28,DBPEDIA_ID/Starry_Night_(Munch),"Work,Artwork"
29,DBPEDIA_ID/Stone_Flower_(sculpture),"Work,Artwork"
30,DBPEDIA_ID/The_Age_of_Bronze,"Work,Artwork"
31,DBPEDIA_ID/The_Birth_of_Venus_(Cabanel),"Work,Artwork"
32,DBPEDIA_ID/The_Bohemian_(Bouguereau),"Work,Artwork"
33,DBPEDIA_ID/The_Dinner_Party,"Work,Artwork"
34,DBPEDIA_ID/The_Gleaners,"Work,Artwork"
35,DBPEDIA_ID/The_Harvest_(Charles-Francois_Daubigny),"Work,Artwork"
36,DBPEDIA_ID/The_Love_Potion,"Work,Artwork"
37,DBPEDIA_ID/The_Mill_(Burne-Jones_painting),"Work,Artwork"
38,DBPEDIA_ID/The_Mill_(Rembrandt),"Work,Artwork"
39,DBPEDIA_ID/The_Pilgrim_(Marini),"Work,Artwork"
40,DBPEDIA_ID/The_Reaper_(sculpture),"Work,Artwork"
41,DBPEDIA_ID/The_Starry_Night,"Work,Artwork"
42,DBPEDIA_ID/Tip_(sculpture),"Work,Artwork"
43,DBPEDIA_ID/Truth_Unveiled_by_Time_(Bernini),"Work,Artwork"
44,DBPEDIA_ID/Wisconsin_(statue),"Work,Artwork"
45,DBPEDIA_ID/Zapata_(lithograph),"Work,Artwork"
46,DBPEDIA_ID/Still_Life:_Vase_with_Pink_Roses,"Work,Artwork"
47,DBPEDIA_ID/The_Love_Letter_(Vermeer),"Work,Artwork"
48,DBPEDIA_ID/Ad_Astra_(Lippold_sculpture),"Work,Artwork"
