,entity,classes
0,DBPEDIA_ID/11248_Blériot,"CelestialBody,Asteroid,Place,Location"
1,DBPEDIA_ID/3015_Candy,"CelestialBody,Asteroid,Place,Location"
2,DBPEDIA_ID/458_Hercynia,"CelestialBody,Asteroid,Place,Location"
3,DBPEDIA_ID/1044_Teutonia,"CelestialBody,Asteroid,Place,Location"
4,DBPEDIA_ID/Maria_family,"CelestialBody,Asteroid,Place,Location"
5,DBPEDIA_ID/26195_Černohlávek,"CelestialBody,Asteroid,Place,Location"
6,DBPEDIA_ID/1045_Michela,"CelestialBody,Asteroid,Place,Location"
7,DBPEDIA_ID/1178_Irmela,"CelestialBody,Asteroid,Place,Location"
8,DBPEDIA_ID/3278_Běhounek,"CelestialBody,Asteroid,Place,Location"
9,DBPEDIA_ID/3327_Campins,"CelestialBody,Asteroid,Place,Location"
10,DBPEDIA_ID/42365_Caligiuri,"CelestialBody,Asteroid,Place,Location"
11,DBPEDIA_ID/5694_Berényi,"CelestialBody,Asteroid,Place,Location"
12,DBPEDIA_ID/7680_Cari,"CelestialBody,Asteroid,Place,Location"
13,DBPEDIA_ID/8269_Calandrelli,"CelestialBody,Asteroid,Place,Location"
14,DBPEDIA_ID/8967_Calandra,"CelestialBody,Asteroid,Place,Location"
15,DBPEDIA_ID/17959_Camierickson,"CelestialBody,Asteroid,Place,Location"
16,DBPEDIA_ID/18458_Caesar,"CelestialBody,Asteroid,Place,Location"
17,DBPEDIA_ID/1530_Rantaseppä,"CelestialBody,Asteroid,Place,Location"
18,DBPEDIA_ID/33179_Arsènewenger,"CelestialBody,Asteroid,Place,Location"
19,DBPEDIA_ID/1001_Gaussia__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
20,DBPEDIA_ID/1322_Coppernicus__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
21,DBPEDIA_ID/21751_Jennytaylor__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
22,DBPEDIA_ID/2730_Barks__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
23,DBPEDIA_ID/2065_Spicer__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
24,DBPEDIA_ID/2227_Otto_Struve__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
25,DBPEDIA_ID/77185_Cherryh__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
26,DBPEDIA_ID/8371_Goven__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
27,DBPEDIA_ID/1004_Belopolskya__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
28,DBPEDIA_ID/1005_Arago__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
29,DBPEDIA_ID/1007_Pawlowia__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
30,DBPEDIA_ID/1013_Tombecka__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
31,DBPEDIA_ID/1014_Semphyra__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
32,DBPEDIA_ID/1015_Christa__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
33,DBPEDIA_ID/1016_Anitra__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
34,DBPEDIA_ID/1017_Jacqueline__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
35,DBPEDIA_ID/1018_Arnolda__Beltasteroid-stub__1,"CelestialBody,Asteroid,Place,Location"
