,entity,classes
0,DBPEDIA_ID/Catherine_Coleman,"Person,Astronaut,Agent"
1,DBPEDIA_ID/Charles_Edward_Jones,"Person,Astronaut,Agent"
2,DBPEDIA_ID/Neil_Armstrong,"Person,Astronaut,Agent"
3,DBPEDIA_ID/Michael_Collins_(astronaut),"Person,Astronaut,Agent"
4,DBPEDIA_ID/Lodewijk_van_den_Berg,"Person,Astronaut,Agent"
5,DBPEDIA_ID/Robert_Crippen,"Person,Astronaut,Agent"
6,DBPEDIA_ID/Bertalan_Farkas,"Person,Astronaut,Agent"
7,DBPEDIA_ID/Dafydd_Williams,"Person,Astronaut,Agent"
8,DBPEDIA_ID/Klaus_von_Storch,"Person,Astronaut,Agent"
9,DBPEDIA_ID/Paul_J._Weitz,"Person,Astronaut,Agent"
10,DBPEDIA_ID/Robert_D._Cabana,"Person,Astronaut,Agent"
11,DBPEDIA_ID/Soichi_Noguchi,"Person,Astronaut,Agent"
12,DBPEDIA_ID/Susan_Helms,"Person,Astronaut,Agent"
13,DBPEDIA_ID/Toyohiro_Akiyama,"Person,Astronaut,Agent"
14,DBPEDIA_ID/Carlos_I._Noriega,"Person,Astronaut,Agent"
15,DBPEDIA_ID/Chiaki_Mukai,"Person,Astronaut,Agent"
16,DBPEDIA_ID/Christopher_Loria,"Person,Astronaut,Agent"
17,DBPEDIA_ID/Guion_Bluford,"Person,Astronaut,Agent"
18,DBPEDIA_ID/Kjell_N._Lindgren,"Person,Astronaut,Agent"
19,DBPEDIA_ID/Lee_Morin,"Person,Astronaut,Agent"
20,DBPEDIA_ID/Leonid_Popov,"Person,Astronaut,Agent"
21,DBPEDIA_ID/Loren_Shriver,"Person,Astronaut,Agent"
22,DBPEDIA_ID/Mamoru_Mohri,"Person,Astronaut,Agent"
23,DBPEDIA_ID/Pedro_Duque,"Person,Astronaut,Agent"
24,DBPEDIA_ID/Piers_Sellers,"Person,Astronaut,Agent"
25,DBPEDIA_ID/Brian_Duffy_(astronaut),"Person,Astronaut,Agent"
26,DBPEDIA_ID/Ivan_Anikeyev,"Person,Astronaut,Agent"
27,DBPEDIA_ID/Bill_Dana_(pilot),"Person,Astronaut,Agent"
28,DBPEDIA_ID/Ivan_Bella,"Person,Astronaut,Agent"
29,DBPEDIA_ID/Kathryn_P._Hire,"Person,Astronaut,Agent"
30,DBPEDIA_ID/Norman_Thagard,"Person,Astronaut,Agent"
31,DBPEDIA_ID/Reinhold_Ewald,"Person,Astronaut,Agent"
32,DBPEDIA_ID/Shannon_Lucid,"Person,Astronaut,Agent"
33,DBPEDIA_ID/Valentina_Ponomaryova,"Person,Astronaut,Agent"
34,DBPEDIA_ID/Valeri_Polyakov,"Person,Astronaut,Agent"
35,"DBPEDIA_ID/Brent_W._Jett,_Jr.","Person,Astronaut,Agent"
36,DBPEDIA_ID/Ellen_Ochoa,"Person,Astronaut,Agent"
37,DBPEDIA_ID/William_Shepherd,"Person,Astronaut,Agent"
38,DBPEDIA_ID/Clayton_Anderson,"Person,Astronaut,Agent"
39,DBPEDIA_ID/Michael_T._Good,"Person,Astronaut,Agent"
40,DBPEDIA_ID/Sergey_Ryazansky,"Person,Astronaut,Agent"
41,DBPEDIA_ID/William_F._Readdy,"Person,Astronaut,Agent"
