,entity,classes
0,DBPEDIA_ID/Abel_Gómez_Moreno,"Person,Athlete,SoccerPlayer,Agent"
1,DBPEDIA_ID/Abel_Miglietti,"Person,Athlete,SoccerPlayer,Agent"
2,DBPEDIA_ID/Alaina_Johnson,"Gymnast,Person,Athlete,Agent"
3,"DBPEDIA_ID/Albert_Hall_(footballer,_born_1918)","Person,Athlete,SoccerPlayer,Agent"
4,DBPEDIA_ID/Anthony_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
5,DBPEDIA_ID/Antonio_Thomas_(wrestler),"Person,Athlete,Wrestler,Agent"
6,DBPEDIA_ID/Antonius_Ariantho,"Person,Athlete,BadmintonPlayer,Agent"
7,DBPEDIA_ID/Antônio_de_Moura_Carvalho,"Person,Athlete,SoccerPlayer,Agent"
8,DBPEDIA_ID/Atlantis_(wrestler),"Person,Athlete,Wrestler,Agent"
9,DBPEDIA_ID/Augustine_Ahinful,"Person,Athlete,SoccerPlayer,Agent"
10,DBPEDIA_ID/Bernardo_Domínguez,"Person,Athlete,SoccerPlayer,Agent"
11,DBPEDIA_ID/Bernardo_Fernandes_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
12,DBPEDIA_ID/Bernhard_Jensen,"Person,Athlete,Agent"
13,DBPEDIA_ID/Best_(Portuguese_footballer),"Person,Athlete,SoccerPlayer,Agent"
14,DBPEDIA_ID/Beth_Phoenix,"Person,Athlete,Wrestler,Agent"
15,DBPEDIA_ID/Billy_Boy_(wrestler),"Person,Athlete,Wrestler,Agent"
16,DBPEDIA_ID/Blake_Williams,"Person,Athlete,Agent"
17,DBPEDIA_ID/Blake_Williams_(basketball),"Person,Athlete,BasketballPlayer,Agent"
18,DBPEDIA_ID/Buff_Bagwell,"Person,Athlete,Wrestler,Agent"
19,DBPEDIA_ID/Capitão_(footballer),"Person,Athlete,SoccerPlayer,Agent"
20,DBPEDIA_ID/Christian_Cage,"Person,Athlete,Wrestler,Agent"
21,DBPEDIA_ID/Christian_Corrêa_Dionisio,"Person,Athlete,SoccerPlayer,Agent"
22,DBPEDIA_ID/Christian_Fernández_Salas,"Person,Athlete,SoccerPlayer,Agent"
23,DBPEDIA_ID/Corona_(footballer),"Person,Athlete,SoccerPlayer,Agent"
24,DBPEDIA_ID/Crowbar_(wrestler),"Person,Athlete,Wrestler,Agent"
25,DBPEDIA_ID/Dante_(footballer),"Person,Athlete,SoccerPlayer,Agent"
26,DBPEDIA_ID/David_França_Oliveira_e_Silva,"Person,Athlete,SoccerPlayer,Agent"
27,DBPEDIA_ID/David_Pereira_da_Costa,"Person,Athlete,SoccerPlayer,Agent"
28,DBPEDIA_ID/Davy_(Hampshire_cricketer),"Person,Athlete,Cricketer,Agent"
29,"DBPEDIA_ID/Dean_Martin_(footballer,_born_1957)","Person,Athlete,SoccerPlayer,Agent"
30,DBPEDIA_ID/Don_Callis,"Person,Athlete,Wrestler,Agent"
31,DBPEDIA_ID/Edgar_Booth,"Person,Athlete,SoccerPlayer,Agent"
32,DBPEDIA_ID/Egotistico_Fantastico,"Person,Athlete,Wrestler,Agent"
33,DBPEDIA_ID/Eldon_Maquemba,"Person,Athlete,SoccerPlayer,Agent"
34,DBPEDIA_ID/Elektra_(wrestling),"Person,Athlete,Wrestler,Agent"
35,DBPEDIA_ID/Elias_Alves_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
36,DBPEDIA_ID/Elias_Mendes_Trindade,"Person,Athlete,SoccerPlayer,Agent"
37,DBPEDIA_ID/Elias_Ribeiro_de_Oliveira,"Person,Athlete,SoccerPlayer,Agent"
38,DBPEDIA_ID/Elizabeth_Miklosi,"Person,Athlete,Wrestler,Agent"
39,DBPEDIA_ID/Eric_Guerin,"Person,Athlete,Jockey,Agent"
40,DBPEDIA_ID/Fabricio_Agosto_Ramírez,"Person,Athlete,SoccerPlayer,Agent"
41,DBPEDIA_ID/Fernando_Tobias_de_Carvalho,"Person,Athlete,SoccerPlayer,Agent"
42,DBPEDIA_ID/Francis_(footballer),"Person,Athlete,SoccerPlayer,Agent"
43,DBPEDIA_ID/Francis_José_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
44,DBPEDIA_ID/Francisco_Delgado_Melo,"Person,Athlete,SoccerPlayer,Agent"
45,DBPEDIA_ID/George_Allen_(footballer),"Person,Athlete,SoccerPlayer,Agent"
46,DBPEDIA_ID/George_Allen_(ice_hockey),"Person,Athlete,IceHockeyPlayer,Agent,WinterSportPlayer"
47,DBPEDIA_ID/Germán_Figueroa,"Person,Athlete,Wrestler,Agent"
48,DBPEDIA_ID/Gilberto_da_Silva_Melo,"Person,Athlete,SoccerPlayer,Agent"
49,DBPEDIA_ID/Gordon_Fraser_(footballer),"Person,Athlete,SoccerPlayer,Agent"
50,DBPEDIA_ID/Gustavo_Breda_Rodrigues,"Person,Athlete,SoccerPlayer,Agent"
51,DBPEDIA_ID/Hendrich_Miller_Meireles_Bernardo,"Person,Athlete,SoccerPlayer,Agent"
52,DBPEDIA_ID/Hercules_(wrestler),"Person,Athlete,Wrestler,Agent"
53,DBPEDIA_ID/Hermes_Neves_Soares,"Person,Athlete,SoccerPlayer,Agent"
54,DBPEDIA_ID/Hermes_Rodrigues_Júnior,"Person,Athlete,SoccerPlayer,Agent"
55,DBPEDIA_ID/Israel_(footballer),"Person,Athlete,SoccerPlayer,Agent"
56,DBPEDIA_ID/Israel_Delgado,"Person,Athlete,SoccerPlayer,Agent"
57,DBPEDIA_ID/Jack_Hogg,"Person,Athlete,SoccerPlayer,Agent"
58,"DBPEDIA_ID/Jack_Hogg_(footballer,_born_1931)","Person,Athlete,SoccerPlayer,Agent"
59,DBPEDIA_ID/Jan_Janssen,"Cyclist,Person,Athlete,Agent"
60,DBPEDIA_ID/Jeff_Farmer_(wrestler),"Person,Athlete,Wrestler,Agent"
61,DBPEDIA_ID/Jeremy_Borash,"Person,Athlete,Wrestler,Agent"
62,DBPEDIA_ID/Jhonatan_Bernardo,"Person,Athlete,SoccerPlayer,Agent"
63,DBPEDIA_ID/Jonas_Jessue_da_Silva_Júnior,"Person,Athlete,SoccerPlayer,Agent"
64,DBPEDIA_ID/Jones_Leandro,"Person,Athlete,SoccerPlayer,Agent"
65,DBPEDIA_ID/João_Baptista_Martins,"Person,Athlete,SoccerPlayer,Agent"
66,DBPEDIA_ID/Julien_Frier,"Person,Athlete,RugbyPlayer,Agent"
67,DBPEDIA_ID/Karl_Werner_(footballer),"Person,Athlete,SoccerPlayer,Agent"
68,DBPEDIA_ID/Lauren_(footballer),"Person,Athlete,SoccerPlayer,Agent"
69,DBPEDIA_ID/Leandro_Alves_da_Cunha,"Person,Athlete,SoccerPlayer,Agent"
70,DBPEDIA_ID/Leandro_Mariano_da_Silva,"Person,Athlete,SoccerPlayer,Agent"
71,DBPEDIA_ID/Leonardo_André_Pimenta_Faria,"Person,Athlete,SoccerPlayer,Agent"
72,DBPEDIA_ID/Lewis_(baseball),"Person,Athlete,BaseballPlayer,Agent"
73,DBPEDIA_ID/Luis_Roberto_García_Toral,"Person,Athlete,SoccerPlayer,Agent"
74,DBPEDIA_ID/Macula_(footballer),"Person,Athlete,SoccerPlayer,Agent"
75,DBPEDIA_ID/Maria_Kanellis,"Person,Athlete,Wrestler,Agent"
76,DBPEDIA_ID/Martin_(Hampshire_cricketer),"Person,Athlete,Cricketer,Agent"
77,DBPEDIA_ID/Matt_Bloom,"Person,Athlete,Wrestler,Agent"
78,DBPEDIA_ID/Maximum_Capacity,"Person,Athlete,Wrestler,Agent"
79,DBPEDIA_ID/Meyer_Carlos_de_Camargo_Júnior,"Person,Athlete,SoccerPlayer,Agent"
80,DBPEDIA_ID/Mozart_Santos_Batista_Júnior,"Person,Athlete,SoccerPlayer,Agent"
81,DBPEDIA_ID/Newton_Santos_de_Oliveira,"Person,Athlete,SoccerPlayer,Agent"
82,DBPEDIA_ID/Nilton_Pereira_Mendes,"Person,Athlete,SoccerPlayer,Agent"
83,DBPEDIA_ID/ODB_(wrestler),"Person,Athlete,Wrestler,Agent"
84,DBPEDIA_ID/Oliver_Cuadrado_Martín,"Person,Athlete,SoccerPlayer,Agent"
85,DBPEDIA_ID/Pascal_Kondaponi,"Person,Athlete,SoccerPlayer,Agent"
86,DBPEDIA_ID/Peter_Meyer_(footballer),"Person,Athlete,SoccerPlayer,Agent"
87,DBPEDIA_ID/Pierroth_Jr.,"Person,Athlete,Wrestler,Agent"
88,DBPEDIA_ID/Raphael_Tessaro_Schettino,"Person,Athlete,SoccerPlayer,Agent"
