,entity,classes
0,DBPEDIA_ID/Brisbane_Lions,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
1,DBPEDIA_ID/Essendon_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
2,DBPEDIA_ID/Geelong_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
3,DBPEDIA_ID/North_Melbourne_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
4,DBPEDIA_ID/Port_Adelaide_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
5,DBPEDIA_ID/Central_District_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
6,DBPEDIA_ID/Los_Angeles_Dragons,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
7,DBPEDIA_ID/North_Adelaide_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
8,DBPEDIA_ID/North_Ballarat_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
9,DBPEDIA_ID/Rovers_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
10,DBPEDIA_ID/Cincinnati_Dockers,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
11,DBPEDIA_ID/Mayne_Australian_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
12,DBPEDIA_ID/New_York_Magpies,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
13,DBPEDIA_ID/Western_Magpies_Australian_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
14,DBPEDIA_ID/Western_Suburbs_Magpies_AFC,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
15,DBPEDIA_ID/Border-Walwa_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
16,DBPEDIA_ID/Collingwood_Park_Australian_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
17,DBPEDIA_ID/Atlanta_Kookaburras,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
18,DBPEDIA_ID/Eastern_Ranges,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
19,DBPEDIA_ID/Heidelberg_West_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
20,DBPEDIA_ID/Cardiff_Double_Blues,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
21,DBPEDIA_ID/Queenscliff_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
22,DBPEDIA_ID/Golden_Point_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
23,DBPEDIA_ID/Perth_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
24,DBPEDIA_ID/Myrtleford_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
25,DBPEDIA_ID/Tiwi_Islands_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
26,DBPEDIA_ID/Katandra_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
27,DBPEDIA_ID/Shepparton_East_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
28,DBPEDIA_ID/South_Gawler_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
29,DBPEDIA_ID/Euroa_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
30,DBPEDIA_ID/Goodwood_Saints_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
31,DBPEDIA_ID/Mooroopna_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
32,DBPEDIA_ID/Randwick_City_Saints_AFC,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
33,DBPEDIA_ID/Shepparton_Swans_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
34,DBPEDIA_ID/Stuttgart_Emus,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
35,DBPEDIA_ID/Surfers_Paradise_Australian_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
36,DBPEDIA_ID/Tatura_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
37,DBPEDIA_ID/Albion_Football_Club_(WRFL),"Organisation,SportsTeam,AustralianFootballTeam,Agent"
38,DBPEDIA_ID/Alvie_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
39,DBPEDIA_ID/Belmont_Lions_Sports_Club_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
40,DBPEDIA_ID/Caroline_Springs_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
41,DBPEDIA_ID/Colac_Imperials_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
42,DBPEDIA_ID/Corio_Community_Sports_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
43,DBPEDIA_ID/Deer_Park_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
44,DBPEDIA_ID/East_Geelong_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
45,DBPEDIA_ID/Geelong_West_Sports_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
46,DBPEDIA_ID/Glenorden_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
47,DBPEDIA_ID/Hoppers_Crossing_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
48,DBPEDIA_ID/Irrewarra-Beeac_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
49,DBPEDIA_ID/Laverton_Magpies_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
50,DBPEDIA_ID/Longwood_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
51,DBPEDIA_ID/Melton_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
52,DBPEDIA_ID/North_Footscray_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
53,DBPEDIA_ID/North_Sunshine_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
54,DBPEDIA_ID/Sunbury_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
55,DBPEDIA_ID/Thomson_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
56,DBPEDIA_ID/Western_Eagles_Football_Netball_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
57,DBPEDIA_ID/Yarraville_Seddon_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
58,DBPEDIA_ID/Altona_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
59,DBPEDIA_ID/Arizona_Hawks,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
60,DBPEDIA_ID/Baltimore_Washington_Eagles,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
61,DBPEDIA_ID/Baton_Rouge_Tigers,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
62,DBPEDIA_ID/Braybrook_Sporting_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
63,DBPEDIA_ID/Fort_Lauderdale_Fighting_Squids,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
64,DBPEDIA_ID/Golden_Gate_Roos,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
65,DBPEDIA_ID/Kansas_City_Power,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
66,DBPEDIA_ID/Milwaukee_Bombers,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
67,DBPEDIA_ID/Minnesota_Freeze,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
68,DBPEDIA_ID/Nashville_Kangaroos,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
69,DBPEDIA_ID/Orange_County_Bombers,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
70,DBPEDIA_ID/Port_Melbourne_Colts_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
71,DBPEDIA_ID/San_Diego_Lions,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
72,DBPEDIA_ID/Seattle_Grizzlies,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
73,DBPEDIA_ID/Spotswood_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
74,DBPEDIA_ID/Sunshine_Heights_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
75,DBPEDIA_ID/Tallangatta_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
76,DBPEDIA_ID/Werribee_Centrals_Sports_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
77,DBPEDIA_ID/Wyndhamvale_Football_Club,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
78,DBPEDIA_ID/Putney_Magpies,"Organisation,SportsTeam,AustralianFootballTeam,Agent"
