,entity,classes
0,DBPEDIA_ID/Angus_Abbey,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
1,DBPEDIA_ID/Angus_Brayshaw,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
2,DBPEDIA_ID/Angus_Fregon,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
3,DBPEDIA_ID/Artie_Adams,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
4,"DBPEDIA_ID/Bob_Stewart_(footballer,_born_1903)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
5,"DBPEDIA_ID/Bob_Stewart_(footballer,_born_1939)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
6,"DBPEDIA_ID/Bob_Stewart_(footballer,_born_1946)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
7,DBPEDIA_ID/Clive_Smith_(footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
8,DBPEDIA_ID/Drew_Banfield,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
9,DBPEDIA_ID/George_Williams_(Australian_footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
10,"DBPEDIA_ID/George_Williams_(footballer,_born_1881)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
11,DBPEDIA_ID/John_Barker_(Australian_rules_footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
12,DBPEDIA_ID/Robert_Fox_(footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
13,DBPEDIA_ID/Alan_Martin_(Australian_rules_footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
14,DBPEDIA_ID/Arthur_Jones_(Australian_footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
15,"DBPEDIA_ID/Bill_Brown_(footballer,_born_1882)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
16,"DBPEDIA_ID/Bill_Brown_(footballer,_born_1906)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
17,"DBPEDIA_ID/Bill_Brown_(footballer,_born_1914)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
18,DBPEDIA_ID/Bill_Dempsey,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
19,DBPEDIA_ID/Bill_Grant_(footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
20,"DBPEDIA_ID/Bill_Green_(footballer,_born_1914)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
21,"DBPEDIA_ID/Bill_Green_(footballer,_born_1932)","Person,Athlete,AustralianRulesFootballPlayer,Agent"
22,DBPEDIA_ID/Bill_Walker_(Australian_footballer),"Person,Athlete,AustralianRulesFootballPlayer,Agent"
23,DBPEDIA_ID/Brant_Colledge,"Person,Athlete,AustralianRulesFootballPlayer,Agent"
