,entity,classes
0,Bacillus,"Bacteria,Species"
1,DBPEDIA_ID/Bacillus_thuringiensis,"Bacteria,Species"
2,Enterobacteriaceae,"Bacteria,Species"
3,Proteobacteria,"Bacteria,Species"
4,DBPEDIA_ID/Green_sulfur_bacteria,"Bacteria,Species"
5,DBPEDIA_ID/Acinetobacter_baumannii,"Bacteria,Species"
6,Adlercreutzia,"Bacteria,Species"
7,DBPEDIA_ID/Aeromonas_media,"Bacteria,Species"
8,Bacteroidetes,"Bacteria,Species"
9,Idiomarina,"Bacteria,Species"
10,DBPEDIA_ID/Mycoplasma_orale,"Bacteria,Species"
11,DBPEDIA_ID/Paenibacillus_alvei,"Bacteria,Species"
12,DBPEDIA_ID/Spirulina_(genus),"Bacteria,Species"
13,DBPEDIA_ID/Pelagibacter_ubique,"Bacteria,Species"
14,Alkalibacter,"Bacteria,Species"
15,DBPEDIA_ID/Anaerolinea_thermolimosa,"Bacteria,Species"
16,DBPEDIA_ID/Krasilnikovia_cinnamomea,"Bacteria,Species"
17,Silicibacter,"Bacteria,Species"
18,DBPEDIA_ID/Lactobacillus_acidophilus,"Bacteria,Species"
19,Planctomycetes,"Bacteria,Species"
20,GFAJ-1,"Bacteria,Species"
21,DBPEDIA_ID/Actinomyces_israelii,"Bacteria,Species"
22,DBPEDIA_ID/Dichelobacter_nodosus,"Bacteria,Species"
23,Sphaerobacter,"Bacteria,Species"
24,DBPEDIA_ID/Thermotoga_hypogea,"Bacteria,Species"
25,Achromatium,"Bacteria,Species"
26,Paracoccus,"Bacteria,Species"
27,DBPEDIA_ID/Thermosyntropha_lipolytica,"Bacteria,Species"
28,DBPEDIA_ID/Halanaerobium_hydrogenoformans,"Bacteria,Species"
29,DBPEDIA_ID/Mycoplasma_spumans,"Bacteria,Species"
30,Sporosarcina,"Bacteria,Species"
31,DBPEDIA_ID/Bacillus_subtilis,"Bacteria,Species"
32,Thermus,"Bacteria,Species"
33,Beggiatoa,"Bacteria,Species"
34,DBPEDIA_ID/Thermotoga_subterranea,"Bacteria,Species"
35,Acidiphilium,"Bacteria,Species"
36,Afifella,"Bacteria,Species"
37,Alkalimonas,"Bacteria,Species"
38,DBPEDIA_ID/Rickettsia_massiliae,"Bacteria,Species"
39,DBPEDIA_ID/Roseburia_inulinivorans,"Bacteria,Species"
40,DBPEDIA_ID/Symbiobacterium_thermophilum,"Bacteria,Species"
41,Albidiferax,"Bacteria,Species"
42,Demequina,"Bacteria,Species"
43,DBPEDIA_ID/Leptospirillum_ferriphilum,"Bacteria,Species"
44,DBPEDIA_ID/Levilinea_saccharolytica,"Bacteria,Species"
45,DBPEDIA_ID/Sphingobacteria_(phylum),"Bacteria,Species"
46,Rhodobaca,"Bacteria,Species"
47,Pseudonocardiaceae,"Bacteria,Species"
48,Actinoallomurus,"Bacteria,Species"
49,DBPEDIA_ID/Aeromonas_bestiarum,"Bacteria,Species"
50,DBPEDIA_ID/Alicyclobacillus_acidiphilus,"Bacteria,Species"
51,DBPEDIA_ID/Brumimicrobium_glaciale,"Bacteria,Species"
52,DBPEDIA_ID/Friedmanniella_antarctica,"Bacteria,Species"
53,DBPEDIA_ID/Bacillus_azotoformans,"Bacteria,Species"
54,DBPEDIA_ID/Clostridium_leptum,"Bacteria,Species"
55,DBPEDIA_ID/Roseivivax_halotolerans,"Bacteria,Species"
56,DBPEDIA_ID/Ochrobactrum_grignonense,"Bacteria,Species"
57,Petrobacter,"Bacteria,Species"
58,DBPEDIA_ID/Sylvatic_plague,"Bacteria,Species"
59,DBPEDIA_ID/Ethanoligenens_harbinense,"Bacteria,Species"
60,DBPEDIA_ID/Ochrobactrum_lupini,"Bacteria,Species"
61,DBPEDIA_ID/Ochrobactrum_oryzae,"Bacteria,Species"
62,Roseobacter,"Bacteria,Species"
63,DBPEDIA_ID/Actinopolyspora_xinjiangensis,"Bacteria,Species"
64,Aliivibrio,"Bacteria,Species"
65,Cyanobacteria,"Bacteria,Species"
66,DBPEDIA_ID/Halobacillus_litoralis,"Bacteria,Species"
67,DBPEDIA_ID/Mycoplasma_faucium,"Bacteria,Species"
68,Borrelia,"Bacteria,Species"
69,Hirschia,"Bacteria,Species"
