,entity,classes
0,DBPEDIA_ID/Nippon_Professional_Baseball,"Organisation,BaseballLeague,Agent,SportsLeague"
1,DBPEDIA_ID/World_Baseball_Classic,"Organisation,BaseballLeague,Agent,SportsLeague"
2,DBPEDIA_ID/Intercontinental_Cup_(baseball),"Organisation,BaseballLeague,Agent,SportsLeague"
3,DBPEDIA_ID/Negro_Southern_League,"Organisation,BaseballLeague,Agent,SportsLeague"
4,DBPEDIA_ID/Southwest_International_League,"Organisation,BaseballLeague,Agent,SportsLeague"
5,DBPEDIA_ID/Western_Major_Baseball_League,"Organisation,BaseballLeague,Agent,SportsLeague"
6,DBPEDIA_ID/Cuban_League,"Organisation,BaseballLeague,Agent,SportsLeague"
7,DBPEDIA_ID/European_Cup_(baseball),"Organisation,BaseballLeague,Agent,SportsLeague"
8,DBPEDIA_ID/South_Cheektowaga_Baseball_Association,"Organisation,BaseballLeague,Agent,SportsLeague"
9,DBPEDIA_ID/Women's_Baseball_World_Cup,"Organisation,BaseballLeague,Agent,SportsLeague"
10,DBPEDIA_ID/Middle_Atlantic_League,"Organisation,BaseballLeague,Agent,SportsLeague"
11,DBPEDIA_ID/Coastal_Plain_League,"Organisation,BaseballLeague,Agent,SportsLeague"
12,DBPEDIA_ID/Puget_Sound_Senior_Baseball_League,"Organisation,BaseballLeague,Agent,SportsLeague"
13,DBPEDIA_ID/Mexican_League,"Organisation,BaseballLeague,Agent,SportsLeague"
14,DBPEDIA_ID/Players'_League,"Organisation,BaseballLeague,Agent,SportsLeague"
15,DBPEDIA_ID/Venezuelan_Summer_League,"Organisation,BaseballLeague,Agent,SportsLeague"
16,DBPEDIA_ID/Inter-American_League,"Organisation,BaseballLeague,Agent,SportsLeague"
17,DBPEDIA_ID/Sunbelt_Baseball_League,"Organisation,BaseballLeague,Agent,SportsLeague"
18,DBPEDIA_ID/Cape_Cod_Baseball_League,"Organisation,BaseballLeague,Agent,SportsLeague"
19,DBPEDIA_ID/KBO_League,"Organisation,BaseballLeague,Agent,SportsLeague"
