,entity,classes
0,DBPEDIA_ID/Lewis_(baseball),"Person,Athlete,BaseballPlayer,Agent"
1,DBPEDIA_ID/Albert_Spalding,"Person,Athlete,BaseballPlayer,Agent"
2,DBPEDIA_ID/Alfred_Lawson,"Person,Athlete,BaseballPlayer,Agent"
3,DBPEDIA_ID/Babe_Ruth,"Person,Athlete,BaseballPlayer,Agent"
4,DBPEDIA_ID/Barry_Bonds,"Person,Athlete,BaseballPlayer,Agent"
5,DBPEDIA_ID/Cy_Young,"Person,Athlete,BaseballPlayer,Agent"
6,DBPEDIA_ID/Hank_Aaron,"Person,Athlete,BaseballPlayer,Agent"
7,DBPEDIA_ID/Hank_Greenberg,"Person,Athlete,BaseballPlayer,Agent"
8,DBPEDIA_ID/Jackie_Robinson,"Person,Athlete,BaseballPlayer,Agent"
9,DBPEDIA_ID/Johnny_Bench,"Person,Athlete,BaseballPlayer,Agent"
10,DBPEDIA_ID/Mark_McGwire,"Person,Athlete,BaseballPlayer,Agent"
11,DBPEDIA_ID/Ozzie_Smith,"Person,Athlete,BaseballPlayer,Agent"
12,DBPEDIA_ID/Pedro_Martínez,"Person,Athlete,BaseballPlayer,Agent"
13,DBPEDIA_ID/Roberto_Clemente,"Person,Athlete,BaseballPlayer,Agent"
14,DBPEDIA_ID/Roger_Clemens,"Person,Athlete,BaseballPlayer,Agent"
15,DBPEDIA_ID/Rube_Foster,"Person,Athlete,BaseballPlayer,Agent"
16,DBPEDIA_ID/Sammy_Sosa,"Person,Athlete,BaseballPlayer,Agent"
17,DBPEDIA_ID/Satchel_Paige,"Person,Athlete,BaseballPlayer,Agent"
18,DBPEDIA_ID/Dave_Stieb,"Person,Athlete,BaseballPlayer,Agent"
19,DBPEDIA_ID/Barry_Zito,"Person,Athlete,BaseballPlayer,Agent"
20,DBPEDIA_ID/Eddie_Cicotte,"Person,Athlete,BaseballPlayer,Agent"
21,DBPEDIA_ID/Fernando_Valenzuela,"Person,Athlete,BaseballPlayer,Agent"
22,DBPEDIA_ID/Jimmie_Foxx,"Person,Athlete,BaseballPlayer,Agent"
23,DBPEDIA_ID/Lou_Brock,"Person,Athlete,BaseballPlayer,Agent"
24,DBPEDIA_ID/Mickey_Cochrane,"Person,Athlete,BaseballPlayer,Agent"
25,DBPEDIA_ID/Mike_Sweeney,"Person,Athlete,BaseballPlayer,Agent"
26,DBPEDIA_ID/Bill_Selby,"Person,Athlete,BaseballPlayer,Agent"
27,DBPEDIA_ID/Brad_Chalk,"Person,Athlete,BaseballPlayer,Agent"
28,DBPEDIA_ID/Dann_Howitt,"Person,Athlete,BaseballPlayer,Agent"
29,DBPEDIA_ID/Danny_Ozark,"Person,Athlete,BaseballPlayer,Agent"
30,DBPEDIA_ID/Dave_Chalk,"Person,Athlete,BaseballPlayer,Agent"
31,DBPEDIA_ID/David_Ross_(baseball),"Person,Athlete,BaseballPlayer,Agent"
32,DBPEDIA_ID/Debs_Garms,"Person,Athlete,BaseballPlayer,Agent"
33,DBPEDIA_ID/Edd_Roush,"Person,Athlete,BaseballPlayer,Agent"
34,DBPEDIA_ID/Ezra_Sutton,"Person,Athlete,BaseballPlayer,Agent"
35,DBPEDIA_ID/George_Jackson_(baseball),"Person,Athlete,BaseballPlayer,Agent"
36,DBPEDIA_ID/George_Suggs,"Person,Athlete,BaseballPlayer,Agent"
37,DBPEDIA_ID/George_Williams_(Negro_Leagues_infielder),"Person,Athlete,BaseballPlayer,Agent"
38,DBPEDIA_ID/Hughie_Jennings,"Person,Athlete,BaseballPlayer,Agent"
39,DBPEDIA_ID/Hy_Gunning,"Person,Athlete,BaseballPlayer,Agent"
40,"DBPEDIA_ID/Jerry_Hairston,_Jr.","Person,Athlete,BaseballPlayer,Agent"
41,"DBPEDIA_ID/Jerry_Hairston,_Sr.","Person,Athlete,BaseballPlayer,Agent"
42,DBPEDIA_ID/John_Middleton_(baseball),"Person,Athlete,BaseballPlayer,Agent"
43,DBPEDIA_ID/Johnny_Abrego,"Person,Athlete,BaseballPlayer,Agent"
44,DBPEDIA_ID/Johnny_Hairston,"Person,Athlete,BaseballPlayer,Agent"
45,DBPEDIA_ID/Juan_Rivera_(baseball),"Person,Athlete,BaseballPlayer,Agent"
46,DBPEDIA_ID/Kevin_Pillar,"Person,Athlete,BaseballPlayer,Agent"
47,DBPEDIA_ID/King_Cole_(baseball),"Person,Athlete,BaseballPlayer,Agent"
48,DBPEDIA_ID/Rod_Correia,"Person,Athlete,BaseballPlayer,Agent"
49,DBPEDIA_ID/Sam_Hairston,"Person,Athlete,BaseballPlayer,Agent"
50,DBPEDIA_ID/Tom_Gunning,"Person,Athlete,BaseballPlayer,Agent"
51,DBPEDIA_ID/Tubby_Spencer,"Person,Athlete,BaseballPlayer,Agent"
52,DBPEDIA_ID/Willie_Keeler,"Person,Athlete,BaseballPlayer,Agent"
53,DBPEDIA_ID/Aaron_Ward_(baseball),"Person,Athlete,BaseballPlayer,Agent"
54,DBPEDIA_ID/Al_Nipper,"Person,Athlete,BaseballPlayer,Agent"
55,DBPEDIA_ID/Al_Smith_(left-handed_pitcher),"Person,Athlete,BaseballPlayer,Agent"
56,DBPEDIA_ID/Al_Smith_(outfielder),"Person,Athlete,BaseballPlayer,Agent"
57,DBPEDIA_ID/Al_Smith_(right-handed_pitcher),"Person,Athlete,BaseballPlayer,Agent"
58,DBPEDIA_ID/Alan_Foster_(baseball),"Person,Athlete,BaseballPlayer,Agent"
59,DBPEDIA_ID/Alex_Delgado,"Person,Athlete,BaseballPlayer,Agent"
60,DBPEDIA_ID/Alfonso_Soriano,"Person,Athlete,BaseballPlayer,Agent"
61,DBPEDIA_ID/Algie_McBride,"Person,Athlete,BaseballPlayer,Agent"
62,DBPEDIA_ID/Ambiorix_Burgos,"Person,Athlete,BaseballPlayer,Agent"
63,DBPEDIA_ID/Aramis_Ramírez,"Person,Athlete,BaseballPlayer,Agent"
64,DBPEDIA_ID/Arizona_Diamondbacks_minor_league_players,"Person,Athlete,BaseballPlayer,Agent"
65,DBPEDIA_ID/Arodys_Vizcaíno,"Person,Athlete,BaseballPlayer,Agent"
