,entity,classes
0,DBPEDIA_ID/National_Basketball_Association,"Organisation,BasketballLeague,Agent,SportsLeague"
1,DBPEDIA_ID/Basketball_League_of_Serbia,"Organisation,BasketballLeague,Agent,SportsLeague"
2,DBPEDIA_ID/FIBA_Intercontinental_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
3,DBPEDIA_ID/Malaysia_National_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
4,DBPEDIA_ID/Waratah_League,"Organisation,BasketballLeague,Agent,SportsLeague"
5,DBPEDIA_ID/Women's_Chinese_Basketball_Association,"Organisation,BasketballLeague,Agent,SportsLeague"
6,DBPEDIA_ID/Women's_National_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
7,DBPEDIA_ID/FIBA_Basketball_World_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
8,DBPEDIA_ID/FIBA_Women's_Basketball_World_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
9,DBPEDIA_ID/Lietuvos_krepšinio_lyga,"Organisation,BasketballLeague,Agent,SportsLeague"
10,DBPEDIA_ID/The_Basketball_Tournament,"Organisation,BasketballLeague,Agent,SportsLeague"
11,DBPEDIA_ID/Turkish_Basketball_Federation,"Organisation,BasketballLeague,Agent,SportsLeague"
12,DBPEDIA_ID/Croatian_Women's_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
13,DBPEDIA_ID/Istanbul_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
14,DBPEDIA_ID/LEB_Plata,"Organisation,BasketballLeague,Agent,SportsLeague"
15,DBPEDIA_ID/Spanish_Wheelchair_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
16,DBPEDIA_ID/Lega_Basket_Serie_A,"Organisation,BasketballLeague,Agent,SportsLeague"
17,DBPEDIA_ID/Liga_de_Desenvolvimento_de_Basquete,"Organisation,BasketballLeague,Agent,SportsLeague"
18,DBPEDIA_ID/Willi_Brinkmann_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
19,DBPEDIA_ID/Albanian_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
20,DBPEDIA_ID/LNB_Pro_A,"Organisation,BasketballLeague,Agent,SportsLeague"
21,DBPEDIA_ID/FIBA_Asia_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
22,DBPEDIA_ID/Women's_British_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
23,DBPEDIA_ID/BBL_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
24,Basketligan,"Organisation,BasketballLeague,Agent,SportsLeague"
25,EuroChallenge,"Organisation,BasketballLeague,Agent,SportsLeague"
26,DBPEDIA_ID/EuroLeague_Women,"Organisation,BasketballLeague,Agent,SportsLeague"
27,DBPEDIA_ID/Mindanao_Visayas_Basketball_Association,"Organisation,BasketballLeague,Agent,SportsLeague"
28,DBPEDIA_ID/Montenegrin_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
29,DBPEDIA_ID/Scottish_Men's_National_League,"Organisation,BasketballLeague,Agent,SportsLeague"
30,DBPEDIA_ID/Basketball_Federation_of_Montenegro,"Organisation,BasketballLeague,Agent,SportsLeague"
31,DBPEDIA_ID/National_Basketball_Conference,"Organisation,BasketballLeague,Agent,SportsLeague"
32,DBPEDIA_ID/Basketball_League_of_Serbia_B,"Organisation,BasketballLeague,Agent,SportsLeague"
33,DBPEDIA_ID/Euskal_Kopa,"Organisation,BasketballLeague,Agent,SportsLeague"
34,DBPEDIA_ID/PBA_Developmental_League,"Organisation,BasketballLeague,Agent,SportsLeague"
35,DBPEDIA_ID/Turkish_Women's_Cup_Basketball,"Organisation,BasketballLeague,Agent,SportsLeague"
36,DBPEDIA_ID/Algerian_Basketball_Championship,"Organisation,BasketballLeague,Agent,SportsLeague"
37,DBPEDIA_ID/American_Professional_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
38,DBPEDIA_ID/Basketball_World_Cup_(Turkey),"Organisation,BasketballLeague,Agent,SportsLeague"
39,DBPEDIA_ID/Copa_Castilla_y_León,"Organisation,BasketballLeague,Agent,SportsLeague"
40,DBPEDIA_ID/FIBA_Africa_Under-18_Championship,"Organisation,BasketballLeague,Agent,SportsLeague"
41,DBPEDIA_ID/LKF_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
42,DBPEDIA_ID/Leaders_Cup,"Organisation,BasketballLeague,Agent,SportsLeague"
43,DBPEDIA_ID/Lingerie_Basketball_League,"Organisation,BasketballLeague,Agent,SportsLeague"
44,DBPEDIA_ID/Nemzeti_Bajnokság_I/A_(men's_basketball),"Organisation,BasketballLeague,Agent,SportsLeague"
45,DBPEDIA_ID/Nemzeti_Bajnokság_I/A_(women's_basketball),"Organisation,BasketballLeague,Agent,SportsLeague"
46,DBPEDIA_ID/Polish_national_1st_basketball_league,"Organisation,BasketballLeague,Agent,SportsLeague"
47,DBPEDIA_ID/Premier_league_women,"Organisation,BasketballLeague,Agent,SportsLeague"
