,entity,classes
0,DBPEDIA_ID/Blake_Williams_(basketball),"Person,Athlete,BasketballPlayer,Agent"
1,DBPEDIA_ID/Kareem_Abdul-Jabbar,"Person,Athlete,BasketballPlayer,Agent"
2,DBPEDIA_ID/Michael_Jordan,"Person,Athlete,BasketballPlayer,Agent"
3,DBPEDIA_ID/John_Paxson,"Person,Athlete,BasketballPlayer,Agent"
4,DBPEDIA_ID/José_Ortiz,"Person,Athlete,BasketballPlayer,Agent"
5,DBPEDIA_ID/Luc_Longley,"Person,Athlete,BasketballPlayer,Agent"
6,DBPEDIA_ID/Marcus_Camby,"Person,Athlete,BasketballPlayer,Agent"
7,DBPEDIA_ID/Pau_Gasol,"Person,Athlete,BasketballPlayer,Agent"
8,DBPEDIA_ID/Pete_Maravich,"Person,Athlete,BasketballPlayer,Agent"
9,DBPEDIA_ID/Shaquille_O'Neal,"Person,Athlete,BasketballPlayer,Agent"
10,DBPEDIA_ID/Alexander_Volkov_(basketball),"Person,Athlete,BasketballPlayer,Agent"
11,DBPEDIA_ID/Angus_Brandt,"Person,Athlete,BasketballPlayer,Agent"
12,DBPEDIA_ID/Brandon_Jennings,"Person,Athlete,BasketballPlayer,Agent"
13,DBPEDIA_ID/Elena_Delle_Donne,"Person,Athlete,BasketballPlayer,Agent"
14,DBPEDIA_ID/Enrico_Villanueva,"Person,Athlete,BasketballPlayer,Agent"
15,DBPEDIA_ID/Fred_Vinson_(basketball),"Person,Athlete,BasketballPlayer,Agent"
16,DBPEDIA_ID/George_Williams_(basketball),"Person,Athlete,BasketballPlayer,Agent"
17,DBPEDIA_ID/Happy_Hairston,"Person,Athlete,BasketballPlayer,Agent"
18,DBPEDIA_ID/J._R._Giddens,"Person,Athlete,BasketballPlayer,Agent"
19,DBPEDIA_ID/Jay_Williams_(basketball),"Person,Athlete,BasketballPlayer,Agent"
20,DBPEDIA_ID/Josh_Selby,"Person,Athlete,BasketballPlayer,Agent"
21,DBPEDIA_ID/Kamesha_Hairston,"Person,Athlete,BasketballPlayer,Agent"
22,DBPEDIA_ID/Keith_Jennings_(basketball),"Person,Athlete,BasketballPlayer,Agent"
23,DBPEDIA_ID/Malik_Hairston,"Person,Athlete,BasketballPlayer,Agent"
