,entity,classes
0,DBPEDIA_ID/AEK_B.C.,"BasketballTeam,Organisation,SportsTeam,Agent"
1,DBPEDIA_ID/Fort_Worth_Flyers,"BasketballTeam,Organisation,SportsTeam,Agent"
2,DBPEDIA_ID/KB_Peja,"BasketballTeam,Organisation,SportsTeam,Agent"
3,DBPEDIA_ID/ASK_Riga,"BasketballTeam,Organisation,SportsTeam,Agent"
4,DBPEDIA_ID/Amyntas_Dafnis_B.C.,"BasketballTeam,Organisation,SportsTeam,Agent"
5,DBPEDIA_ID/Anaheim_Arsenal,"BasketballTeam,Organisation,SportsTeam,Agent"
6,DBPEDIA_ID/BC_Žalgiris,"BasketballTeam,Organisation,SportsTeam,Agent"
7,DBPEDIA_ID/Brose_Baskets,"BasketballTeam,Organisation,SportsTeam,Agent"
8,DBPEDIA_ID/CB_Bahía_San_Agustín,"BasketballTeam,Organisation,SportsTeam,Agent"
9,DBPEDIA_ID/DED_Basketball_Club,"BasketballTeam,Organisation,SportsTeam,Agent"
10,DBPEDIA_ID/Dallas_Chaparrals,"BasketballTeam,Organisation,SportsTeam,Agent"
11,DBPEDIA_ID/Jiangsu_Dragons,"BasketballTeam,Organisation,SportsTeam,Agent"
12,DBPEDIA_ID/Juventud_Sionista,"BasketballTeam,Organisation,SportsTeam,Agent"
13,DBPEDIA_ID/KK_Feni_Industries,"BasketballTeam,Organisation,SportsTeam,Agent"
14,DBPEDIA_ID/Mersey_Tigers,"BasketballTeam,Organisation,SportsTeam,Agent"
15,DBPEDIA_ID/Miami_Floridians,"BasketballTeam,Organisation,SportsTeam,Agent"
16,DBPEDIA_ID/New_Orleans_Buccaneers,"BasketballTeam,Organisation,SportsTeam,Agent"
17,DBPEDIA_ID/Oklahoma_City_Thunder,"BasketballTeam,Organisation,SportsTeam,Agent"
18,DBPEDIA_ID/Olimpia_Basketball_Club,"BasketballTeam,Organisation,SportsTeam,Agent"
19,DBPEDIA_ID/Olimpia_Milano,"BasketballTeam,Organisation,SportsTeam,Agent"
20,DBPEDIA_ID/Olympias_Patras_B.C.,"BasketballTeam,Organisation,SportsTeam,Agent"
21,DBPEDIA_ID/Shamrock_Rovers_Hoops,"BasketballTeam,Organisation,SportsTeam,Agent"
22,DBPEDIA_ID/South_Dragons,"BasketballTeam,Organisation,SportsTeam,Agent"
23,DBPEDIA_ID/Townsville_Crocodiles,"BasketballTeam,Organisation,SportsTeam,Agent"
24,DBPEDIA_ID/Turów_Zgorzelec,"BasketballTeam,Organisation,SportsTeam,Agent"
25,DBPEDIA_ID/BC_Cherno_More_Port_Varna,"BasketballTeam,Organisation,SportsTeam,Agent"
26,DBPEDIA_ID/BC_Nevėžis,"BasketballTeam,Organisation,SportsTeam,Agent"
27,DBPEDIA_ID/Butte_Daredevils,"BasketballTeam,Organisation,SportsTeam,Agent"
28,DBPEDIA_ID/CB_Illescas,"BasketballTeam,Organisation,SportsTeam,Agent"
29,DBPEDIA_ID/KK_Mladost_Omoljica,"BasketballTeam,Organisation,SportsTeam,Agent"
30,DBPEDIA_ID/PBC_Lokomotiv-Kuban,"BasketballTeam,Organisation,SportsTeam,Agent"
31,DBPEDIA_ID/Quad_City_Thunder,"BasketballTeam,Organisation,SportsTeam,Agent"
32,DBPEDIA_ID/Quilmes_de_Mar_del_Plata,"BasketballTeam,Organisation,SportsTeam,Agent"
33,DBPEDIA_ID/Saski_Baskonia,"BasketballTeam,Organisation,SportsTeam,Agent"
34,DBPEDIA_ID/Start_Lublin,"BasketballTeam,Organisation,SportsTeam,Agent"
35,DBPEDIA_ID/UCD_Marian,"BasketballTeam,Organisation,SportsTeam,Agent"
36,DBPEDIA_ID/Washington_Generals,"BasketballTeam,Organisation,SportsTeam,Agent"
37,DBPEDIA_ID/AKK_Branik_Maribor,"BasketballTeam,Organisation,SportsTeam,Agent"
38,DBPEDIA_ID/BC_Ural_Yekaterinburg,"BasketballTeam,Organisation,SportsTeam,Agent"
39,DBPEDIA_ID/Barak_Netanya_B.C.,"BasketballTeam,Organisation,SportsTeam,Agent"
40,DBPEDIA_ID/Big_Chill_Super_Chargers,"BasketballTeam,Organisation,SportsTeam,Agent"
41,DBPEDIA_ID/Dunfermline_Reign,"BasketballTeam,Organisation,SportsTeam,Agent"
42,DBPEDIA_ID/Bangkok_Cobras,"BasketballTeam,Organisation,SportsTeam,Agent"
43,DBPEDIA_ID/Basket_Napoli,"BasketballTeam,Organisation,SportsTeam,Agent"
44,DBPEDIA_ID/KK_Vinkovci,"BasketballTeam,Organisation,SportsTeam,Agent"
45,DBPEDIA_ID/CE_Lleida_Bàsquet,"BasketballTeam,Organisation,SportsTeam,Agent"
46,DBPEDIA_ID/Niagara_River_Lions,"BasketballTeam,Organisation,SportsTeam,Agent"
47,DBPEDIA_ID/Perry_Lakes_Hawks,"BasketballTeam,Organisation,SportsTeam,Agent"
48,DBPEDIA_ID/Darüşşafaka_S.K.,"BasketballTeam,Organisation,SportsTeam,Agent"
49,DBPEDIA_ID/Flamengo_Basketball,"BasketballTeam,Organisation,SportsTeam,Agent"
50,DBPEDIA_ID/Galatasaray_S.K._(men's_basketball),"BasketballTeam,Organisation,SportsTeam,Agent"
51,DBPEDIA_ID/Galatasaray_S.K._(wheelchair_basketball),"BasketballTeam,Organisation,SportsTeam,Agent"
52,DBPEDIA_ID/Galatasaray_S.K._(women's_basketball),"BasketballTeam,Organisation,SportsTeam,Agent"
53,DBPEDIA_ID/Gigantes_de_Carolina_(men's_basketball),"BasketballTeam,Organisation,SportsTeam,Agent"
54,DBPEDIA_ID/ČEZ_Basketball_Nymburk,"BasketballTeam,Organisation,SportsTeam,Agent"
55,DBPEDIA_ID/ŽKK_Kvarner,"BasketballTeam,Organisation,SportsTeam,Agent"
