,entity,classes
0,DBPEDIA_ID/Bombay_Sapphire,"Food,Beverage"
1,Budweiser,"Food,Beverage"
2,DBPEDIA_ID/Bundaberg_Rum,"Food,Beverage"
3,Coca-Cola,"Food,Beverage"
4,Cola,"Food,Beverage"
5,DBPEDIA_ID/Foster's_Lager,"Food,Beverage"
6,Irn-Bru,"Food,Beverage"
7,Kahlúa,"Food,Beverage"
8,Moxie,"Food,Beverage"
9,Pepsi,"Food,Beverage"
10,DBPEDIA_ID/Stella_Artois,"Food,Beverage"
11,Mecca-Cola,"Food,Beverage"
12,AdeS,"Food,Beverage"
13,DBPEDIA_ID/Armageddon_(beer),"Food,Beverage"
14,DBPEDIA_ID/Blue_Moon_(beer),"Food,Beverage"
15,DBPEDIA_ID/Brisa_drink,"Food,Beverage"
16,DBPEDIA_ID/Burn_(energy_drink),"Food,Beverage"
17,DBPEDIA_ID/Caffè_macchiato,"Food,Beverage"
18,DBPEDIA_ID/Clique_(vodka),"Food,Beverage"
19,DBPEDIA_ID/Coca-Cola_Light_Sango,"Food,Beverage"
20,DBPEDIA_ID/Evan_Williams_(whiskey),"Food,Beverage"
21,DBPEDIA_ID/Kick_(soft_drink),"Food,Beverage"
22,DBPEDIA_ID/Kingfisher_(beer),"Food,Beverage"
23,DBPEDIA_ID/Lav_pivo,"Food,Beverage"
24,DBPEDIA_ID/London_Pride_(beer),"Food,Beverage"
25,DBPEDIA_ID/National_Bohemian,"Food,Beverage"
26,DBPEDIA_ID/Rebel_Yell_(whiskey),"Food,Beverage"
27,DBPEDIA_ID/Savvy_Vodka,"Food,Beverage"
28,DBPEDIA_ID/Surge_(soft_drink),"Food,Beverage"
29,DBPEDIA_ID/Ting_(soft_drink),"Food,Beverage"
30,DBPEDIA_ID/Beep_(soft_drink),"Food,Beverage"
31,DBPEDIA_ID/Corsica_Cola,"Food,Beverage"
32,DBPEDIA_ID/Desi_daru,"Food,Beverage"
33,DnL,"Food,Beverage"
34,DBPEDIA_ID/Green_Spot_(whiskey),"Food,Beverage"
35,DBPEDIA_ID/Guinness_Foreign_Extra_Stout,"Food,Beverage"
36,DBPEDIA_ID/Kavaklıdere_(winery),"Food,Beverage"
37,MiO,"Food,Beverage"
38,DBPEDIA_ID/Molson_Canadian,"Food,Beverage"
39,DBPEDIA_ID/Ski_(soda),"Food,Beverage"
40,DBPEDIA_ID/Southern_Comfort,"Food,Beverage"
41,DBPEDIA_ID/Squirt_(soft_drink),"Food,Beverage"
42,DBPEDIA_ID/Suso_(drink),"Food,Beverage"
43,Dasani,"Food,Beverage"
44,DBPEDIA_ID/Diet_Coke_Lime,"Food,Beverage"
45,DBPEDIA_ID/Gozio_Amaretto,"Food,Beverage"
46,Ballantine's,"Food,Beverage"
47,DBPEDIA_ID/Bombora_(vodka),"Food,Beverage"
48,DBPEDIA_ID/Cocaine_(drink),"Food,Beverage"
49,DBPEDIA_ID/Destilerías_y_Crianza_del_Whisky_S.A.,"Food,Beverage"
50,Fernet-Branca,"Food,Beverage"
51,DBPEDIA_ID/George_T._Stagg,"Food,Beverage"
52,Guinness,"Food,Beverage"
53,Heineken,"Food,Beverage"
54,DBPEDIA_ID/Heineken_Premium_Light,"Food,Beverage"
55,DBPEDIA_ID/Kickapoo_Joy_Juice,"Food,Beverage"
56,DBPEDIA_ID/Lucid_Absinthe,"Food,Beverage"
57,DBPEDIA_ID/Romanov_(vodka),"Food,Beverage"
58,DBPEDIA_ID/Velkopopovický_Kozel,"Food,Beverage"
59,Vernors,"Food,Beverage"
60,DBPEDIA_ID/SKYY_vodka,"Food,Beverage"
61,DBPEDIA_ID/Semtex_(drink),"Food,Beverage"
62,DBPEDIA_ID/Japanese_whisky,"Food,Beverage"
63,DBPEDIA_ID/Jeppson's_Malört,"Food,Beverage"
64,DBPEDIA_ID/Sprite_Remix,"Food,Beverage"
65,Staminade,"Food,Beverage"
66,DBPEDIA_ID/1519_Tequila,"Food,Beverage"
67,DBPEDIA_ID/Dunville's_VR,"Food,Beverage"
68,DBPEDIA_ID/Old_Crow,"Food,Beverage"
69,Patrón,"Food,Beverage"
70,DBPEDIA_ID/Star_Cola,"Food,Beverage"
71,DBPEDIA_ID/Old_Taylor,"Food,Beverage"
72,DBPEDIA_ID/Vana_Tallinn,"Food,Beverage"
73,DBPEDIA_ID/Fada_cola,"Food,Beverage"
74,DBPEDIA_ID/Ice_Mountain_(water),"Food,Beverage"
75,DBPEDIA_ID/Nuvo_(liqueur),"Food,Beverage"
