,entity,classes
0,DBPEDIA_ID/Adenylyl_cyclase,"Enzyme,Biomolecule"
1,Beta-lactamase,"Protein,Biomolecule"
2,Calreticulin,"Protein,Biomolecule"
3,Chymotrypsin,"Enzyme,Biomolecule"
4,DBPEDIA_ID/Collagen_helix,"Protein,Biomolecule"
5,DBPEDIA_ID/DNA_ligase,"Enzyme,Biomolecule"
6,DBPEDIA_ID/G_protein–coupled_receptor,"Protein,Biomolecule"
7,Histone,"Protein,Biomolecule"
8,Insulin,"Protein,Biomolecule"
9,Integrin,"Protein,Biomolecule"
10,Interferon,"Protein,Biomolecule"
11,Lactase,"Enzyme,Biomolecule"
12,DBPEDIA_ID/Monoamine_oxidase,"Enzyme,Biomolecule"
13,DBPEDIA_ID/Restriction_enzyme,"Enzyme,Biomolecule"
14,DBPEDIA_ID/Reverse_transcriptase,"Protein,Biomolecule"
15,DBPEDIA_ID/Superoxide_dismutase,"Enzyme,Biomolecule"
16,DBPEDIA_ID/Coenzyme_Q_–_cytochrome_c_reductase,"Protein,Biomolecule"
17,DBPEDIA_ID/Cytochrome_c_oxidase,"Enzyme,Biomolecule"
18,DBPEDIA_ID/NADH:ubiquinone_reductase_(H+-translocating),"Enzyme,Biomolecule"
19,ATPase,"Enzyme,Biomolecule"
20,Pardaxin,"Protein,Biomolecule"
21,DBPEDIA_ID/AXL_receptor_tyrosine_kinase,"Protein,Biomolecule"
22,DBPEDIA_ID/Epidermal_growth_factor_receptor,"Protein,Biomolecule"
23,DBPEDIA_ID/Estrogen-related_receptor,"Protein,Biomolecule"
24,DBPEDIA_ID/Estrogen-related_receptor_alpha,"Protein,Biomolecule"
25,DBPEDIA_ID/Estrogen-related_receptor_beta,"Protein,Biomolecule"
26,DBPEDIA_ID/Estrogen-related_receptor_gamma,"Protein,Biomolecule"
27,Fibrinogen,"Protein,Biomolecule"
28,Norrin,"Protein,Biomolecule"
29,OAS2,"Protein,Biomolecule"
30,OAS3,"Protein,Biomolecule"
31,DBPEDIA_ID/Phosphoinositide-dependent_kinase-1,"Protein,Biomolecule"
32,DBPEDIA_ID/Pyruvate_dehydrogenase_kinase,"Enzyme,Biomolecule"
33,DBPEDIA_ID/RNA-dependent_RNA_polymerase,"Enzyme,Biomolecule"
34,DBPEDIA_ID/Rab_escort_protein,"Protein,Biomolecule"
35,DBPEDIA_ID/Receptor_tyrosine_kinase,"Enzyme,Biomolecule"
36,DBPEDIA_ID/STH_(gene),"Protein,Biomolecule"
37,DBPEDIA_ID/Slit_(gene_family),"Protein,Biomolecule"
38,DBPEDIA_ID/T_cell_receptor,"Protein,Biomolecule"
39,Transthyretin,"Protein,Biomolecule"
40,DBPEDIA_ID/Tubby_protein,"Protein,Biomolecule"
41,ASK1,"Protein,Biomolecule"
