,entity,classes
0,DBPEDIA_ID/Blue_crane,"Eukaryote,Bird,Animal,Species"
1,DBPEDIA_ID/Carolina_parakeet,"Eukaryote,Bird,Animal,Species"
2,Ciconiiformes,"Eukaryote,Bird,Animal,Species"
3,DBPEDIA_ID/Great_auk,"Eukaryote,Bird,Animal,Species"
4,DBPEDIA_ID/Labrador_duck,"Eukaryote,Bird,Animal,Species"
5,DBPEDIA_ID/Little_penguin,"Eukaryote,Bird,Animal,Species"
6,DBPEDIA_ID/Passenger_pigeon,"Eukaryote,Bird,Animal,Species"
7,Quail,"Eukaryote,Bird,Animal,Species"
8,‘Elepaio,"Eukaryote,Bird,Animal,Species"
9,Bulbul,"Eukaryote,Bird,Animal,Species"
10,DBPEDIA_ID/Amazon_parrot,"Eukaryote,Bird,Animal,Species"
11,Condor,"Eukaryote,Bird,Animal,Species"
12,Corvidae,"Eukaryote,Bird,Animal,Species"
13,Egret,"Eukaryote,Bird,Animal,Species"
14,Phalarope,"Eukaryote,Bird,Animal,Species"
15,Plover,"Eukaryote,Bird,Animal,Species"
16,DBPEDIA_ID/Prion_(bird),"Eukaryote,Bird,Animal,Species"
17,DBPEDIA_ID/Botha's_lark,"Eukaryote,Bird,Animal,Species"
18,DBPEDIA_ID/Gibson's_albatross,"Eukaryote,Bird,Animal,Species"
19,DBPEDIA_ID/African_wood_owl,"Eukaryote,Bird,Animal,Species"
20,Albatross,"Eukaryote,Bird,Animal,Species"
21,DBPEDIA_ID/American_sparrow,"Eukaryote,Bird,Animal,Species"
22,DBPEDIA_ID/Barlow's_lark,"Eukaryote,Bird,Animal,Species"
23,DBPEDIA_ID/Bernier's_teal,"Eukaryote,Bird,Animal,Species"
24,DBPEDIA_ID/Black-breasted_boatbill,"Eukaryote,Bird,Animal,Species"
25,DBPEDIA_ID/Black_eagle,"Eukaryote,Bird,Animal,Species"
26,Bluebird,"Eukaryote,Bird,Animal,Species"
27,DBPEDIA_ID/Brown_wood_owl,"Eukaryote,Bird,Animal,Species"
28,DBPEDIA_ID/Chestnut_sparrow,"Eukaryote,Bird,Animal,Species"
29,Cisticola,"Eukaryote,Bird,Animal,Species"
30,DBPEDIA_ID/Corella_(bird),"Eukaryote,Bird,Animal,Species"
31,Cormorant,"Eukaryote,Bird,Animal,Species"
32,DBPEDIA_ID/Cream-vented_bulbul,"Eukaryote,Bird,Animal,Species"
33,DBPEDIA_ID/Desert_sparrow,"Eukaryote,Bird,Animal,Species"
34,DBPEDIA_ID/Dives_(genus),"Eukaryote,Bird,Animal,Species"
35,DBPEDIA_ID/Drab_seedeater,"Eukaryote,Bird,Animal,Species"
36,Fairy-bluebird,"Eukaryote,Bird,Animal,Species"
37,DBPEDIA_ID/Forster's_tern,"Eukaryote,Bird,Animal,Species"
38,DBPEDIA_ID/Gila_woodpecker,"Eukaryote,Bird,Animal,Species"
39,DBPEDIA_ID/Golden_masked_owl,"Eukaryote,Bird,Animal,Species"
40,DBPEDIA_ID/Grasshopper_sparrow,"Eukaryote,Bird,Animal,Species"
41,DBPEDIA_ID/Green_tinkerbird,"Eukaryote,Bird,Animal,Species"
42,DBPEDIA_ID/Grey-crowned_babbler,"Eukaryote,Bird,Animal,Species"
43,DBPEDIA_ID/Grey_whistler,"Eukaryote,Bird,Animal,Species"
44,DBPEDIA_ID/Grey_wren-warbler,"Eukaryote,Bird,Animal,Species"
45,DBPEDIA_ID/Greyish_mourner,"Eukaryote,Bird,Animal,Species"
46,DBPEDIA_ID/Hazel-fronted_pygmy_tyrant,"Eukaryote,Bird,Animal,Species"
47,Jabiru,"Eukaryote,Bird,Animal,Species"
48,DBPEDIA_ID/Java_sparrow,"Eukaryote,Bird,Animal,Species"
49,DBPEDIA_ID/King_Island_emu,"Eukaryote,Bird,Animal,Species"
50,DBPEDIA_ID/Large-billed_tern,"Eukaryote,Bird,Animal,Species"
51,DBPEDIA_ID/Lemon_dove,"Eukaryote,Bird,Animal,Species"
52,DBPEDIA_ID/Lincoln's_sparrow,"Eukaryote,Bird,Animal,Species"
53,DBPEDIA_ID/Malabar_barbet,"Eukaryote,Bird,Animal,Species"
54,DBPEDIA_ID/Malabar_lark,"Eukaryote,Bird,Animal,Species"
55,DBPEDIA_ID/Malabar_trogon,"Eukaryote,Bird,Animal,Species"
56,DBPEDIA_ID/Malabar_whistling_thrush,"Eukaryote,Bird,Animal,Species"
57,DBPEDIA_ID/Malia_(bird),"Eukaryote,Bird,Animal,Species"
58,DBPEDIA_ID/Mascarene_grey_parakeet,"Eukaryote,Bird,Animal,Species"
59,Mockingbird,"Eukaryote,Bird,Animal,Species"
60,DBPEDIA_ID/Mottled_wood_owl,"Eukaryote,Bird,Animal,Species"
61,Nighthawk,"Eukaryote,Bird,Animal,Species"
62,DBPEDIA_ID/Nutcracker_(bird),"Eukaryote,Bird,Animal,Species"
63,DBPEDIA_ID/Olive_ibis,"Eukaryote,Bird,Animal,Species"
64,DBPEDIA_ID/Olive_long-tailed_cuckoo,"Eukaryote,Bird,Animal,Species"
65,DBPEDIA_ID/Olive_sparrow,"Eukaryote,Bird,Animal,Species"
66,DBPEDIA_ID/Olive_thrush,"Eukaryote,Bird,Animal,Species"
67,DBPEDIA_ID/Olive_whistler,"Eukaryote,Bird,Animal,Species"
68,DBPEDIA_ID/Olive_woodpecker,"Eukaryote,Bird,Animal,Species"
69,DBPEDIA_ID/Plain_sunbird,"Eukaryote,Bird,Animal,Species"
70,DBPEDIA_ID/Puna_tinamou,"Eukaryote,Bird,Animal,Species"
71,Roller,"Eukaryote,Bird,Animal,Species"
72,DBPEDIA_ID/Rufous-winged_woodpecker,"Eukaryote,Bird,Animal,Species"
73,DBPEDIA_ID/San_Clemente_loggerhead_shrike,"Eukaryote,Bird,Animal,Species"
74,DBPEDIA_ID/Sarus_crane,"Eukaryote,Bird,Animal,Species"
75,DBPEDIA_ID/Savannah_sparrow,"Eukaryote,Bird,Animal,Species"
76,DBPEDIA_ID/Sea_eagle,"Eukaryote,Bird,Animal,Species"
77,DBPEDIA_ID/Simple_greenbul,"Eukaryote,Bird,Animal,Species"
78,Skua,"Eukaryote,Bird,Animal,Species"
79,DBPEDIA_ID/Spot-winged_falconet,"Eukaryote,Bird,Animal,Species"
80,DBPEDIA_ID/Spotted_wood_owl,"Eukaryote,Bird,Animal,Species"
81,Sunbird,"Eukaryote,Bird,Animal,Species"
82,DBPEDIA_ID/Swamp_sparrow,"Eukaryote,Bird,Animal,Species"
83,DBPEDIA_ID/Timor_sparrow,"Eukaryote,Bird,Animal,Species"
84,DBPEDIA_ID/Verreaux's_eagle,"Eukaryote,Bird,Animal,Species"
85,DBPEDIA_ID/Yellow-breasted_boatbill,"Eukaryote,Bird,Animal,Species"
86,DBPEDIA_ID/Zapata_rail,"Eukaryote,Bird,Animal,Species"
87,DBPEDIA_ID/Zapata_sparrow,"Eukaryote,Bird,Animal,Species"
88,DBPEDIA_ID/Zapata_wren,"Eukaryote,Bird,Animal,Species"
89,DBPEDIA_ID/Zigzag_heron,"Eukaryote,Bird,Animal,Species"
90,DBPEDIA_ID/Arini_(tribe),"Eukaryote,Bird,Animal,Species"
91,DBPEDIA_ID/Orchard_oriole,"Eukaryote,Bird,Animal,Species"
92,Triller,"Eukaryote,Bird,Animal,Species"
93,DBPEDIA_ID/Anna's_hummingbird,"Eukaryote,Bird,Animal,Species"
94,DBPEDIA_ID/Black_magpie,"Eukaryote,Bird,Animal,Species"
95,DBPEDIA_ID/Cheer_pheasant,"Eukaryote,Bird,Animal,Species"
96,DBPEDIA_ID/Chestnut-capped_brush_finch,"Eukaryote,Bird,Animal,Species"
97,DBPEDIA_ID/Chestnut-crowned_bush_warbler,"Eukaryote,Bird,Animal,Species"
98,DBPEDIA_ID/Chestnut-fronted_macaw,"Eukaryote,Bird,Animal,Species"
99,DBPEDIA_ID/Chestnut-tailed_starling,"Eukaryote,Bird,Animal,Species"
100,DBPEDIA_ID/Chestnut-winged_cuckoo,"Eukaryote,Bird,Animal,Species"
101,DBPEDIA_ID/Chestnut_teal,"Eukaryote,Bird,Animal,Species"
102,DBPEDIA_ID/Chestnut_woodpecker,"Eukaryote,Bird,Animal,Species"
103,Chowchilla,"Eukaryote,Bird,Animal,Species"
104,Cracticinae,"Eukaryote,Bird,Animal,Species"
105,DBPEDIA_ID/Diglossa_(bird),"Eukaryote,Bird,Animal,Species"
106,DBPEDIA_ID/Erect-crested_penguin,"Eukaryote,Bird,Animal,Species"
107,DBPEDIA_ID/Jacobin_(hummingbird),"Eukaryote,Bird,Animal,Species"
108,DBPEDIA_ID/Jamaican_lizard_cuckoo,"Eukaryote,Bird,Animal,Species"
109,Magpie-jay,"Eukaryote,Bird,Animal,Species"
110,DBPEDIA_ID/Magpie_starling,"Eukaryote,Bird,Animal,Species"
111,DBPEDIA_ID/Magpie_tanager,"Eukaryote,Bird,Animal,Species"
112,DBPEDIA_ID/Mascarene_teal,"Eukaryote,Bird,Animal,Species"
113,Moa-nalo,"Eukaryote,Bird,Animal,Species"
114,DBPEDIA_ID/New_World_blackbird,"Eukaryote,Bird,Animal,Species"
115,DBPEDIA_ID/Panay_striped_babbler,"Eukaryote,Bird,Animal,Species"
116,DBPEDIA_ID/Pearly_antshrike,"Eukaryote,Bird,Animal,Species"
117,DBPEDIA_ID/Pearly_parakeet,"Eukaryote,Bird,Animal,Species"
118,DBPEDIA_ID/Plain_chachalaca,"Eukaryote,Bird,Animal,Species"
119,DBPEDIA_ID/Resplendent_quetzal,"Eukaryote,Bird,Animal,Species"
120,DBPEDIA_ID/Rollandia_(bird),"Eukaryote,Bird,Animal,Species"
121,DBPEDIA_ID/Shear-tailed_grey_tyrant,"Eukaryote,Bird,Animal,Species"
122,DBPEDIA_ID/Silverbird_(bird),"Eukaryote,Bird,Animal,Species"
123,DBPEDIA_ID/Sladen's_barbet,"Eukaryote,Bird,Animal,Species"
124,DBPEDIA_ID/Stephens_Island_wren,"Eukaryote,Bird,Animal,Species"
125,DBPEDIA_ID/Strix_(genus),"Eukaryote,Bird,Animal,Species"
126,DBPEDIA_ID/Tanna_fruit_dove,"Eukaryote,Bird,Animal,Species"
127,DBPEDIA_ID/Tanna_ground_dove,"Eukaryote,Bird,Animal,Species"
128,DBPEDIA_ID/Thick-billed_vireo,"Eukaryote,Bird,Animal,Species"
129,DBPEDIA_ID/Yellow-throated_sparrow,"Eukaryote,Bird,Animal,Species"
130,Aegithalos,"Eukaryote,Bird,Animal,Species"
131,DBPEDIA_ID/Andean_crested_duck,"Eukaryote,Bird,Animal,Species"
132,DBPEDIA_ID/Australian_bustard,"Eukaryote,Bird,Animal,Species"
133,DBPEDIA_ID/Bald_parrot,"Eukaryote,Bird,Animal,Species"
134,DBPEDIA_ID/Bank_myna,"Eukaryote,Bird,Animal,Species"
135,DBPEDIA_ID/Black-and-yellow_phainoptila,"Eukaryote,Bird,Animal,Species"
136,DBPEDIA_ID/Black-headed_hemispingus,"Eukaryote,Bird,Animal,Species"
137,DBPEDIA_ID/Black-tailed_antbird,"Eukaryote,Bird,Animal,Species"
138,DBPEDIA_ID/Black_bittern,"Eukaryote,Bird,Animal,Species"
139,DBPEDIA_ID/Bougainville_monarch,"Eukaryote,Bird,Animal,Species"
140,DBPEDIA_ID/Bronze-winged_jacana,"Eukaryote,Bird,Animal,Species"
141,DBPEDIA_ID/Chestnut_wattle-eye,"Eukaryote,Bird,Animal,Species"
142,DBPEDIA_ID/Cotton_pygmy_goose,"Eukaryote,Bird,Animal,Species"
143,DBPEDIA_ID/Curl-crested_manucode,"Eukaryote,Bird,Animal,Species"
144,DBPEDIA_ID/Dusky_bush_tanager,"Eukaryote,Bird,Animal,Species"
