,entity,classes
0,DBPEDIA_ID/Aegean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
1,DBPEDIA_ID/Alabama_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
2,DBPEDIA_ID/Amazon_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
3,DBPEDIA_ID/Amu_Darya,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
4,DBPEDIA_ID/Anadyr_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
5,DBPEDIA_ID/Arabian_Sea,"Place,BodyOfWater,NaturalPlace,Lake,Location"
6,Arno,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
7,DBPEDIA_ID/Baltic_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
8,DBPEDIA_ID/Bermuda_Triangle,"Place,BodyOfWater,NaturalPlace,Location"
9,DBPEDIA_ID/Black_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
10,DBPEDIA_ID/Branco_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
11,DBPEDIA_ID/Caribbean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
12,DBPEDIA_ID/Casiquiare_canal,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
13,DBPEDIA_ID/Cayuga_Lake,"Place,BodyOfWater,NaturalPlace,Lake,Location"
14,DBPEDIA_ID/Columbia_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
15,DBPEDIA_ID/Daugava_(river),"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
16,DBPEDIA_ID/Dead_Sea,"Place,BodyOfWater,NaturalPlace,Lake,Location"
17,DBPEDIA_ID/Detroit_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
18,DBPEDIA_ID/English_Channel,"Place,BodyOfWater,NaturalPlace,Location"
19,DBPEDIA_ID/Erie_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
20,Euphrates,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
21,Ganges,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
22,DBPEDIA_ID/Gulf_of_Finland,"Place,BodyOfWater,NaturalPlace,Location"
23,Gusana,"Place,BodyOfWater,NaturalPlace,Lake,Location"
