,entity,classes
0,DBPEDIA_ID/Lou_Ferrigno,"Person,Athlete,Bodybuilder,Agent"
1,DBPEDIA_ID/Chris_Dickerson_(bodybuilder),"Person,Athlete,Bodybuilder,Agent"
2,DBPEDIA_ID/Franco_Columbu,"Person,Athlete,Bodybuilder,Agent"
3,DBPEDIA_ID/Mike_Mentzer,"Person,Athlete,Bodybuilder,Agent"
4,DBPEDIA_ID/Samir_Bannout,"Person,Athlete,Bodybuilder,Agent"
5,DBPEDIA_ID/Andrulla_Blanchette,"Person,Athlete,Bodybuilder,Agent"
6,DBPEDIA_ID/Catherine_LeFrançois,"Person,Athlete,Bodybuilder,Agent"
7,DBPEDIA_ID/Frank_Zane,"Person,Athlete,Bodybuilder,Agent"
8,DBPEDIA_ID/Sheila_Bleck,"Person,Athlete,Bodybuilder,Agent"
9,DBPEDIA_ID/Giuliano_Stroe,"Person,Athlete,Bodybuilder,Agent"
10,DBPEDIA_ID/King_Kamali,"Person,Athlete,Bodybuilder,Agent"
11,DBPEDIA_ID/Mike_Matarazzo,"Person,Athlete,Bodybuilder,Agent"
12,DBPEDIA_ID/Sergio_Oliva,"Person,Athlete,Bodybuilder,Agent"
13,DBPEDIA_ID/Steve_Cook_(bodybuilder),"Person,Athlete,Bodybuilder,Agent"
14,DBPEDIA_ID/Nathalia_Melo-Wilson,"Person,Athlete,Bodybuilder,Agent"
15,DBPEDIA_ID/Dennis_James_(bodybuilder),"Person,Athlete,Bodybuilder,Agent"
16,DBPEDIA_ID/Fikret_Hodžić,"Person,Athlete,Bodybuilder,Agent"
17,DBPEDIA_ID/Johnnie_O._Jackson,"Person,Athlete,Bodybuilder,Agent"
18,DBPEDIA_ID/Th-resa_Bostick,"Person,Athlete,Bodybuilder,Agent"
19,DBPEDIA_ID/Jodi_Leigh_Miller,"Person,Athlete,Bodybuilder,Agent"
20,DBPEDIA_ID/Roy_Callender,"Person,Athlete,Bodybuilder,Agent"
21,DBPEDIA_ID/Murali_Vijayakumar,"Person,Athlete,Bodybuilder,Agent"
22,DBPEDIA_ID/Rich_Gaspari,"Person,Athlete,Bodybuilder,Agent"
23,DBPEDIA_ID/Tevita_Aholelei,"Person,Athlete,Bodybuilder,Agent"
24,DBPEDIA_ID/Gary_Strydom,"Person,Athlete,Bodybuilder,Agent"
25,DBPEDIA_ID/Jhi_Yeon-woo,"Person,Athlete,Bodybuilder,Agent"
26,DBPEDIA_ID/Malika_Zitouni,"Person,Athlete,Bodybuilder,Agent"
27,DBPEDIA_ID/Bev_Francis,"Person,Athlete,Bodybuilder,Agent"
28,DBPEDIA_ID/Richard_Sandrak,"Person,Athlete,Bodybuilder,Agent"
29,DBPEDIA_ID/Angela_Salvagno,"Person,Athlete,Bodybuilder,Agent"
30,DBPEDIA_ID/Anja_Langer,"Person,Athlete,Bodybuilder,Agent"
31,DBPEDIA_ID/Debbie_Bramwell-Washington,"Person,Athlete,Bodybuilder,Agent"
32,DBPEDIA_ID/Dina_Al-Sabah,"Person,Athlete,Bodybuilder,Agent"
33,DBPEDIA_ID/Jaime_Franklin,"Person,Athlete,Bodybuilder,Agent"
34,DBPEDIA_ID/Alexis_Ellis,"Person,Athlete,Bodybuilder,Agent"
35,DBPEDIA_ID/Timea_Majorova,"Person,Athlete,Bodybuilder,Agent"
36,DBPEDIA_ID/Brigita_Brezovac,"Person,Athlete,Bodybuilder,Agent"
37,DBPEDIA_ID/Linda_Minard,"Person,Athlete,Bodybuilder,Agent"
