,entity,classes
0,DBPEDIA_ID/Pubis_(bone),"Bone,AnatomicalStructure"
1,DBPEDIA_ID/Capitate_bone,"Bone,AnatomicalStructure"
2,DBPEDIA_ID/Foramen_magnum,"Bone,AnatomicalStructure"
3,DBPEDIA_ID/Lateral_pterygoid_plate,"Bone,AnatomicalStructure"
4,DBPEDIA_ID/Medial_pterygoid_plate,"Bone,AnatomicalStructure"
5,DBPEDIA_ID/Pterygoid_processes_of_the_sphenoid,"Bone,AnatomicalStructure"
6,DBPEDIA_ID/Ramus_of_the_mandible,"Bone,AnatomicalStructure"
7,DBPEDIA_ID/Superior_pubic_ramus,"Bone,AnatomicalStructure"
8,DBPEDIA_ID/Zygomatic_bone,"Bone,AnatomicalStructure"
9,DBPEDIA_ID/Zygomatic_process_of_frontal_bone,"Bone,AnatomicalStructure"
10,DBPEDIA_ID/Zygomatic_process_of_maxilla,"Bone,AnatomicalStructure"
11,DBPEDIA_ID/Zygomatic_process_of_temporal_bone,"Bone,AnatomicalStructure"
12,DBPEDIA_ID/Lateral_epicondyle_of_the_femur,"Bone,AnatomicalStructure"
13,DBPEDIA_ID/Medial_epicondyle_of_the_femur,"Bone,AnatomicalStructure"
14,DBPEDIA_ID/Medial_epicondyle_of_the_humerus,"Bone,AnatomicalStructure"
15,DBPEDIA_ID/Anterior_ethmoidal_foramen,"Bone,AnatomicalStructure"
16,DBPEDIA_ID/Body_of_maxilla,"Bone,AnatomicalStructure"
17,DBPEDIA_ID/Coronoid_process_of_the_mandible,"Bone,AnatomicalStructure"
18,DBPEDIA_ID/Coronoid_process_of_the_ulna,"Bone,AnatomicalStructure"
19,DBPEDIA_ID/Foramen_cecum_(frontal_bone),"Bone,AnatomicalStructure"
20,DBPEDIA_ID/Iliac_fossa,"Bone,AnatomicalStructure"
21,DBPEDIA_ID/Inferior_gluteal_line,"Bone,AnatomicalStructure"
22,DBPEDIA_ID/Inferior_tympanic_canaliculus,"Bone,AnatomicalStructure"
23,DBPEDIA_ID/Infraorbital_canal,"Bone,AnatomicalStructure"
24,DBPEDIA_ID/Infraorbital_foramen,"Bone,AnatomicalStructure"
25,DBPEDIA_ID/Infraorbital_groove,"Bone,AnatomicalStructure"
26,DBPEDIA_ID/Lacrimal_bone,"Bone,AnatomicalStructure"
27,DBPEDIA_ID/Lacrimal_groove,"Bone,AnatomicalStructure"
28,DBPEDIA_ID/Lateral_condyle_of_femur,"Bone,AnatomicalStructure"
29,DBPEDIA_ID/Lateral_condyle_of_tibia,"Bone,AnatomicalStructure"
30,DBPEDIA_ID/Maxillary_process_of_inferior_nasal_concha,"Bone,AnatomicalStructure"
31,DBPEDIA_ID/Medial_condyle_of_femur,"Bone,AnatomicalStructure"
32,DBPEDIA_ID/Medial_condyle_of_tibia,"Bone,AnatomicalStructure"
33,DBPEDIA_ID/Perpendicular_plate_of_ethmoid_bone,"Bone,AnatomicalStructure"
34,DBPEDIA_ID/Perpendicular_plate_of_palatine_bone,"Bone,AnatomicalStructure"
35,DBPEDIA_ID/Pterygopalatine_fossa,"Bone,AnatomicalStructure"
36,DBPEDIA_ID/Sella_turcica,"Bone,AnatomicalStructure"
37,DBPEDIA_ID/Sphenopalatine_foramen,"Bone,AnatomicalStructure"
38,DBPEDIA_ID/Squamous_part_of_occipital_bone,"Bone,AnatomicalStructure"
39,DBPEDIA_ID/Squamous_part_of_temporal_bone,"Bone,AnatomicalStructure"
40,DBPEDIA_ID/Supraorbital_foramen,"Bone,AnatomicalStructure"
41,DBPEDIA_ID/Clivus_(anatomy),"Bone,AnatomicalStructure"
42,DBPEDIA_ID/Internal_occipital_protuberance,"Bone,AnatomicalStructure"
43,DBPEDIA_ID/Posterior_superior_iliac_spine,"Bone,AnatomicalStructure"
44,DBPEDIA_ID/Petrosal_process,"Bone,AnatomicalStructure"
45,DBPEDIA_ID/Condyloid_process,"Bone,AnatomicalStructure"
46,DBPEDIA_ID/Fifth_metacarpal_bone,"Bone,AnatomicalStructure"
47,DBPEDIA_ID/First_metacarpal_bone,"Bone,AnatomicalStructure"
48,DBPEDIA_ID/Greater_wing_of_sphenoid_bone,"Bone,AnatomicalStructure"
49,DBPEDIA_ID/Labyrinth_of_ethmoid,"Bone,AnatomicalStructure"
50,DBPEDIA_ID/Lesser_wing_of_sphenoid_bone,"Bone,AnatomicalStructure"
51,DBPEDIA_ID/Nuchal_lines,"Bone,AnatomicalStructure"
52,DBPEDIA_ID/Second_metacarpal_bone,"Bone,AnatomicalStructure"
53,DBPEDIA_ID/Third_metacarpal_bone,"Bone,AnatomicalStructure"
54,DBPEDIA_ID/Acromial_angle,"Bone,AnatomicalStructure"
55,DBPEDIA_ID/Infraspinatous_fossa,"Bone,AnatomicalStructure"
56,DBPEDIA_ID/Condyle_(anatomy),"Bone,AnatomicalStructure"
57,DBPEDIA_ID/Femoral_head,"Bone,AnatomicalStructure"
58,DBPEDIA_ID/Foramina_of_Scarpa,"Bone,AnatomicalStructure"
59,DBPEDIA_ID/Pterygoid_fovea,"Bone,AnatomicalStructure"
60,DBPEDIA_ID/Mastoid_process,"Bone,AnatomicalStructure"
61,DBPEDIA_ID/Body_of_sphenoid_bone,"Bone,AnatomicalStructure"
62,DBPEDIA_ID/Ischiopubic_ramus,"Bone,AnatomicalStructure"
63,DBPEDIA_ID/Frontonasal_duct,"Bone,AnatomicalStructure"
64,DBPEDIA_ID/Sulcus_for_auditory_tube,"Bone,AnatomicalStructure"
65,DBPEDIA_ID/Suprameatal_spine,"Bone,AnatomicalStructure"
66,DBPEDIA_ID/Long_bone,"Bone,AnatomicalStructure"
67,DBPEDIA_ID/Mastoid_antrum,"Bone,AnatomicalStructure"
68,DBPEDIA_ID/Alveolar_process,"Bone,AnatomicalStructure"
69,Femur,"Bone,AnatomicalStructure"
70,DBPEDIA_ID/Frontal_eminence,"Bone,AnatomicalStructure"
71,DBPEDIA_ID/Oblique_ridges_of_scapula,"Bone,AnatomicalStructure"
72,DBPEDIA_ID/Pubic_crest,"Bone,AnatomicalStructure"
73,DBPEDIA_ID/Superior_costal_facet,"Bone,AnatomicalStructure"
74,Humerus,"Bone,AnatomicalStructure"
75,DBPEDIA_ID/Xiphoid_process,"Bone,AnatomicalStructure"
76,DBPEDIA_ID/Coracoid_process,"Bone,AnatomicalStructure"
77,DBPEDIA_ID/Cuboid_bone,"Bone,AnatomicalStructure"
78,Maxilla,"Bone,AnatomicalStructure"
