,entity,classes
0,DBPEDIA_ID/Entorhinal_cortex,"Brain,AnatomicalStructure"
1,DBPEDIA_ID/Peripheral_nervous_system,"Brain,AnatomicalStructure"
2,Amygdala,"Brain,AnatomicalStructure"
3,DBPEDIA_ID/Brodmann_area_6,"Brain,AnatomicalStructure"
4,DBPEDIA_ID/Cave_of_septum_pellucidum,"Brain,AnatomicalStructure"
5,DBPEDIA_ID/Cerebral_peduncle,"Brain,AnatomicalStructure"
6,DBPEDIA_ID/Edinger–Westphal_nucleus,"Brain,AnatomicalStructure"
7,DBPEDIA_ID/Fascia_dentata,"Brain,AnatomicalStructure"
8,DBPEDIA_ID/Globus_pallidus,"Brain,AnatomicalStructure"
9,DBPEDIA_ID/Granular_layer_(cerebral_cortex),"Brain,AnatomicalStructure"
10,DBPEDIA_ID/Inferior_temporal_gyrus,"Brain,AnatomicalStructure"
11,DBPEDIA_ID/Raphe_nuclei,"Brain,AnatomicalStructure"
12,DBPEDIA_ID/Rostral_ventromedial_medulla,"Brain,AnatomicalStructure"
13,DBPEDIA_ID/Spinal_accessory_nucleus,"Brain,AnatomicalStructure"
14,Tegmentum,"Brain,AnatomicalStructure"
15,DBPEDIA_ID/Anterior_external_arcuate_fibers,"Brain,AnatomicalStructure"
16,DBPEDIA_ID/Cuneate_nucleus,"Brain,AnatomicalStructure"
17,DBPEDIA_ID/Magnocellular_red_nucleus,"Brain,AnatomicalStructure"
18,DBPEDIA_ID/Arcuate_fasciculus,"Brain,AnatomicalStructure"
19,DBPEDIA_ID/Arcuate_nucleus,"Brain,AnatomicalStructure"
20,DBPEDIA_ID/Arcuate_nucleus_(medulla),"Brain,AnatomicalStructure"
21,DBPEDIA_ID/Cerebral_aqueduct,"Brain,AnatomicalStructure"
22,DBPEDIA_ID/Facial_colliculus,"Brain,AnatomicalStructure"
23,DBPEDIA_ID/Frontal_eye_fields,"Brain,AnatomicalStructure"
24,DBPEDIA_ID/Horizontal_fissure_of_cerebellum,"Brain,AnatomicalStructure"
25,DBPEDIA_ID/Internal_arcuate_fibers,"Brain,AnatomicalStructure"
26,DBPEDIA_ID/Olivary_body,"Brain,AnatomicalStructure"
27,DBPEDIA_ID/Superior_longitudinal_fasciculus,"Brain,AnatomicalStructure"
28,DBPEDIA_ID/Commissural_fiber,"Brain,AnatomicalStructure"
29,Uncus,"Brain,AnatomicalStructure"
30,DBPEDIA_ID/Hypoglossal_trigone,"Brain,AnatomicalStructure"
31,DBPEDIA_ID/Medial_forebrain_bundle,"Brain,AnatomicalStructure"
32,DBPEDIA_ID/Olfactory_trigone,"Brain,AnatomicalStructure"
33,DBPEDIA_ID/Parvocellular_red_nucleus,"Brain,AnatomicalStructure"
34,DBPEDIA_ID/Tela_chorioidea_of_fourth_ventricle,"Brain,AnatomicalStructure"
35,DBPEDIA_ID/Tela_chorioidea_of_third_ventricle,"Brain,AnatomicalStructure"
36,DBPEDIA_ID/Ventral_posterior_nucleus,"Brain,AnatomicalStructure"
37,DBPEDIA_ID/Ventrolateral_preoptic_nucleus,"Brain,AnatomicalStructure"
38,DBPEDIA_ID/Brodmann_area_4,"Brain,AnatomicalStructure"
39,DBPEDIA_ID/Parieto-occipital_sulcus,"Brain,AnatomicalStructure"
40,DBPEDIA_ID/Dorsal_raphe_nucleus,"Brain,AnatomicalStructure"
41,DBPEDIA_ID/Facial_motor_nucleus,"Brain,AnatomicalStructure"
42,DBPEDIA_ID/Nucleus_raphe_obscurus,"Brain,AnatomicalStructure"
43,DBPEDIA_ID/Nucleus_raphe_pallidus,"Brain,AnatomicalStructure"
