,entity,classes
0,DBPEDIA_ID/Green_Man_Brewery,"Organisation,Company,Brewery,Agent"
1,DBPEDIA_ID/Old_Dominion_Brewing_Company,"Organisation,Company,Brewery,Agent"
2,DBPEDIA_ID/Rooster's_Brewery,"Organisation,Company,Brewery,Agent"
3,DBPEDIA_ID/Grebbestad_Bryggeri,"Organisation,Company,Brewery,Agent"
4,DBPEDIA_ID/Birra_Moretti,"Organisation,Company,Brewery,Agent"
5,DBPEDIA_ID/Cerveza_Quilmes,"Organisation,Company,Brewery,Agent"
6,DBPEDIA_ID/Surly_Brewing_Company,"Organisation,Company,Brewery,Agent"
7,DBPEDIA_ID/Nová_Paka_Brewery,"Organisation,Company,Brewery,Agent"
8,DBPEDIA_ID/Epic_Brewing_Company,"Organisation,Company,Brewery,Agent"
9,DBPEDIA_ID/Real_Ale_Brewing_Company,"Organisation,Company,Brewery,Agent"
10,DBPEDIA_ID/Red_Brick_Brewing_Company,"Organisation,Company,Brewery,Agent"
11,Warsteiner,"Organisation,Company,Brewery,Agent"
12,DBPEDIA_ID/Brasserie_Nationale,"Organisation,Company,Brewery,Agent"
13,DBPEDIA_ID/Ayinger_Brewery,"Organisation,Company,Brewery,Agent"
14,Monteith's,"Organisation,Company,Brewery,Agent"
15,DBPEDIA_ID/De_Proefbrouwerij,"Organisation,Company,Brewery,Agent"
16,DBPEDIA_ID/Stewart_Brewing,"Organisation,Company,Brewery,Agent"
17,DBPEDIA_ID/Fort_George_Brewery,"Organisation,Company,Brewery,Agent"
18,DBPEDIA_ID/Dock_Street_Brewing_Company,"Organisation,Company,Brewery,Agent"
19,DBPEDIA_ID/Hilliard's_Beer,"Organisation,Company,Brewery,Agent"
20,DBPEDIA_ID/Lacons_Brewery,"Organisation,Company,Brewery,Agent"
21,DBPEDIA_ID/Sun_King_Brewing,"Organisation,Company,Brewery,Agent"
22,DBPEDIA_ID/Pete's_Brewing_Company,"Organisation,Company,Brewery,Agent"
23,DBPEDIA_ID/Alpine_Beer_Company,"Organisation,Company,Brewery,Agent"
24,DBPEDIA_ID/Andwells_Brewery,"Organisation,Company,Brewery,Agent"
25,DBPEDIA_ID/Phoenix_Brewery,"Organisation,Company,Brewery,Agent"
26,DBPEDIA_ID/Port_Brewing_Company,"Organisation,Company,Brewery,Agent"
27,DBPEDIA_ID/Nantahala_Brewing_Company,"Organisation,Company,Brewery,Agent"
28,DBPEDIA_ID/Kulmbacher_Brewery,"Organisation,Company,Brewery,Agent"
29,DBPEDIA_ID/Penpont_Brewery,"Organisation,Company,Brewery,Agent"
30,DBPEDIA_ID/Cerveceria_Costa_Rica,"Organisation,Company,Brewery,Agent"
31,DBPEDIA_ID/Bragdy_Nant,"Organisation,Company,Brewery,Agent"
32,DBPEDIA_ID/Great_Northern_Brewing_Company,"Organisation,Company,Brewery,Agent"
33,Kalnapilis,"Organisation,Company,Brewery,Agent"
34,DBPEDIA_ID/Bent_Paddle_Brewing_Company,"Organisation,Company,Brewery,Agent"
35,DBPEDIA_ID/Auburn_Alehouse,"Organisation,Company,Brewery,Agent"
36,DBPEDIA_ID/Sixpoint_Brewery,"Organisation,Company,Brewery,Agent"
37,DBPEDIA_ID/Grimbergen_(beer),"Organisation,Company,Brewery,Agent"
