,entity,classes
0,DBPEDIA_ID/Dumbarton_Bridge_(California),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
1,DBPEDIA_ID/Golden_Gate_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
2,DBPEDIA_ID/Mackinac_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
3,DBPEDIA_ID/Ponte_Vecchio,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
4,DBPEDIA_ID/Sydney_Harbour_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
5,DBPEDIA_ID/Forth_Road_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
6,DBPEDIA_ID/Humber_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
7,DBPEDIA_ID/Queensboro_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
8,DBPEDIA_ID/Gateway_Bridge_(Illinois–Iowa),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
9,DBPEDIA_ID/Gateway_Bridge_(Michigan),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
10,DBPEDIA_ID/Allenby_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
11,DBPEDIA_ID/American_Legion_Memorial_Bridge_(Michigan),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
12,DBPEDIA_ID/American_Legion_Memorial_Bridge_(Potomac_River),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
13,DBPEDIA_ID/Baudette–Rainy_River_International_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
14,DBPEDIA_ID/Bedell_Covered_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
15,DBPEDIA_ID/Cape_Fear_Skyway,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/Capilano_Bridge_(Edmonton),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
17,"DBPEDIA_ID/Captain_Cook_Bridge,_New_South_Wales","Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
18,DBPEDIA_ID/Cedar_Avenue_Bridge_(Minnesota_River),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
