,entity,classes
0,"DBPEDIA_ID/Sir_John_Barker,_4th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
1,"DBPEDIA_ID/Sir_Philip_Jennings-Clerke,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
2,"DBPEDIA_ID/Sir_Thomas_Moore,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
3,"DBPEDIA_ID/Sir_Charles_Morgan,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
4,"DBPEDIA_ID/Sir_Charles_Turner,_1st_Baronet,_of_Warham","Person,Royalty,Baronet,BritishRoyalty,Agent"
5,"DBPEDIA_ID/Sir_Charles_Turner,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
6,"DBPEDIA_ID/Sir_Edmund_Turton,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
7,"DBPEDIA_ID/Sir_John_Barlow,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
8,"DBPEDIA_ID/Sir_John_Inglis,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
9,"DBPEDIA_ID/Sir_John_Reid,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
10,"DBPEDIA_ID/Sir_Thomas_Felton,_4th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
11,"DBPEDIA_ID/Sir_Thomas_Rich,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
12,"DBPEDIA_ID/Sir_William_Roberts,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
13,"DBPEDIA_ID/Sir_Thomas_Hales,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
14,"DBPEDIA_ID/Sir_William_Gordon-Cumming,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
15,DBPEDIA_ID/Cuthbert_Ackroyd,"Person,Royalty,Baronet,BritishRoyalty,Agent"
16,DBPEDIA_ID/Francis_Freeling,"Person,Royalty,Baronet,BritishRoyalty,Agent"
17,DBPEDIA_ID/John_Aubrey-Fletcher,"Person,Royalty,Baronet,BritishRoyalty,Agent"
18,DBPEDIA_ID/John_Smith-Burges,"Person,Royalty,Baronet,BritishRoyalty,Agent"
19,DBPEDIA_ID/Rokeby_baronets,"Person,Royalty,Baronet,BritishRoyalty,Agent"
20,"DBPEDIA_ID/Sir_Arthur_Pease,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
21,"DBPEDIA_ID/Sir_George_Bingham,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
22,"DBPEDIA_ID/Sir_Henry_Fletcher,_1st_Baronet,_of_Clea_Hall","Person,Royalty,Baronet,BritishRoyalty,Agent"
23,"DBPEDIA_ID/Sir_Henry_Robinson,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
24,"DBPEDIA_ID/Sir_Herbert_Williams-Wynn,_7th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
25,"DBPEDIA_ID/Sir_John_Aubrey,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
26,"DBPEDIA_ID/Sir_John_Hay,_6th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
27,"DBPEDIA_ID/Sir_John_Hay_of_Alderston,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
28,"DBPEDIA_ID/Sir_John_St_Aubyn,_5th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
29,"DBPEDIA_ID/Sir_John_Stewart,_1st_Baronet,_of_Fingask","Person,Royalty,Baronet,BritishRoyalty,Agent"
30,"DBPEDIA_ID/Sir_Patrick_Agnew,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
31,"DBPEDIA_ID/Sir_Thomas_Littleton,_3rd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
32,"DBPEDIA_ID/Sir_Thomas_Miller,_1st_Baronet,_of_Chichester","Person,Royalty,Baronet,BritishRoyalty,Agent"
33,DBPEDIA_ID/Golding_baronets,"Person,Royalty,Baronet,BritishRoyalty,Agent"
34,"DBPEDIA_ID/Archibald_Acheson,_1st_Viscount_Gosford","Person,Royalty,Baronet,BritishRoyalty,Agent"
35,"DBPEDIA_ID/Sir_Alexander_Baird,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
36,"DBPEDIA_ID/Sir_Arthur_Gore,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
37,"DBPEDIA_ID/Sir_Andrew_Porter,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
38,"DBPEDIA_ID/Sir_David_Cunningham,_1st_Baronet,_of_Robertland","Person,Royalty,Baronet,BritishRoyalty,Agent"
39,"DBPEDIA_ID/Sir_Frederick_Wills,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
40,"DBPEDIA_ID/Sir_Henry_Chamberlain,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
41,"DBPEDIA_ID/Sir_James_Corry,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
42,"DBPEDIA_ID/Sir_John_Borlase,_2nd_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
43,"DBPEDIA_ID/Sir_John_Carmichael-Anstruther,_5th_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
44,"DBPEDIA_ID/Sir_John_Lowther,_2nd_Baronet,_of_Swillington","Person,Royalty,Baronet,BritishRoyalty,Agent"
45,"DBPEDIA_ID/Sir_Robert_Chapman,_1st_Baronet","Person,Royalty,Baronet,BritishRoyalty,Agent"
