,entity,classes
0,DBPEDIA_ID/Australian_Broadcasting_Corporation,"BroadcastNetwork,Organisation,Broadcaster,Agent"
1,DBPEDIA_ID/BBC_News_(TV_channel),"Organisation,Broadcaster,TelevisionStation,Agent"
2,DBPEDIA_ID/BBC_Radio_1,"Organisation,Broadcaster,Agent,RadioStation"
3,DBPEDIA_ID/BBC_Red_Button,"Organisation,Broadcaster,TelevisionStation,Agent"
4,DBPEDIA_ID/Channel_4,"Organisation,Broadcaster,TelevisionStation,Agent"
5,DBPEDIA_ID/Fox_News_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
6,MTV,"Organisation,Broadcaster,TelevisionStation,Agent"
7,NBC,"BroadcastNetwork,Organisation,Broadcaster,Agent"
8,Venevisión,"Organisation,Broadcaster,TelevisionStation,Agent"
9,DBPEDIA_ID/BBC_Two,"Organisation,Broadcaster,TelevisionStation,Agent"
10,MSNBC,"Organisation,Broadcaster,TelevisionStation,Agent"
11,DBPEDIA_ID/NHK_World,"Organisation,Broadcaster,TelevisionStation,Agent"
12,DBPEDIA_ID/American_Heroes_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
13,DBPEDIA_ID/Clubland_TV,"Organisation,Broadcaster,TelevisionStation,Agent"
14,DBPEDIA_ID/Hope_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
15,KAAN-FM,"Organisation,Broadcaster,Agent,RadioStation"
16,DBPEDIA_ID/KITT_(FM),"Organisation,Broadcaster,Agent,RadioStation"
17,DBPEDIA_ID/Libyan_Jamahiriya_Broadcasting_Corporation,"BroadcastNetwork,Organisation,Broadcaster,Agent"
18,NBCSN,"Organisation,Broadcaster,TelevisionStation,Agent"
19,RTKG,"Organisation,Broadcaster,TelevisionStation,Agent"
20,DBPEDIA_ID/Radio_Station_Belarus,"BroadcastNetwork,Organisation,Broadcaster,Agent"
21,DBPEDIA_ID/Radio_Television_of_Kosovo,"BroadcastNetwork,Organisation,Broadcaster,Agent"
22,DBPEDIA_ID/Stingray_Music,"Organisation,Broadcaster,TelevisionStation,Agent"
23,DBPEDIA_ID/The_Breeze_(Australia),"Organisation,Broadcaster,Agent,RadioStation"
24,DBPEDIA_ID/The_Breeze_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
25,DBPEDIA_ID/The_Breeze_(radio_network),"Organisation,Broadcaster,Agent,RadioStation"
26,DBPEDIA_ID/WASG_(AM),"Organisation,Broadcaster,Agent,RadioStation"
27,DBPEDIA_ID/WCRC_(FM),"Organisation,Broadcaster,Agent,RadioStation"
28,DBPEDIA_ID/WMAQ_(AM),"Organisation,Broadcaster,Agent,RadioStation"
29,WOTL,"Organisation,Broadcaster,Agent,RadioStation"
30,DBPEDIA_ID/WSBA_(AM),"Organisation,Broadcaster,Agent,RadioStation"
31,DBPEDIA_ID/Worldview_Broadcasting_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
32,DBPEDIA_ID/93.9_Bay_FM,"Organisation,Broadcaster,Agent,RadioStation"
33,DBPEDIA_ID/94.7_The_Pulse,"Organisation,Broadcaster,Agent,RadioStation"
34,DBPEDIA_ID/ABC_News_24,"Organisation,Broadcaster,TelevisionStation,Agent"
35,DBPEDIA_ID/AVN_(Albania),"Organisation,Broadcaster,TelevisionStation,Agent"
36,DBPEDIA_ID/Agri_Broadcast_Network,"BroadcastNetwork,Organisation,Broadcaster,Agent"
37,DBPEDIA_ID/Akashvani_(radio_broadcaster),"BroadcastNetwork,Organisation,Broadcaster,Agent"
38,DBPEDIA_ID/All_Sports_Network,"Organisation,Broadcaster,TelevisionStation,Agent"
39,DBPEDIA_ID/American_Sports_Network,"BroadcastNetwork,Organisation,Broadcaster,Agent"
40,DBPEDIA_ID/Ariana_Afghanistan,"BroadcastNetwork,Organisation,Broadcaster,Agent"
41,DBPEDIA_ID/Astro_Kirana,"Organisation,Broadcaster,TelevisionStation,Agent"
42,DBPEDIA_ID/Azteca_(TV_network),"BroadcastNetwork,Organisation,Broadcaster,Agent"
43,BET,"Organisation,Broadcaster,TelevisionStation,Agent"
44,DBPEDIA_ID/BET_Soul,"Organisation,Broadcaster,TelevisionStation,Agent"
45,DBPEDIA_ID/Bangladesh_Betar,"BroadcastNetwork,Organisation,Broadcaster,Agent"
46,DBPEDIA_ID/Bay_FM_(Wynnum),"Organisation,Broadcaster,Agent,RadioStation"
47,DBPEDIA_ID/Bay_FM_99.3,"Organisation,Broadcaster,Agent,RadioStation"
48,DBPEDIA_ID/Bay_FM_Exmouth,"Organisation,Broadcaster,Agent,RadioStation"
49,DBPEDIA_ID/BeIN_Sports,"Organisation,Broadcaster,TelevisionStation,Agent"
50,DBPEDIA_ID/Blue_Network,"BroadcastNetwork,Organisation,Broadcaster,Agent"
51,DBPEDIA_ID/Bohemia_Visual_Music,"Organisation,Broadcaster,TelevisionStation,Agent"
52,DBPEDIA_ID/CFPL_(AM),"Organisation,Broadcaster,Agent,RadioStation"
53,CHIM-FM-5,"Organisation,Broadcaster,Agent,RadioStation"
54,CHST-FM,"Organisation,Broadcaster,Agent,RadioStation"
55,DBPEDIA_ID/CIAO_(AM),"Organisation,Broadcaster,Agent,RadioStation"
56,CISN-FM,"Organisation,Broadcaster,Agent,RadioStation"
57,CKY-FM,"Organisation,Broadcaster,Agent,RadioStation"
58,DBPEDIA_ID/CNBC_Europe,"Organisation,Broadcaster,TelevisionStation,Agent"
59,DBPEDIA_ID/CTV_Classic,"Organisation,Broadcaster,TelevisionStation,Agent"
60,DBPEDIA_ID/CTV_Main_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
61,DBPEDIA_ID/CTV_News_Channel_(Canada),"Organisation,Broadcaster,TelevisionStation,Agent"
62,DBPEDIA_ID/CTV_News_Channel_(Taiwan),"Organisation,Broadcaster,TelevisionStation,Agent"
63,DBPEDIA_ID/CTV_Two,"BroadcastNetwork,Organisation,Broadcaster,Agent"
64,DBPEDIA_ID/Canal_13_(Chile),"Organisation,Broadcaster,TelevisionStation,Agent"
65,DBPEDIA_ID/Capital_FM_88.9,"Organisation,Broadcaster,Agent,RadioStation"
66,DBPEDIA_ID/Celestial_Movies,"Organisation,Broadcaster,TelevisionStation,Agent"
67,DBPEDIA_ID/Channel_10_(Israel),"Organisation,Broadcaster,TelevisionStation,Agent"
68,DBPEDIA_ID/Channel_6_–_Bariloche,"Organisation,Broadcaster,TelevisionStation,Agent"
69,DBPEDIA_ID/Coast_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
70,DBPEDIA_ID/Decades_(TV_network),"BroadcastNetwork,Organisation,Broadcaster,Agent"
71,DBPEDIA_ID/Dragon_Television,"Organisation,Broadcaster,TelevisionStation,Agent"
72,DBPEDIA_ID/Dubai_Media_Incorporated,"BroadcastNetwork,Organisation,Broadcaster,Agent"
73,E.tv,"Organisation,Broadcaster,TelevisionStation,Agent"
74,DBPEDIA_ID/ETV_(Ethiopia),"BroadcastNetwork,Organisation,Broadcaster,Agent"
75,DBPEDIA_ID/ETV_(Sri_Lanka),"Organisation,Broadcaster,TelevisionStation,Agent"
76,DBPEDIA_ID/ETV_Telugu,"Organisation,Broadcaster,TelevisionStation,Agent"
77,DBPEDIA_ID/El_Trece,"Organisation,Broadcaster,TelevisionStation,Agent"
78,DBPEDIA_ID/Epsilon_TV,"Organisation,Broadcaster,TelevisionStation,Agent"
79,DBPEDIA_ID/FIP_(radio_station),"Organisation,Broadcaster,Agent,RadioStation"
80,DBPEDIA_ID/FX_Movie_Channel,"Organisation,Broadcaster,TelevisionStation,Agent"
81,DBPEDIA_ID/Flamingo_Televisión,"BroadcastNetwork,Organisation,Broadcaster,Agent"
82,DBPEDIA_ID/Flava_(New_Zealand),"Organisation,Broadcaster,Agent,RadioStation"
83,DBPEDIA_ID/Flava_(TV_channel),"Organisation,Broadcaster,TelevisionStation,Agent"
84,DBPEDIA_ID/Fox_Family_Movies,"Organisation,Broadcaster,TelevisionStation,Agent"
85,DBPEDIA_ID/History_(Canada),"Organisation,Broadcaster,TelevisionStation,Agent"
86,DBPEDIA_ID/History_(European_TV_channel),"Organisation,Broadcaster,TelevisionStation,Agent"
87,DBPEDIA_ID/History_en_Español,"Organisation,Broadcaster,TelevisionStation,Agent"
88,DBPEDIA_ID/Home_(TV_channel),"Organisation,Broadcaster,TelevisionStation,Agent"
