,entity,classes
0,DBPEDIA_ID/Abbotsford_House,"ArchitecturalStructure,Building,Place,Location"
1,DBPEDIA_ID/Arc_de_Triomphe,"ArchitecturalStructure,Building,Place,Location"
2,DBPEDIA_ID/Bank_of_China_Tower_(Hong_Kong),"ArchitecturalStructure,Building,Place,Location"
3,DBPEDIA_ID/Berlin_Wall,"ArchitecturalStructure,Building,Place,Location"
4,DBPEDIA_ID/Bletchley_Park,"ArchitecturalStructure,Building,Museum,Place,Location"
5,DBPEDIA_ID/British_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
6,DBPEDIA_ID/CN_Tower,"ArchitecturalStructure,Building,Place,Location"
7,DBPEDIA_ID/Casa_Batlló,"ArchitecturalStructure,Building,Place,Location"
8,DBPEDIA_ID/Casa_Milà,"ArchitecturalStructure,Building,Place,Location"
9,DBPEDIA_ID/Central_Plaza_(Hong_Kong),"ArchitecturalStructure,Building,Place,Location"
10,DBPEDIA_ID/Chrysler_Building,"ArchitecturalStructure,Building,Place,Location"
11,DBPEDIA_ID/Church_of_the_Holy_Sepulchre,"ArchitecturalStructure,Building,ReligiousBuilding,Place,Location"
12,DBPEDIA_ID/Cobble_Hill_Tunnel,"ArchitecturalStructure,Building,Place,Location"
13,DBPEDIA_ID/Eden_Project,"ArchitecturalStructure,Building,Place,Location"
14,DBPEDIA_ID/Eiffel_Tower,"ArchitecturalStructure,Building,Place,Location"
15,DBPEDIA_ID/Empire_State_Building,"ArchitecturalStructure,Building,Place,Location"
16,DBPEDIA_ID/HM_Prison_Dartmoor,"ArchitecturalStructure,Building,Place,Location,Prison"
17,DBPEDIA_ID/Hopewell_Centre_(Hong_Kong),"ArchitecturalStructure,Building,Place,Location"
18,DBPEDIA_ID/John_Sealy_Hospital,"ArchitecturalStructure,Building,Hospital,Place,Location"
19,DBPEDIA_ID/Knaresborough_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
20,DBPEDIA_ID/Library_of_Alexandria,"Building,Organisation,EducationalInstitution,Library,ArchitecturalStructure,Place,Agent,Location"
21,Louvre,"ArchitecturalStructure,Building,Museum,Place,Location"
22,DBPEDIA_ID/Midway_Atoll,"ArchitecturalStructure,Building,Place,Location"
23,DBPEDIA_ID/National_Baseball_Hall_of_Fame_and_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
24,DBPEDIA_ID/New_York_Stock_Exchange,"ArchitecturalStructure,Building,Place,Location"
25,Parthenon,"ArchitecturalStructure,Building,Place,Location"
26,DBPEDIA_ID/Project_Gutenberg,"Building,Organisation,EducationalInstitution,Library,ArchitecturalStructure,Place,Agent,Location"
27,Rijksmuseum,"ArchitecturalStructure,Building,Museum,Place,Location"
28,DBPEDIA_ID/Semi-Automatic_Ground_Environment,"ArchitecturalStructure,Building,Place,Location"
29,Spindletop,"ArchitecturalStructure,Building,Place,Location"
30,DBPEDIA_ID/Sydney_Opera_House,"ArchitecturalStructure,Building,Place,Location"
31,DBPEDIA_ID/Willis_Tower,"ArchitecturalStructure,Building,Place,Location"
32,Benu,"ArchitecturalStructure,Building,Place,Location,Restaurant"
33,DBPEDIA_ID/Exeter_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
34,DBPEDIA_ID/National_Soccer_Hall_of_Fame,"ArchitecturalStructure,Building,Museum,Place,Location"
35,"DBPEDIA_ID/Astley_Hall,_Chorley","ArchitecturalStructure,Building,Place,Location"
36,DBPEDIA_ID/Bolsover_Castle,"ArchitecturalStructure,Building,Place,Location"
37,DBPEDIA_ID/Calke_Abbey,"ArchitecturalStructure,Building,Place,Location"
38,DBPEDIA_ID/Derby_Cathedral,"ArchitecturalStructure,Building,HistoricBuilding,Place,Location"
39,DBPEDIA_ID/Fort_Snelling,"ArchitecturalStructure,Building,Place,Location"
40,DBPEDIA_ID/Het_Loo_Palace,"ArchitecturalStructure,Building,Place,Location"
41,Kennywood,"ArchitecturalStructure,Building,Place,Location"
42,DBPEDIA_ID/Long_Island_Motor_Parkway,"ArchitecturalStructure,Building,Place,Location"
