,entity,classes
0,DBPEDIA_ID/Ahmedabad_Municipal_Transport_Service,"Organisation,Company,BusCompany,Agent"
1,Ensignbus,"Organisation,Company,BusCompany,Agent"
2,DBPEDIA_ID/Fairfield_and_Suisun_Transit,"Organisation,Company,BusCompany,Agent"
3,DBPEDIA_ID/Madison_County_Transit,"Organisation,Company,BusCompany,Agent"
4,DBPEDIA_ID/Atlantic_Express_(bus_company),"Organisation,Company,BusCompany,Agent"
5,DBPEDIA_ID/Bluebird_Bus_and_Coach,"Organisation,Company,BusCompany,Agent"
6,DBPEDIA_ID/Bonifacio_Transport_Corporation,"Organisation,Company,BusCompany,Agent"
7,DBPEDIA_ID/Carters_Coach_Services,"Organisation,Company,BusCompany,Agent"
8,DBPEDIA_ID/Cooperative_Alliance_for_Seacoast_Transportation,"Organisation,Company,BusCompany,Agent"
9,Corolis,"Organisation,Company,BusCompany,Agent"
10,DBPEDIA_ID/Gray_Line_Worldwide,"Organisation,Company,BusCompany,Agent"
11,DBPEDIA_ID/Group_Voyagers,"Organisation,Company,BusCompany,Agent"
12,DBPEDIA_ID/Kelvin_Scottish,"Organisation,Company,BusCompany,Agent"
13,DBPEDIA_ID/Ljubljana_Passenger_Transport,"Organisation,Company,BusCompany,Agent"
14,DBPEDIA_ID/London_Pride_Sightseeing,"Organisation,Company,BusCompany,Agent"
15,DBPEDIA_ID/NSL_Buses,"Organisation,Company,BusCompany,Agent"
16,DBPEDIA_ID/Redding_Area_Bus_Authority,"Organisation,Company,BusCompany,Agent"
17,DBPEDIA_ID/Rover_Coaches,"Organisation,Company,BusCompany,Agent"
18,Speedwellbus,"Organisation,Company,BusCompany,Agent"
19,"DBPEDIA_ID/THE_Bus_(Hernando_County,_Florida)","Organisation,Company,BusCompany,Agent"
20,DBPEDIA_ID/The_Deuce,"Organisation,Company,BusCompany,Agent"
21,DBPEDIA_ID/WHEELS_(California),"Organisation,Company,BusCompany,Agent"
22,DBPEDIA_ID/Wheels_(New_Jersey_Transit),"Organisation,Company,BusCompany,Agent"
23,DBPEDIA_ID/York_Region_Transit,"Organisation,Company,BusCompany,Agent"
24,DBPEDIA_ID/Berks_Area_Regional_Transportation_Authority,"Organisation,Company,BusCompany,Agent"
25,DBPEDIA_ID/Mayne_Coaches,"Organisation,Company,BusCompany,Agent"
26,DBPEDIA_ID/TWH_Bus_&_Coach,"Organisation,Company,BusCompany,Agent"
27,DBPEDIA_ID/Armchair_Passenger_Transport,"Organisation,Company,BusCompany,Agent"
28,DBPEDIA_ID/Busways_Travel_Services,"Organisation,Company,BusCompany,Agent"
