,entity,classes
0,DBPEDIA_ID/Detroit_Wheels,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
1,DBPEDIA_ID/Luxembourg_Steelers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
2,DBPEDIA_ID/Bielawa_Owls,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
3,DBPEDIA_ID/Los_Angeles_Temptation,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
4,DBPEDIA_ID/Atlantic_Schooners,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
5,DBPEDIA_ID/Rhinos_Milano,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
6,DBPEDIA_ID/South_Wales_Warriors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
7,DBPEDIA_ID/Warsaw_Eagles,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
8,DBPEDIA_ID/Toledo_Crush,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
9,DBPEDIA_ID/Craigavon_Cowboys,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
10,DBPEDIA_ID/Crewe_Railroaders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
11,DBPEDIA_ID/Fireballs_Wielkopolska,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
12,DBPEDIA_ID/Kraków_Tigers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
13,DBPEDIA_ID/Seahawks_Gdynia,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
14,DBPEDIA_ID/Aberdeen_Roughnecks,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
15,DBPEDIA_ID/Miami_Manatees_(CFL),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
16,DBPEDIA_ID/Southern_Sundevils,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
17,DBPEDIA_ID/Hamilton_Tiger-Cats,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
18,DBPEDIA_ID/Wirral_Wolves,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
19,DBPEDIA_ID/Enschede_Warriors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
20,DBPEDIA_ID/Orlando_Phantoms,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
21,DBPEDIA_ID/Izegem_Tribes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
22,DBPEDIA_ID/Calgary_Fillies,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
23,DBPEDIA_ID/Bedfordshire_Blue_Raiders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
24,DBPEDIA_ID/Ouse_Valley_Eagles,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
25,DBPEDIA_ID/Seattle_Mist,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
26,DBPEDIA_ID/Charleroi_Cougars,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
27,DBPEDIA_ID/Toronto_Triumph,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
28,DBPEDIA_ID/Newcastle_Vikings,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
29,DBPEDIA_ID/Edinburgh_Wolves,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
30,DBPEDIA_ID/AFC_Cranes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
31,DBPEDIA_ID/Aix-en-Provence_Argonautes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
32,DBPEDIA_ID/All_Mitsubishi_Lions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
33,DBPEDIA_ID/As_One_Black_Eagles,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
34,DBPEDIA_ID/Asahi_Beer_Silver_Star,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
35,DBPEDIA_ID/Asahi_Soft_Drink_Challengers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
36,DBPEDIA_ID/Bulls_(X-League),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
37,Bullseyes-Tokyo,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
38,DBPEDIA_ID/Fuji_Xerox_J-Stars,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
39,DBPEDIA_ID/Fuji_Xerox_Minerva_AFC,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
40,DBPEDIA_ID/Fujitsu_Frontiers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
41,DBPEDIA_ID/Helsinki_69ers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
42,DBPEDIA_ID/Hurricanes_(X-League),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
43,DBPEDIA_ID/Lixil_Deers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
44,DBPEDIA_ID/Louisville_Bulls,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
45,DBPEDIA_ID/Meijiyasuda_PentaOcean_Pirates,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
46,DBPEDIA_ID/Nagoya_Cyclones,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
47,DBPEDIA_ID/Nishinomiya_Bruins,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
48,DBPEDIA_ID/Nojima_Sagamihara_Rise,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
49,DBPEDIA_ID/Obic_Seagulls,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
50,DBPEDIA_ID/Panasonic_Impulse,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
51,DBPEDIA_ID/Tokyo_Gas_Creators,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
52,DBPEDIA_ID/Yokohama_Harbors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
53,DBPEDIA_ID/Halton_Spartans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
54,DBPEDIA_ID/Alabama_Vulcans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
55,DBPEDIA_ID/Cuiabá_Arsenal,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
56,DBPEDIA_ID/Helsinki_Wolverines,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
57,DBPEDIA_ID/Montreal_Alouettes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
58,DBPEDIA_ID/Norwich_Devils,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
59,DBPEDIA_ID/Southern_Cross_All-Stars,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
60,DBPEDIA_ID/Chester_Romans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
61,DBPEDIA_ID/Essex_Spartans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
62,DBPEDIA_ID/Enschede_Broncos,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
63,DBPEDIA_ID/Sheffield_Predators,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
64,DBPEDIA_ID/Huntsville_Rockets,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
65,DBPEDIA_ID/Toronto_Argonauts,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
66,DBPEDIA_ID/Nottingham_Caesars,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
67,DBPEDIA_ID/Manitoba_Fearless,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
68,DBPEDIA_ID/Limburg_Shotguns,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
69,DBPEDIA_ID/Jacksonville_Sharks_(WFL),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
70,DBPEDIA_ID/Memphis_Southmen,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
71,DBPEDIA_ID/Shreveport_Steamer,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
72,DBPEDIA_ID/Highland_Wildcats,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
73,DBPEDIA_ID/Jacksonville_Breeze,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
74,DBPEDIA_ID/Peterborough_Saxons,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
75,DBPEDIA_ID/Tamworth_Phoenix,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
76,DBPEDIA_ID/West_Flanders_Tribes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
77,DBPEDIA_ID/Yorkshire_Rams,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
78,DBPEDIA_ID/Milano_Seamen,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
79,DBPEDIA_ID/Ostend_Pirates,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
80,DBPEDIA_ID/Orlando_Fantasy,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
81,DBPEDIA_ID/Tiger_Bay_Warriors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
82,DBPEDIA_ID/Waterloo_Warriors_(Belgium),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
83,DBPEDIA_ID/San_Diego_Seduction,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
84,DBPEDIA_ID/IBM_Big_Blue_(X-League),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
85,DBPEDIA_ID/Parma_Panthers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
86,DBPEDIA_ID/Redditch_Arrows,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
87,DBPEDIA_ID/Silesia_Rebels,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
88,DBPEDIA_ID/Brussels_Tigers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
89,DBPEDIA_ID/Bucharest_Warriors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
90,DBPEDIA_ID/Bydgoszcz_Archers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
91,DBPEDIA_ID/Bydgoszcz_Raiders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
92,DBPEDIA_ID/Hull_Hornets,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
93,DBPEDIA_ID/Portland_Storm,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
94,DBPEDIA_ID/Saskatoon_Sirens,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
95,DBPEDIA_ID/Winnipeg_Blue_Bombers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
96,DBPEDIA_ID/BC_Lions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
97,DBPEDIA_ID/Birmingham_Barracudas,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
98,DBPEDIA_ID/Las_Vegas_Posse,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
99,DBPEDIA_ID/Memphis_Mad_Dogs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
100,DBPEDIA_ID/Sacramento_Gold_Miners,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
101,DBPEDIA_ID/San_Antonio_Texans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
102,DBPEDIA_ID/Shreveport_Pirates,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
103,DBPEDIA_ID/Saskatchewan_Roughriders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
104,DBPEDIA_ID/Birmingham_Vulcans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
105,DBPEDIA_ID/Edmonton_Storm_(football),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
106,DBPEDIA_ID/Petrozavodsk_Kongs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
107,DBPEDIA_ID/The_Hawaiians_(WFL),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
108,DBPEDIA_ID/Ottawa_Rough_Riders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
109,DBPEDIA_ID/Miami_Caliente,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
110,DBPEDIA_ID/Minnesota_Valkyrie,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
111,DBPEDIA_ID/Plymouth_Admirals,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
112,DBPEDIA_ID/Maidstone_Pumas,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
113,DBPEDIA_ID/Elecom_Kobe_Finies,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
114,DBPEDIA_ID/La_Louvière_Wolves,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
115,DBPEDIA_ID/Santa_Ana_Bulldogs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
116,DBPEDIA_ID/Lowlanders_Białystok,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
117,DBPEDIA_ID/Regina_Rage,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
118,DBPEDIA_ID/Tel_Aviv_Pioneers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
119,DBPEDIA_ID/East_Kent_Mavericks,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
120,DBPEDIA_ID/Calgary_Rage,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
121,DBPEDIA_ID/Philadelphia_Bell,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
122,DBPEDIA_ID/Birmingham_Americans,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
123,DBPEDIA_ID/San_Antonio_Wings,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
124,DBPEDIA_ID/Kozły_Poznań,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
125,DBPEDIA_ID/Omaha_Heart,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
126,DBPEDIA_ID/Cambridgeshire_Cats,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
127,DBPEDIA_ID/Colchester_Gladiators,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
128,DBPEDIA_ID/Dallas_Desire,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
129,DBPEDIA_ID/Southern_California_Sun,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
130,DBPEDIA_ID/London_Warriors,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
131,DBPEDIA_ID/Berkshire_Renegades,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
132,DBPEDIA_ID/Birmingham_Bulls_(American_football),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
133,DBPEDIA_ID/Drogheda_Lightning,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
134,DBPEDIA_ID/Green_Bay_Chill,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
135,DBPEDIA_ID/Ottawa_Renegades,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
136,DBPEDIA_ID/Louvain-la-Neuve_Fighting_Turtles,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
137,DBPEDIA_ID/New_York_Majesty,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
138,DBPEDIA_ID/Zagłębie_Steelers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
139,DBPEDIA_ID/Brussels_Bulls,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
140,DBPEDIA_ID/Bergamo_Lions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
141,DBPEDIA_ID/Bramalea_Satellites,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
142,DBPEDIA_ID/Chicago_Winds,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
143,DBPEDIA_ID/Saint_John_Storm,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
144,DBPEDIA_ID/Saskatoon_Valkyries,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
145,DBPEDIA_ID/Tampere_Saints,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
146,DBPEDIA_ID/Angels_Toruń,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
147,DBPEDIA_ID/BC_Angels,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
148,DBPEDIA_ID/Chicago_Bliss,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
149,DBPEDIA_ID/Sidewinders_(X-League),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
150,DBPEDIA_ID/Baltimore_Charm,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
151,DBPEDIA_ID/Baltimore_Stallions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
152,DBPEDIA_ID/Calgary_Stampeders,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
153,DBPEDIA_ID/Charlotte_Hornets_(WFL),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
154,DBPEDIA_ID/Chicago_Fire_(American_football),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
155,DBPEDIA_ID/Doncaster_Mustangs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
156,DBPEDIA_ID/Dundee_Hurricanes,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
157,DBPEDIA_ID/Edmonton_Eskimos,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
158,DBPEDIA_ID/Las_Vegas_Sin,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
159,DBPEDIA_ID/Atlanta_Steam,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
160,DBPEDIA_ID/Brussels_Black_Angels,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
161,DBPEDIA_ID/Haifa_Underdogs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
162,DBPEDIA_ID/Herzliya_Hammers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
163,DBPEDIA_ID/Thonon_Black_Panthers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
164,DBPEDIA_ID/Leuven_Lions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
165,DBPEDIA_ID/Regina_Riot_(football),"Organisation,SportsTeam,Agent,CanadianFootballTeam"
166,DBPEDIA_ID/Gloucester_Centurions,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
167,DBPEDIA_ID/Helsinki_Roosters,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
168,DBPEDIA_ID/Oxford_Saints,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
169,DBPEDIA_ID/Cornish_Sharks,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
170,DBPEDIA_ID/Ottawa_Redblacks,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
171,DBPEDIA_ID/Philadelphia_Passion,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
172,DBPEDIA_ID/Catania_Elephants,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
173,DBPEDIA_ID/Devils_Wrocław,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
174,DBPEDIA_ID/Giants_Wrocław,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
175,DBPEDIA_ID/Jerusalem_Kings,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
176,DBPEDIA_ID/Antwerp_Diamonds,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
177,DBPEDIA_ID/Ghent_Gators,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
178,DBPEDIA_ID/Tournai_Phoenix,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
179,DBPEDIA_ID/Lethbridge_Steel,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
180,DBPEDIA_ID/Liège_Monarchs,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
181,DBPEDIA_ID/Corinthians_Steamrollers,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
182,DBPEDIA_ID/Keishichou_Eagles,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
183,DBPEDIA_ID/Ness_Monsters_AFC,"Organisation,SportsTeam,Agent,CanadianFootballTeam"
