,entity,classes
0,DBPEDIA_ID/Erie_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
1,DBPEDIA_ID/Kiel_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
2,DBPEDIA_ID/Nicaragua_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
3,DBPEDIA_ID/Panama_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
4,DBPEDIA_ID/Saint_Lawrence_Seaway,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
5,DBPEDIA_ID/Aire_and_Calder_Navigation,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
6,DBPEDIA_ID/Staffordshire_and_Worcestershire_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
7,DBPEDIA_ID/Stratford-upon-Avon_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
8,DBPEDIA_ID/Thames_and_Severn_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
9,DBPEDIA_ID/Wilts_&_Berks_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
10,DBPEDIA_ID/Haddiscoe_Cut,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
11,DBPEDIA_ID/River_Gipping,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
12,DBPEDIA_ID/Baybridge_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
13,DBPEDIA_ID/Bordesley_Junction,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
14,DBPEDIA_ID/Canal_du_Centre_(France),"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
15,DBPEDIA_ID/Canal_Dunkerque-Escaut,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
16,DBPEDIA_ID/St._Johns-Indian_River_Barge_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
17,DBPEDIA_ID/Arbury_Canals,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
18,DBPEDIA_ID/Belozersky_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
19,DBPEDIA_ID/Selby_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
20,DBPEDIA_ID/Glastonbury_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
21,DBPEDIA_ID/Stover_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
22,DBPEDIA_ID/Augustów_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
23,DBPEDIA_ID/Dukart's_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
24,DBPEDIA_ID/Melton_Mowbray_Navigation,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
25,DBPEDIA_ID/Middle_Level_Navigations,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
26,DBPEDIA_ID/Wey_and_Godalming_Navigations,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
27,DBPEDIA_ID/Tavistock_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
28,DBPEDIA_ID/Caistor_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
29,DBPEDIA_ID/Bradford_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
30,DBPEDIA_ID/Peak_Forest_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
31,DBPEDIA_ID/Canal_de_Brouage,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
32,DBPEDIA_ID/Ivelchester_and_Langport_Navigation,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
33,DBPEDIA_ID/New_Suez_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
34,DBPEDIA_ID/Ara_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
35,DBPEDIA_ID/Strömma_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
36,DBPEDIA_ID/Ligovsky_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
37,DBPEDIA_ID/North_Crimean_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
38,DBPEDIA_ID/Lagan_Canal,"Canal,Stream,BodyOfWater,Place,Location,NaturalPlace"
