,entity,classes
0,DBPEDIA_ID/Bernard_Francis_Law,"Person,Cleric,Cardinal,Agent"
1,DBPEDIA_ID/Caesar_Baronius,"Person,Cleric,Cardinal,Agent"
2,DBPEDIA_ID/John_Kemp,"Person,Cleric,Cardinal,Agent"
3,DBPEDIA_ID/Robert_Kilwardby,"Person,Cleric,Cardinal,Agent"
4,DBPEDIA_ID/Simon_Langham,"Person,Cleric,Cardinal,Agent"
5,DBPEDIA_ID/Thomas_Bourchier_(cardinal),"Person,Cleric,Cardinal,Agent"
6,DBPEDIA_ID/Enrico_Gasparri,"Person,Cleric,Cardinal,Agent"
7,DBPEDIA_ID/Enrico_Sibilia,"Person,Cleric,Cardinal,Agent"
8,DBPEDIA_ID/Lorenzo_Pucci,"Person,Cleric,Cardinal,Agent"
9,DBPEDIA_ID/William_Henry_Keeler,"Person,Cleric,Cardinal,Agent"
10,DBPEDIA_ID/Bechara_Boutros_al-Rahi,"Person,Cleric,Cardinal,Agent"
11,DBPEDIA_ID/Casimiro_Gennari,"Person,Cleric,Cardinal,Agent"
12,DBPEDIA_ID/David_Beaton,"Person,Cleric,Cardinal,Agent"
13,DBPEDIA_ID/Ennio_Antonelli,"Person,Cleric,Cardinal,Agent"
14,DBPEDIA_ID/Felix_von_Hartmann,"Person,Cleric,Cardinal,Agent"
15,DBPEDIA_ID/George_Mundelein,"Person,Cleric,Cardinal,Agent"
16,DBPEDIA_ID/Joaquim_Arcoverde_de_Albuquerque_Cavalcanti,"Person,Cleric,Cardinal,Agent"
17,DBPEDIA_ID/John_J._Glennon,"Person,Cleric,Cardinal,Agent"
18,DBPEDIA_ID/Josip_Bozanić,"Person,Cleric,Cardinal,Agent"
19,DBPEDIA_ID/Juan_Sandoval_Íñiguez,"Person,Cleric,Cardinal,Agent"
20,DBPEDIA_ID/Julien_Ries,"Person,Cleric,Cardinal,Agent"
21,DBPEDIA_ID/Julio_Terrazas_Sandoval,"Person,Cleric,Cardinal,Agent"
22,DBPEDIA_ID/Karl_Lehmann,"Person,Cleric,Cardinal,Agent"
23,DBPEDIA_ID/Lubomyr_Husar,"Person,Cleric,Cardinal,Agent"
24,DBPEDIA_ID/Marian_Jaworski,"Person,Cleric,Cardinal,Agent"
25,DBPEDIA_ID/Miguel_Obando_y_Bravo,"Person,Cleric,Cardinal,Agent"
26,DBPEDIA_ID/Nasrallah_Boutros_Sfeir,"Person,Cleric,Cardinal,Agent"
27,DBPEDIA_ID/Paul_Yoshigoro_Taguchi,"Person,Cleric,Cardinal,Agent"
28,DBPEDIA_ID/Pompeo_Aldrovandi,"Person,Cleric,Cardinal,Agent"
29,DBPEDIA_ID/Terence_Cooke,"Person,Cleric,Cardinal,Agent"
30,DBPEDIA_ID/William_Wakefield_Baum,"Person,Cleric,Cardinal,Agent"
31,DBPEDIA_ID/Aurelio_Sabattani,"Person,Cleric,Cardinal,Agent"
32,DBPEDIA_ID/František_Tomášek,"Person,Cleric,Cardinal,Agent"
33,DBPEDIA_ID/Alexandre_Renard,"Person,Cleric,Cardinal,Agent"
34,DBPEDIA_ID/Edward_Clancy_(cardinal),"Person,Cleric,Cardinal,Agent"
35,DBPEDIA_ID/Giuseppe_Albani,"Person,Cleric,Cardinal,Agent"
36,DBPEDIA_ID/Giuseppe_Sensi,"Person,Cleric,Cardinal,Agent"
37,DBPEDIA_ID/Philippe_Barbarin,"Person,Cleric,Cardinal,Agent"
38,DBPEDIA_ID/Zbigniew_Oleśnicki_(cardinal),"Person,Cleric,Cardinal,Agent"
39,DBPEDIA_ID/André-Damien-Ferdinand_Jullien,"Person,Cleric,Cardinal,Agent"
40,DBPEDIA_ID/Bartolomeo_Pacca,"Person,Cleric,Cardinal,Agent"
41,DBPEDIA_ID/Anastasio_Ballestrero,"Person,Cleric,Cardinal,Agent"
42,DBPEDIA_ID/Gilberto_Agustoni,"Person,Cleric,Cardinal,Agent"
43,DBPEDIA_ID/Giovanni_Panico,"Person,Cleric,Cardinal,Agent"
44,DBPEDIA_ID/László_Paskai,"Person,Cleric,Cardinal,Agent"
45,DBPEDIA_ID/Maurice_Michael_Otunga,"Person,Cleric,Cardinal,Agent"
46,DBPEDIA_ID/Ricardo_María_Carles_Gordó,"Person,Cleric,Cardinal,Agent"
47,DBPEDIA_ID/Javier_Lozano_Barragán,"Person,Cleric,Cardinal,Agent"
48,DBPEDIA_ID/Jean_Marcel_Honoré,"Person,Cleric,Cardinal,Agent"
49,DBPEDIA_ID/Jean_Verdier,"Person,Cleric,Cardinal,Agent"
50,DBPEDIA_ID/John_Dew_(bishop),"Person,Cleric,Cardinal,Agent"
51,DBPEDIA_ID/Joseph_Zen,"Person,Cleric,Cardinal,Agent"
52,DBPEDIA_ID/Jozef_Tomko,"Person,Cleric,Cardinal,Agent"
53,DBPEDIA_ID/Juraj_Drašković,"Person,Cleric,Cardinal,Agent"
54,DBPEDIA_ID/Ján_Chryzostom_Korec,"Person,Cleric,Cardinal,Agent"
55,DBPEDIA_ID/Luigi_Amat_di_San_Filippo_e_Sorso,"Person,Cleric,Cardinal,Agent"
56,DBPEDIA_ID/Paolo_Marella,"Person,Cleric,Cardinal,Agent"
57,DBPEDIA_ID/Pedro_da_Fonseca_(cardinal),"Person,Cleric,Cardinal,Agent"
58,"DBPEDIA_ID/Pierre_de_Foix,_le_vieux","Person,Cleric,Cardinal,Agent"
59,DBPEDIA_ID/Stanislas_Touchet,"Person,Cleric,Cardinal,Agent"
60,DBPEDIA_ID/William_Levada,"Person,Cleric,Cardinal,Agent"
61,DBPEDIA_ID/Diomede_Falconio,"Person,Cleric,Cardinal,Agent"
62,DBPEDIA_ID/Joseph_Cordeiro,"Person,Cleric,Cardinal,Agent"
63,DBPEDIA_ID/Louis-Joseph_de_Montmorency-Laval,"Person,Cleric,Cardinal,Agent"
64,DBPEDIA_ID/Filippo_Maria_Monti,"Person,Cleric,Cardinal,Agent"
