,entity,classes
0,DBPEDIA_ID/Bubblegum_Crisis,"Work,Anime,Cartoon"
1,DBPEDIA_ID/Mobile_Suit_Gundam,"Work,Anime,Cartoon"
2,DBPEDIA_ID/Mobile_Suit_Gundam_Wing,"Work,Anime,Cartoon"
3,DBPEDIA_ID/Neon_Genesis_Evangelion,"Work,Anime,Cartoon"
4,DBPEDIA_ID/Otaku_no_Video,"Work,Anime,Cartoon"
5,Robotech,"Work,Anime,Cartoon"
6,DBPEDIA_ID/Serial_Experiments_Lain,"Work,Anime,Cartoon"
7,DBPEDIA_ID/The_Big_O,"Work,Anime,Cartoon"
8,.hack//Roots,"Work,Anime,Cartoon"
9,DBPEDIA_ID/Anime_Shūkan_DX!_Mi-Pha-Pu,"Work,Anime,Cartoon"
10,Blood-C,"Work,Anime,Cartoon"
11,DBPEDIA_ID/Blood:_The_Last_Vampire,"Work,Anime,Cartoon"
12,DBPEDIA_ID/Michiko_&_Hatchin,"Work,Anime,Cartoon"
13,DBPEDIA_ID/(Blooper)_Bunny,"Work,Cartoon,HollywoodCartoon"
14,.hack//Liminality,"Work,Anime,Cartoon"
15,DBPEDIA_ID/Ace_in_the_Hole_(1942_film),"Work,Cartoon,HollywoodCartoon"
16,DBPEDIA_ID/Africa_(film),"Work,Cartoon,HollywoodCartoon"
17,DBPEDIA_ID/Aladdin_and_His_Wonderful_Lamp,"Work,Cartoon,HollywoodCartoon"
18,DBPEDIA_ID/Blue_Gender,"Work,Anime,Cartoon"
19,DBPEDIA_ID/C_(anime),"Work,Anime,Cartoon"
20,DBPEDIA_ID/Candy_Boy,"Work,Anime,Cartoon"
21,D.I.C.E.,"Work,Anime,Cartoon"
22,Daigunder,"Work,Anime,Cartoon"
23,DBPEDIA_ID/Digimon_Tamers,"Work,Anime,Cartoon"
24,DBPEDIA_ID/Discipline:_Record_of_a_Crusade,"Work,Anime,Cartoon"
25,DBPEDIA_ID/Dragon_Knight_(video_game_series),"Work,Anime,Cartoon"
26,DBPEDIA_ID/Fancy_Lala,"Work,Anime,Cartoon"
27,DBPEDIA_ID/Fate/stay_night,"Work,Anime,Cartoon"
28,DBPEDIA_ID/Father_Noah's_Ark,"Work,Cartoon,HollywoodCartoon"
29,DBPEDIA_ID/Gall_Force,"Work,Anime,Cartoon"
30,DBPEDIA_ID/Girl_Next_Door_(anime),"Work,Anime,Cartoon"
31,DBPEDIA_ID/High_Diving_Hare,"Work,Cartoon,HollywoodCartoon"
32,DBPEDIA_ID/Hyde_and_Go_Tweet,"Work,Cartoon,HollywoodCartoon"
33,DBPEDIA_ID/Ice_(anime),"Work,Anime,Cartoon"
34,DBPEDIA_ID/Iria:_Zeiram_the_Animation,"Work,Anime,Cartoon"
35,DBPEDIA_ID/Jeepers_Creepers_(1939_animated_film),"Work,Cartoon,HollywoodCartoon"
36,DBPEDIA_ID/Mezzo_DSA,"Work,Anime,Cartoon"
37,DBPEDIA_ID/Mezzo_Forte,"Work,Anime,Cartoon"
