,entity,classes
0,DBPEDIA_ID/Knaresborough_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
1,DBPEDIA_ID/Brederode_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
2,DBPEDIA_ID/Fürstenberg_Castle_(Rheindiebach),"ArchitecturalStructure,Building,Castle,Place,Location"
3,DBPEDIA_ID/Lands_of_Elliston,"ArchitecturalStructure,Building,Castle,Place,Location"
4,DBPEDIA_ID/Ostrovica_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
5,DBPEDIA_ID/Ostrovica_Fortress,"ArchitecturalStructure,Building,Castle,Place,Location"
6,DBPEDIA_ID/Waldstein_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
7,DBPEDIA_ID/Hohenzollern_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
8,DBPEDIA_ID/Château_de_Conches-en-Ouche,"ArchitecturalStructure,Building,Castle,Place,Location"
9,DBPEDIA_ID/Aberystwyth_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
10,DBPEDIA_ID/Dunbar_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
11,DBPEDIA_ID/Chepstow_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
12,DBPEDIA_ID/Château_Gaillard,"ArchitecturalStructure,Building,Castle,Place,Location"
13,Harzburg,"ArchitecturalStructure,Building,Castle,Place,Location"
14,DBPEDIA_ID/Heemstede_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
15,DBPEDIA_ID/Urquhart_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
16,DBPEDIA_ID/Kalø_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
17,DBPEDIA_ID/Prozor_Fortress,"ArchitecturalStructure,Building,Castle,Place,Location"
18,DBPEDIA_ID/Takamatsu_Castle_(Bitchu),"ArchitecturalStructure,Building,Castle,Place,Location"
19,DBPEDIA_ID/Takamatsu_Castle_(Sanuki),"ArchitecturalStructure,Building,Castle,Place,Location"
20,DBPEDIA_ID/Teylingen_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
21,DBPEDIA_ID/Zuylen_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
22,DBPEDIA_ID/Burgruine_Gallenstein,"ArchitecturalStructure,Building,Castle,Place,Location"
23,DBPEDIA_ID/Château_Rose,"ArchitecturalStructure,Building,Castle,Place,Location"
24,DBPEDIA_ID/Château_de_Lastours_(Lot),"ArchitecturalStructure,Building,Castle,Place,Location"
25,DBPEDIA_ID/Château_de_Lœwenstein,"ArchitecturalStructure,Building,Castle,Place,Location"
26,DBPEDIA_ID/Ekebyholm_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
27,DBPEDIA_ID/Fontaine-l'Évêque_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
28,DBPEDIA_ID/Burgruine_Hohenburg_auf_Rosenberg,"ArchitecturalStructure,Building,Castle,Place,Location"
29,DBPEDIA_ID/Château_Grimaldi_(Cagnes),"ArchitecturalStructure,Building,Castle,Place,Location"
30,DBPEDIA_ID/Château_de_la_Lande,"ArchitecturalStructure,Building,Castle,Place,Location"
31,DBPEDIA_ID/De_Haar_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
32,Rosenburg,"ArchitecturalStructure,Building,Castle,Place,Location"
33,DBPEDIA_ID/Schloss_Gutenberg,"ArchitecturalStructure,Building,Castle,Place,Location"
34,DBPEDIA_ID/Sidon_Sea_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
35,DBPEDIA_ID/Svaneholm_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
36,DBPEDIA_ID/Grosmont_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
37,DBPEDIA_ID/Reichenstein_Castle_(Trechtingshausen),"ArchitecturalStructure,Building,Castle,Place,Location"
38,DBPEDIA_ID/Kururi_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
39,DBPEDIA_ID/Tourbillon_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
40,DBPEDIA_ID/Aberedw_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
41,DBPEDIA_ID/Banbury_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
42,DBPEDIA_ID/Bridgnorth_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
43,DBPEDIA_ID/Bridgwater_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
44,DBPEDIA_ID/Bryn_Amlwg_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
45,DBPEDIA_ID/Buckingham_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
46,DBPEDIA_ID/Cainhoe_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
47,DBPEDIA_ID/Chalgrave_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
48,DBPEDIA_ID/Château_Rocher,"ArchitecturalStructure,Building,Castle,Place,Location"
49,DBPEDIA_ID/Château_de_Bar-sur-Seine,"ArchitecturalStructure,Building,Castle,Place,Location"
50,DBPEDIA_ID/Château_de_Bostfranchet,"ArchitecturalStructure,Building,Castle,Place,Location"
51,DBPEDIA_ID/Château_de_Castelnou,"ArchitecturalStructure,Building,Castle,Place,Location"
52,DBPEDIA_ID/Château_de_Dinan,"ArchitecturalStructure,Building,Castle,Place,Location"
53,DBPEDIA_ID/Château_de_Grégy,"ArchitecturalStructure,Building,Castle,Place,Location"
54,DBPEDIA_ID/Château_de_Guirbaden,"ArchitecturalStructure,Building,Castle,Place,Location"
55,DBPEDIA_ID/Château_de_La_Palice,"ArchitecturalStructure,Building,Castle,Place,Location"
56,DBPEDIA_ID/Château_de_Lagarde,"ArchitecturalStructure,Building,Castle,Place,Location"
57,DBPEDIA_ID/Château_de_Puymartin,"ArchitecturalStructure,Building,Castle,Place,Location"
58,DBPEDIA_ID/Château_de_Robert_le_Diable,"ArchitecturalStructure,Building,Castle,Place,Location"
59,DBPEDIA_ID/Château_de_la_Celle,"ArchitecturalStructure,Building,Castle,Place,Location"
60,DBPEDIA_ID/Château_de_la_Rochepot,"ArchitecturalStructure,Building,Castle,Place,Location"
61,DBPEDIA_ID/Fort_Senneville,"ArchitecturalStructure,Building,Castle,Place,Location"
62,DBPEDIA_ID/Imabari_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
63,DBPEDIA_ID/Kagoshima_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
64,DBPEDIA_ID/Kawagoe_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
65,DBPEDIA_ID/Komine_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
66,DBPEDIA_ID/Moorish_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
67,DBPEDIA_ID/Morioka_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
68,Nippenburg,"ArchitecturalStructure,Building,Castle,Place,Location"
69,DBPEDIA_ID/Oud_Poelgeest,"ArchitecturalStructure,Building,Castle,Place,Location"
70,DBPEDIA_ID/Palanok_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
71,DBPEDIA_ID/Sausenburg_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
72,DBPEDIA_ID/Tour_Barberousse,"ArchitecturalStructure,Building,Castle,Place,Location"
73,DBPEDIA_ID/Uwajima_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
74,DBPEDIA_ID/Castello_Piccolomini_(Capestrano),"ArchitecturalStructure,Building,Castle,Place,Location"
75,DBPEDIA_ID/Château_de_Cambiac,"ArchitecturalStructure,Building,Castle,Place,Location"
76,DBPEDIA_ID/Château_de_Gironville,"ArchitecturalStructure,Building,Castle,Place,Location"
77,DBPEDIA_ID/Château_de_Monbazillac,"ArchitecturalStructure,Building,Castle,Place,Location"
78,DBPEDIA_ID/Château_de_Trigonant,"ArchitecturalStructure,Building,Castle,Place,Location"
79,DBPEDIA_ID/Toba_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
80,DBPEDIA_ID/Burgruine_Pikeroi,"ArchitecturalStructure,Building,Castle,Place,Location"
81,DBPEDIA_ID/Cortewalle_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
82,DBPEDIA_ID/Fernelmont_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
83,DBPEDIA_ID/Gärsnäs_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
84,DBPEDIA_ID/Nurmuiža_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
85,DBPEDIA_ID/Schloss_Rosegg,"ArchitecturalStructure,Building,Castle,Place,Location"
86,DBPEDIA_ID/Tornaco_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
87,DBPEDIA_ID/Burgruine_Reifenstein,"ArchitecturalStructure,Building,Castle,Place,Location"
88,DBPEDIA_ID/Château_d'Abbadie,"ArchitecturalStructure,Building,Castle,Place,Location"
89,DBPEDIA_ID/Château_d'Arcelot,"ArchitecturalStructure,Building,Castle,Place,Location"
90,DBPEDIA_ID/Château_de_Conros,"ArchitecturalStructure,Building,Castle,Place,Location"
91,DBPEDIA_ID/Château_des_Allymes,"ArchitecturalStructure,Building,Castle,Place,Location"
92,DBPEDIA_ID/Château_du_Grand_Ringelstein,"ArchitecturalStructure,Building,Castle,Place,Location"
93,DBPEDIA_ID/Maison_forte_de_Reignac,"ArchitecturalStructure,Building,Castle,Place,Location"
94,DBPEDIA_ID/Osterburg_(Groothusen),"ArchitecturalStructure,Building,Castle,Place,Location"
95,DBPEDIA_ID/Kubota_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
96,DBPEDIA_ID/Shinjō_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
97,DBPEDIA_ID/Tredion_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
98,DBPEDIA_ID/Castle_of_Kars,"ArchitecturalStructure,Building,Castle,Place,Location"
99,DBPEDIA_ID/Château_de_Hohenbourg,"ArchitecturalStructure,Building,Castle,Place,Location"
100,DBPEDIA_ID/Akita_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
101,DBPEDIA_ID/Castle_of_Stilo,"ArchitecturalStructure,Building,Castle,Place,Location"
102,DBPEDIA_ID/Couwelaar_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
103,DBPEDIA_ID/Dysart_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
104,DBPEDIA_ID/Honjō_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
105,DBPEDIA_ID/Prandegg_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
106,DBPEDIA_ID/Fakhr-al-Din_al-Maani_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
107,DBPEDIA_ID/Burgruine_Mödling,"ArchitecturalStructure,Building,Castle,Place,Location"
108,DBPEDIA_ID/Fast_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
109,DBPEDIA_ID/Gutenfels_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
110,DBPEDIA_ID/Hardenburg_(Bad_Dürkheim),"ArchitecturalStructure,Building,Castle,Place,Location"
111,DBPEDIA_ID/Mugdock_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
112,DBPEDIA_ID/Ruine_Pflindsberg,"ArchitecturalStructure,Building,Castle,Place,Location"
113,DBPEDIA_ID/Acoz_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
114,DBPEDIA_ID/Biljoen_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
115,DBPEDIA_ID/Björksund_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
116,Bollerup,"ArchitecturalStructure,Building,Castle,Place,Location"
117,DBPEDIA_ID/Borgeby_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
118,DBPEDIA_ID/Burg_Haimburg,"ArchitecturalStructure,Building,Castle,Place,Location"
119,DBPEDIA_ID/Burgruine_Araburg,"ArchitecturalStructure,Building,Castle,Place,Location"
120,DBPEDIA_ID/Burgruine_Ortenburg,"ArchitecturalStructure,Building,Castle,Place,Location"
121,DBPEDIA_ID/Burgruine_Rauchenkatsch,"ArchitecturalStructure,Building,Castle,Place,Location"
122,DBPEDIA_ID/Burgruine_Steinschloß,"ArchitecturalStructure,Building,Castle,Place,Location"
123,DBPEDIA_ID/Castle_of_Corroy-le-Château,"ArchitecturalStructure,Building,Castle,Place,Location"
124,DBPEDIA_ID/Dave_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
125,DBPEDIA_ID/Doornenburg_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
126,DBPEDIA_ID/Duivenvoorde_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
127,DBPEDIA_ID/Ekensholm_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
128,Erstavik,"ArchitecturalStructure,Building,Castle,Place,Location"
129,DBPEDIA_ID/Faulx-les-Tombes_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
130,DBPEDIA_ID/Forchtenstein_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
131,Franzensburg,"ArchitecturalStructure,Building,Castle,Place,Location"
132,DBPEDIA_ID/Frauenburg_(castle),"ArchitecturalStructure,Building,Castle,Place,Location"
133,Gråborg,"ArchitecturalStructure,Building,Castle,Place,Location"
134,DBPEDIA_ID/Gunterstein_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
135,DBPEDIA_ID/Huis_Bergh,"ArchitecturalStructure,Building,Castle,Place,Location"
136,Hässelbyholm,"ArchitecturalStructure,Building,Castle,Place,Location"
137,DBPEDIA_ID/Högestad_Castle,"ArchitecturalStructure,Building,Castle,Place,Location"
