,entity,classes
0,DBPEDIA_ID/2001_Mars_Odyssey,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
1,DBPEDIA_ID/Adrastea_(moon),"Planet,CelestialBody,Place,Location"
2,Aldebaran,"Place,CelestialBody,Star,Location"
3,Algol,"Place,CelestialBody,Star,Location"
4,DBPEDIA_ID/Alpha_Centauri,"Place,CelestialBody,Star,Location"
5,Altair,"Place,CelestialBody,Star,Location"
6,Antares,"Place,CelestialBody,Star,Location"
7,Antlia,"Place,CelestialBody,Constellation,Location"
8,DBPEDIA_ID/Apollo_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
9,DBPEDIA_ID/Apollo_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
10,DBPEDIA_ID/Apollo_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
11,DBPEDIA_ID/Apollo_12,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
12,DBPEDIA_ID/Apollo_13,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
13,DBPEDIA_ID/Apollo_14,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
14,DBPEDIA_ID/Apollo_15,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
15,DBPEDIA_ID/Apollo_16,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
16,DBPEDIA_ID/Apollo_17,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
17,DBPEDIA_ID/Apollo_7,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
18,DBPEDIA_ID/Apollo_8,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
19,DBPEDIA_ID/Apollo_9,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
20,Apus,"Place,CelestialBody,Constellation,Location"
21,DBPEDIA_ID/Aquarius_(constellation),"Place,CelestialBody,Constellation,Location"
22,DBPEDIA_ID/Ara_(constellation),"Place,CelestialBody,Constellation,Location"
23,Arcturus,"Place,CelestialBody,Star,Location"
24,DBPEDIA_ID/Aries_(constellation),"Place,CelestialBody,Constellation,Location"
25,DBPEDIA_ID/Barnard's_Star,"Place,CelestialBody,Star,Location"
26,Boötes,"Place,CelestialBody,Constellation,Location"
27,Caelum,"Place,CelestialBody,Constellation,Location"
28,Camelopardalis,"Place,CelestialBody,Constellation,Location"
29,DBPEDIA_ID/Canes_Venatici,"Place,CelestialBody,Constellation,Location"
30,DBPEDIA_ID/Canis_Major,"Place,CelestialBody,Constellation,Location"
31,DBPEDIA_ID/Canis_Minor,"Place,CelestialBody,Constellation,Location"
32,Capricornus,"Place,CelestialBody,Constellation,Location"
33,DBPEDIA_ID/Carina_(constellation),"Place,CelestialBody,Constellation,Location"
34,DBPEDIA_ID/Carme_(moon),"Planet,CelestialBody,Place,Location"
35,Centaurus,"Place,CelestialBody,Constellation,Location"
36,Cetus,"Place,CelestialBody,Constellation,Location"
37,Chamaeleon,"Place,CelestialBody,Constellation,Location"
38,DBPEDIA_ID/Corona_Australis,"Place,CelestialBody,Constellation,Location"
39,DBPEDIA_ID/Corona_Borealis,"Place,CelestialBody,Constellation,Location"
40,Crux,"Place,CelestialBody,Constellation,Location"
41,DBPEDIA_ID/Cygnus_(constellation),"Place,CelestialBody,Constellation,Location"
42,Delphinus,"Place,CelestialBody,Constellation,Location"
43,Dorado,"Place,CelestialBody,Constellation,Location"
44,Earth,"Planet,CelestialBody,Place,Location"
45,DBPEDIA_ID/Epsilon_Ursae_Majoris,"Place,CelestialBody,Star,Location"
46,Equuleus,"Place,CelestialBody,Constellation,Location"
47,Fornax,"Place,CelestialBody,Constellation,Location"
48,DBPEDIA_ID/Galileo_(spacecraft),"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
49,DBPEDIA_ID/Gemini_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
50,DBPEDIA_ID/Grus_(constellation),"Place,CelestialBody,Constellation,Location"
51,Hydrus,"Place,CelestialBody,Constellation,Location"
52,DBPEDIA_ID/Leo_(constellation),"Place,CelestialBody,Constellation,Location"
53,DBPEDIA_ID/Lepus_(constellation),"Place,CelestialBody,Constellation,Location"
54,DBPEDIA_ID/Libra_(constellation),"Place,CelestialBody,Constellation,Location"
55,DBPEDIA_ID/Lupus_(constellation),"Place,CelestialBody,Constellation,Location"
56,Lyra,"Place,CelestialBody,Constellation,Location"
57,DBPEDIA_ID/Lysithea_(moon),"Planet,CelestialBody,Place,Location"
58,DBPEDIA_ID/Mariner_4,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
59,DBPEDIA_ID/Mercury_(planet),"Planet,CelestialBody,Place,Location"
60,Microscopium,"Place,CelestialBody,Constellation,Location"
61,Mira,"Place,CelestialBody,Star,Location"
62,DBPEDIA_ID/Miranda_(moon),"Planet,CelestialBody,Place,Location"
63,Moon,"Planet,CelestialBody,Place,Location"
64,DBPEDIA_ID/Naiad_(moon),"Planet,CelestialBody,Place,Location"
65,DBPEDIA_ID/Nereid_(moon),"Planet,CelestialBody,Place,Location"
66,Octans,"Place,CelestialBody,Constellation,Location"
67,Ophiuchus,"Place,CelestialBody,Constellation,Location"
68,DBPEDIA_ID/Pioneer_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
69,DBPEDIA_ID/Pisces_(constellation),"Place,CelestialBody,Constellation,Location"
70,DBPEDIA_ID/Piscis_Austrinus,"Place,CelestialBody,Constellation,Location"
71,Polaris,"Place,CelestialBody,Star,Location"
72,Procyon,"Place,CelestialBody,Star,Location"
73,Puppis,"Place,CelestialBody,Constellation,Location"
74,Pyxis,"Place,CelestialBody,Constellation,Location"
75,Rigel,"Place,CelestialBody,Star,Location"
76,STS-51-F,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
77,Sagitta,"Place,CelestialBody,Constellation,Location"
78,DBPEDIA_ID/Sagittarius_(constellation),"Place,CelestialBody,Constellation,Location"
79,Scorpius,"Place,CelestialBody,Constellation,Location"
80,Serpens,"Place,CelestialBody,Constellation,Location"
81,Sextans,"Place,CelestialBody,Constellation,Location"
82,Sirius,"Place,CelestialBody,Star,Location"
83,DBPEDIA_ID/Sputnik_1,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
84,DBPEDIA_ID/Luna_10,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
85,DBPEDIA_ID/Luna_11,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
86,DBPEDIA_ID/Luna_12,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
87,DBPEDIA_ID/Luna_13,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
88,DBPEDIA_ID/Luna_14,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
89,DBPEDIA_ID/Luna_15,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
