,entity,classes
0,DBPEDIA_ID/Theobald_von_Bethmann-Hollweg,"Chancellor,Politician,Agent,Person"
1,DBPEDIA_ID/Bernhard_von_Bülow,"Chancellor,Politician,Agent,Person"
2,DBPEDIA_ID/Hermann_Müller_(politician),"Chancellor,Politician,Agent,Person"
3,DBPEDIA_ID/Lutz_Graf_Schwerin_von_Krosigk,"Chancellor,Politician,Agent,Person"
4,DBPEDIA_ID/Michael_Mayr,"Chancellor,Politician,Agent,Person"
5,DBPEDIA_ID/Otto_of_Stolberg-Wernigerode,"Chancellor,Politician,Agent,Person"
6,DBPEDIA_ID/Maximilian_Grabner,"Chancellor,Politician,Agent,Person"
7,DBPEDIA_ID/Peter_Thorneycroft,"Chancellor,Politician,Agent,Person"
8,DBPEDIA_ID/Kurt_Daluege,"Chancellor,Politician,Agent,Person"
9,DBPEDIA_ID/André_Simonazzi,"Chancellor,Politician,Agent,Person"
10,DBPEDIA_ID/Samuel_David_Mendelssohn,"Chancellor,Politician,Agent,Person"
11,DBPEDIA_ID/Gustav_Stresemann,"Chancellor,Politician,Agent,Person"
12,DBPEDIA_ID/Lê_Văn_Thịnh,"Chancellor,Politician,Agent,Person"
13,DBPEDIA_ID/Lý_Đạo_Thành,"Chancellor,Politician,Agent,Person"
14,DBPEDIA_ID/Wilhelm_Stuckart,"Chancellor,Politician,Agent,Person"
15,DBPEDIA_ID/Franz_von_Papen,"Chancellor,Politician,Agent,Person"
16,DBPEDIA_ID/Anthony_Barber,"Chancellor,Politician,Agent,Person"
17,DBPEDIA_ID/Yang_Tinghe,"Chancellor,Politician,Agent,Person"
18,DBPEDIA_ID/Alfons_Gorbach,"Chancellor,Politician,Agent,Person"
19,"DBPEDIA_ID/John_Anderson,_1st_Viscount_Waverley","Chancellor,Politician,Agent,Person"
20,DBPEDIA_ID/Arpad_Wigand,"Chancellor,Politician,Agent,Person"
21,DBPEDIA_ID/Kurt_Lischka,"Chancellor,Politician,Agent,Person"
22,DBPEDIA_ID/Hans_Luther,"Chancellor,Politician,Agent,Person"
23,DBPEDIA_ID/Wilhelm_Cuno,"Chancellor,Politician,Agent,Person"
24,"DBPEDIA_ID/Derick_Heathcoat-Amory,_1st_Viscount_Amory","Chancellor,Politician,Agent,Person"
25,DBPEDIA_ID/Fred_Sinowatz,"Chancellor,Politician,Agent,Person"
26,DBPEDIA_ID/Ye_Xianggao,"Chancellor,Politician,Agent,Person"
27,DBPEDIA_ID/Prince_Maximilian_of_Baden,"Chancellor,Politician,Agent,Person"
