,entity,classes
0,DBPEDIA_ID/Pinconning_cheese,"Food,Cheese"
1,DBPEDIA_ID/Hoop_cheese,"Food,Cheese"
2,DBPEDIA_ID/Tyrolean_grey_cheese,"Food,Cheese"
3,DBPEDIA_ID/Castelrosso_cheese,"Food,Cheese"
4,DBPEDIA_ID/Glyde_Farm_Produce,"Food,Cheese"
5,DBPEDIA_ID/Queso_blanco,"Food,Cheese"
6,Grinzola,"Food,Cheese"
7,DBPEDIA_ID/Beacon_Fell_Traditional_Lancashire_Cheese,"Food,Cheese"
8,DBPEDIA_ID/Red_Hawk_cheese,"Food,Cheese"
9,DBPEDIA_ID/St_Tola,"Food,Cheese"
10,DBPEDIA_ID/Whitestone_Cheese,"Food,Cheese"
11,Primost,"Food,Cheese"
12,DBPEDIA_ID/Coleraine_Cheddar,"Food,Cheese"
13,Prästost,"Food,Cheese"
14,Turoš,"Food,Cheese"
15,DBPEDIA_ID/Rushan_cheese,"Food,Cheese"
16,DBPEDIA_ID/Coolea_Cheese,"Food,Cheese"
17,DBPEDIA_ID/Saint_Agur_Blue,"Food,Cheese"
18,Tupí,"Food,Cheese"
19,DBPEDIA_ID/Béal_Organic_Cheese,"Food,Cheese"
20,DBPEDIA_ID/Cahill's_Farm_Cheese,"Food,Cheese"
21,DBPEDIA_ID/Gleann_Gabhra,"Food,Cheese"
22,DBPEDIA_ID/Surfing_Goat_Dairy,"Food,Cheese"
23,DBPEDIA_ID/Burren_Gold,"Food,Cheese"
24,DBPEDIA_ID/Chèvre_noir,"Food,Cheese"
25,DBPEDIA_ID/Sakura_cheese,"Food,Cheese"
26,Dolcelatte,"Food,Cheese"
27,Caciotta,"Food,Cheese"
28,DBPEDIA_ID/Cornish_Brie,"Food,Cheese"
29,DBPEDIA_ID/Teleme_cheese,"Food,Cheese"
30,DBPEDIA_ID/Ardrahan_Farmhouse_Cheese,"Food,Cheese"
31,DBPEDIA_ID/Cooleeney_Farmhouse_Cheese,"Food,Cheese"
32,DBPEDIA_ID/Gubbeen_Farmhouse_Cheese,"Food,Cheese"
33,DBPEDIA_ID/Cervelle_de_canut,"Food,Cheese"
34,DBPEDIA_ID/Itche_Bai,"Food,Cheese"
35,Morlacco,"Food,Cheese"
36,DBPEDIA_ID/Guayanés_cheese,"Food,Cheese"
37,Parenica,"Food,Cheese"
38,DBPEDIA_ID/Jibneh_Arabieh,"Food,Cheese"
39,DBPEDIA_ID/Le_Gré_des_Champs,"Food,Cheese"
40,DBPEDIA_ID/Bonne_Bouche,"Food,Cheese"
41,DBPEDIA_ID/Kunik_cheese,"Food,Cheese"
42,DBPEDIA_ID/Cup_cheese,"Food,Cheese"
43,DBPEDIA_ID/Castelo_Branco_cheese,"Food,Cheese"
44,DBPEDIA_ID/Cheese_mite,"Food,Cheese"
45,Obatzda,"Food,Cheese"
46,DBPEDIA_ID/Chevington_cheese,"Food,Cheese"
47,DBPEDIA_ID/Añejo_cheese,"Food,Cheese"
48,DBPEDIA_ID/Pecorino_Toscano,"Food,Cheese"
49,DBPEDIA_ID/Bouq_Émissaire,"Food,Cheese"
50,DBPEDIA_ID/Bokmakiri_cheese,"Food,Cheese"
51,DBPEDIA_ID/Smoked_cheese,"Food,Cheese"
52,DBPEDIA_ID/Fine_Fettle_Yorkshire,"Food,Cheese"
53,DBPEDIA_ID/Samsø_cheese,"Food,Cheese"
54,Brouère,"Food,Cheese"
55,DBPEDIA_ID/Carrigaline_Farmhouse_Cheese,"Food,Cheese"
