,entity,classes
0,DBPEDIA_ID/Art_Smith_(chef),"Chef,Person,Agent"
1,DBPEDIA_ID/James_Beard,"Chef,Person,Agent"
2,DBPEDIA_ID/Julia_Child,"Chef,Person,Agent"
3,DBPEDIA_ID/Antoine_Westermann,"Chef,Person,Agent"
4,DBPEDIA_ID/Caesar_Cardini,"Chef,Person,Agent"
5,DBPEDIA_ID/Daniel_Boulud,"Chef,Person,Agent"
6,DBPEDIA_ID/Fabio_Viviani_(chef),"Chef,Person,Agent"
7,DBPEDIA_ID/Jacques_Pépin,"Chef,Person,Agent"
8,DBPEDIA_ID/Juan-Carlos_Cruz,"Chef,Person,Agent"
9,DBPEDIA_ID/Kent_Rathbun,"Chef,Person,Agent"
10,DBPEDIA_ID/Kevin_Rathbun,"Chef,Person,Agent"
11,DBPEDIA_ID/Priscilla_Martel,"Chef,Person,Agent"
12,DBPEDIA_ID/Salvatore_Cuomo,"Chef,Person,Agent"
13,DBPEDIA_ID/Jennifer_Yee,"Chef,Person,Agent"
14,DBPEDIA_ID/Bob_Blumer,"Chef,Person,Agent"
15,DBPEDIA_ID/Brian_Hill_(chef),"Chef,Person,Agent"
16,DBPEDIA_ID/Isa_Chandra_Moskowitz,"Chef,Person,Agent"
17,DBPEDIA_ID/Joseph_Johnson_(chef),"Chef,Person,Agent"
18,DBPEDIA_ID/Kaysie_Lackey,"Chef,Person,Agent"
19,DBPEDIA_ID/Marco_Pierre_White,"Chef,Person,Agent"
20,DBPEDIA_ID/Michael_Deane,"Chef,Person,Agent"
21,DBPEDIA_ID/Ming_Tsai,"Chef,Person,Agent"
22,DBPEDIA_ID/Paula_Deen,"Chef,Person,Agent"
23,DBPEDIA_ID/Peter_Gordon_(chef),"Chef,Person,Agent"
24,DBPEDIA_ID/Robin_Miller_(chef),"Chef,Person,Agent"
25,"DBPEDIA_ID/Andrew_Anderson,_Lord_Anderson","Chef,Person,Agent"
26,DBPEDIA_ID/Jordi_Cruz,"Chef,Person,Agent"
27,DBPEDIA_ID/Bobby_Flay,"Chef,Person,Agent"
28,DBPEDIA_ID/Nita_Mehta,"Chef,Person,Agent"
29,DBPEDIA_ID/Giada_De_Laurentiis,"Chef,Person,Agent"
30,DBPEDIA_ID/Édouard_Loubet,"Chef,Person,Agent"
31,DBPEDIA_ID/Sara_Moulton,"Chef,Person,Agent"
32,DBPEDIA_ID/Normand_Laprise,"Chef,Person,Agent"
33,DBPEDIA_ID/Robbie_Millar,"Chef,Person,Agent"
34,DBPEDIA_ID/Alain_Roux,"Chef,Person,Agent"
35,DBPEDIA_ID/Charles_Ranhofer,"Chef,Person,Agent"
36,DBPEDIA_ID/Jean-Michel_Lorain,"Chef,Person,Agent"
37,DBPEDIA_ID/Lisa_Allen,"Chef,Person,Agent"
38,DBPEDIA_ID/Paul_Bartolotta,"Chef,Person,Agent"
39,DBPEDIA_ID/Josep_Lladonosa_i_Giró,"Chef,Person,Agent"
40,DBPEDIA_ID/Melissa_d'Arabian,"Chef,Person,Agent"
41,DBPEDIA_ID/Gianfranco_Chiarini,"Chef,Person,Agent"
42,DBPEDIA_ID/Paul_Bocuse,"Chef,Person,Agent"
43,DBPEDIA_ID/Ismail_Tosun,"Chef,Person,Agent"
44,DBPEDIA_ID/Graham_Kerr,"Chef,Person,Agent"
45,DBPEDIA_ID/Ben_O'Donoghue,"Chef,Person,Agent"
46,DBPEDIA_ID/Ching_He_Huang,"Chef,Person,Agent"
47,DBPEDIA_ID/Jean_Joho,"Chef,Person,Agent"
48,DBPEDIA_ID/Lynn_Crawford,"Chef,Person,Agent"
49,DBPEDIA_ID/Manju_Malhi,"Chef,Person,Agent"
50,DBPEDIA_ID/Tanya_Gyani,"Chef,Person,Agent"
51,DBPEDIA_ID/Tiffani_Faison,"Chef,Person,Agent"
52,DBPEDIA_ID/Tom_Douglas,"Chef,Person,Agent"
53,DBPEDIA_ID/John_Folse,"Chef,Person,Agent"
54,DBPEDIA_ID/Nancy_Lam,"Chef,Person,Agent"
55,DBPEDIA_ID/Masa_Takayama,"Chef,Person,Agent"
56,DBPEDIA_ID/David_Shalleck,"Chef,Person,Agent"
57,DBPEDIA_ID/John_Mitzewich,"Chef,Person,Agent"
58,DBPEDIA_ID/Tiffany_Derry,"Chef,Person,Agent"
59,DBPEDIA_ID/Christophe_Aribert,"Chef,Person,Agent"
60,DBPEDIA_ID/Chuck_Hughes_(chef),"Chef,Person,Agent"
61,DBPEDIA_ID/Devin_Alexander,"Chef,Person,Agent"
62,DBPEDIA_ID/Kelly_Liken,"Chef,Person,Agent"
63,DBPEDIA_ID/Spike_Mendelsohn,"Chef,Person,Agent"
64,DBPEDIA_ID/Whitney_Miller,"Chef,Person,Agent"
65,DBPEDIA_ID/Roger_Vergé,"Chef,Person,Agent"
66,DBPEDIA_ID/Aktar_Islam,"Chef,Person,Agent"
67,DBPEDIA_ID/Andy_Ricker,"Chef,Person,Agent"
68,DBPEDIA_ID/Björn_Frantzén,"Chef,Person,Agent"
69,DBPEDIA_ID/Chef_Jolly,"Chef,Person,Agent"
70,DBPEDIA_ID/Emmanuel_Renaut,"Chef,Person,Agent"
71,DBPEDIA_ID/Frédéric_Anton,"Chef,Person,Agent"
72,DBPEDIA_ID/Georges_Blanc_(chef),"Chef,Person,Agent"
73,DBPEDIA_ID/Gilles_Goujon,"Chef,Person,Agent"
74,DBPEDIA_ID/Guy_Martin_(chef),"Chef,Person,Agent"
75,DBPEDIA_ID/Gérald_Passédat,"Chef,Person,Agent"
76,DBPEDIA_ID/Hector_Jimenez-Bravo,"Chef,Person,Agent"
77,DBPEDIA_ID/Henry_Salgado,"Chef,Person,Agent"
78,DBPEDIA_ID/Jaden_Hair,"Chef,Person,Agent"
79,DBPEDIA_ID/Jean-François_Piège,"Chef,Person,Agent"
80,DBPEDIA_ID/Jean_Sulpice,"Chef,Person,Agent"
81,DBPEDIA_ID/Luca_Manfè,"Chef,Person,Agent"
82,DBPEDIA_ID/Marc_Meneau,"Chef,Person,Agent"
83,DBPEDIA_ID/Matthew_Kenney,"Chef,Person,Agent"
84,DBPEDIA_ID/Mehboob_Khan_(chef),"Chef,Person,Agent"
85,DBPEDIA_ID/Romy_Gill,"Chef,Person,Agent"
86,DBPEDIA_ID/Yves_Camdeborde,"Chef,Person,Agent"
87,DBPEDIA_ID/Yves_Thuriès,"Chef,Person,Agent"
88,DBPEDIA_ID/Éric_Fréchon,"Chef,Person,Agent"
89,DBPEDIA_ID/Tanya_Holland,"Chef,Person,Agent"
90,DBPEDIA_ID/Andrea_Apuzzo,"Chef,Person,Agent"
91,DBPEDIA_ID/Ingrid_Hoffmann,"Chef,Person,Agent"
92,DBPEDIA_ID/Aarti_Sequeira,"Chef,Person,Agent"
93,DBPEDIA_ID/Juan_Mari_Arzak,"Chef,Person,Agent"
94,DBPEDIA_ID/Ron_Siegel,"Chef,Person,Agent"
95,DBPEDIA_ID/Lillian_Harris_Dean,"Chef,Person,Agent"
96,DBPEDIA_ID/Shane_Lyons,"Chef,Person,Agent"
97,DBPEDIA_ID/Rokusaburo_Michiba,"Chef,Person,Agent"
98,DBPEDIA_ID/Dominick_Cerrone,"Chef,Person,Agent"
99,DBPEDIA_ID/Dan_Barber,"Chef,Person,Agent"
100,DBPEDIA_ID/Adolphe_Dugléré,"Chef,Person,Agent"
101,DBPEDIA_ID/Sam_Talbot,"Chef,Person,Agent"
102,DBPEDIA_ID/Saransh_Goila,"Chef,Person,Agent"
103,DBPEDIA_ID/Roberto_Treviño,"Chef,Person,Agent"
104,DBPEDIA_ID/Michael_Voltaggio,"Chef,Person,Agent"
105,DBPEDIA_ID/Cindy_Brennan,"Chef,Person,Agent"
