,entity,classes
0,4-Phenyl-4-(1-piperidinyl)cyclohexanol,"ChemicalSubstance,ChemicalCompound"
1,Acetylene,"ChemicalSubstance,ChemicalCompound"
2,DBPEDIA_ID/Adenosine_triphosphate,"ChemicalSubstance,ChemicalCompound"
3,Agate,"ChemicalSubstance,Mineral"
4,DBPEDIA_ID/Alpha-Ketoglutaric_acid,"ChemicalSubstance,ChemicalCompound"
5,Amazonite,"ChemicalSubstance,Mineral"
6,Amblygonite,"ChemicalSubstance,Mineral"
7,Amethyst,"ChemicalSubstance,Mineral"
8,Amoxicillin,"ChemicalSubstance,Drug"
9,Amphetamine,"ChemicalSubstance,Drug"
10,Ampicillin,"ChemicalSubstance,Drug"
11,Amygdalin,"ChemicalSubstance,ChemicalCompound"
12,DBPEDIA_ID/Amyl_nitrite,"ChemicalSubstance,ChemicalCompound"
13,Analcime,"ChemicalSubstance,Mineral"
14,DBPEDIA_ID/Ascorbic_acid,"ChemicalSubstance,ChemicalCompound"
15,Aspartame,"ChemicalSubstance,ChemicalCompound"
16,Aspirin,"ChemicalSubstance,Drug"
17,DBPEDIA_ID/BCG_vaccine,"ChemicalSubstance,Drug"
18,Bakelite,"ChemicalSubstance,ChemicalCompound"
19,DBPEDIA_ID/Benzoic_acid,"ChemicalSubstance,ChemicalCompound"
20,Beryl,"ChemicalSubstance,Mineral"
21,Bicarbonate,"ChemicalSubstance,ChemicalCompound"
22,Biotite,"ChemicalSubstance,Mineral"
23,DBPEDIA_ID/Boron_nitride,"ChemicalSubstance,ChemicalCompound"
24,Caffeine,"ChemicalSubstance,Drug"
25,Carbamazepine,"ChemicalSubstance,Drug"
26,Carbonate,"ChemicalSubstance,ChemicalCompound"
27,Cellulose,"ChemicalSubstance,ChemicalCompound"
28,Chloramphenicol,"ChemicalSubstance,Drug"
29,Cholesterol,"ChemicalSubstance,ChemicalCompound"
30,Ciprofloxacin,"ChemicalSubstance,Drug"
31,Cocaine,"ChemicalSubstance,Drug"
32,Corundum,"ChemicalSubstance,Mineral"
33,Cyanide,"ChemicalSubstance,ChemicalCompound"
34,DBPEDIA_ID/Cyclic_adenosine_monophosphate,"ChemicalSubstance,ChemicalCompound"
35,Cytosine,"ChemicalSubstance,ChemicalCompound"
36,DDT,"ChemicalSubstance,ChemicalCompound"
37,Dehydroepiandrosterone,"ChemicalSubstance,Drug"
38,Diamond,"ChemicalSubstance,Mineral"
39,Emerald,"ChemicalSubstance,Mineral"
40,Epinephrine,"ChemicalSubstance,Drug"
41,Erythromycin,"ChemicalSubstance,Drug"
42,Ethanol,"ChemicalSubstance,ChemicalCompound"
43,Ethylene,"ChemicalSubstance,ChemicalCompound"
44,Flunitrazepam,"ChemicalSubstance,Drug"
45,DBPEDIA_ID/Gamma-Hydroxybutyric_acid,"ChemicalSubstance,Drug"
46,Glucose,"ChemicalSubstance,ChemicalCompound"
47,Glycine,"ChemicalSubstance,ChemicalCompound"
48,Graphite,"ChemicalSubstance,Mineral"
49,Guanine,"ChemicalSubstance,ChemicalCompound"
50,Guanosine,"ChemicalSubstance,ChemicalCompound"
51,Gypsum,"ChemicalSubstance,Mineral"
52,DBPEDIA_ID/Heavy_water,"ChemicalSubstance,ChemicalCompound"
53,Hematite,"ChemicalSubstance,Mineral"
54,Heroin,"ChemicalSubstance,Drug"
55,Hydrocodone,"ChemicalSubstance,Drug"
56,DBPEDIA_ID/Hydrogen_peroxide,"ChemicalSubstance,ChemicalCompound"
57,Hydroxide,"ChemicalSubstance,ChemicalCompound"
58,Kainite,"ChemicalSubstance,Mineral"
59,Kamacite,"ChemicalSubstance,Mineral"
60,Kaolinite,"ChemicalSubstance,Mineral"
61,Kernite,"ChemicalSubstance,Mineral"
62,Ketamine,"ChemicalSubstance,Drug"
63,Ketoprofen,"ChemicalSubstance,Drug"
64,Kevlar,"ChemicalSubstance,ChemicalCompound"
65,Kyanite,"ChemicalSubstance,Mineral"
66,Lactose,"ChemicalSubstance,ChemicalCompound"
67,DBPEDIA_ID/Lithium_carbonate,"ChemicalSubstance,ChemicalCompound"
68,DBPEDIA_ID/Lithium_citrate,"ChemicalSubstance,ChemicalCompound"
69,Lonsdaleite,"ChemicalSubstance,Mineral"
70,Lycopene,"ChemicalSubstance,ChemicalCompound"
71,DBPEDIA_ID/Lysergic_acid_diethylamide,"ChemicalSubstance,Drug"
72,MDMA,"ChemicalSubstance,Drug"
73,Methadone,"ChemicalSubstance,Drug"
74,Methanol,"ChemicalSubstance,ChemicalCompound"
75,Mica,"ChemicalSubstance,Mineral"
76,Modafinil,"ChemicalSubstance,Drug"
77,Morphine,"ChemicalSubstance,Drug"
78,Muscovite,"ChemicalSubstance,Mineral"
79,"N,N-Dimethyltryptamine","ChemicalSubstance,Drug"
80,Nicotinamide,"ChemicalSubstance,ChemicalCompound"
81,Nitrate,"ChemicalSubstance,ChemicalCompound"
82,DBPEDIA_ID/Nitric_acid,"ChemicalSubstance,ChemicalCompound"
83,Nitroglycerin,"ChemicalSubstance,ChemicalCompound"
84,DBPEDIA_ID/Nitronium_ion,"ChemicalSubstance,ChemicalCompound"
85,Obsidian,"ChemicalSubstance,Mineral"
86,Oxycodone,"ChemicalSubstance,Drug"
87,Ozone,"ChemicalSubstance,ChemicalCompound"
88,PCAA,"ChemicalSubstance,ChemicalCompound"
89,PCHP,"ChemicalSubstance,ChemicalCompound"
90,Pearl,"ChemicalSubstance,Mineral"
91,Penicillin,"ChemicalSubstance,Drug"
92,Phencyclidine,"ChemicalSubstance,Drug"
93,Phenol,"ChemicalSubstance,ChemicalCompound"
94,Phenothiazine,"ChemicalSubstance,ChemicalCompound"
95,Phosphate,"ChemicalSubstance,ChemicalCompound"
96,Piperidine,"ChemicalSubstance,ChemicalCompound"
97,DBPEDIA_ID/Polyvinyl_chloride,"ChemicalSubstance,ChemicalCompound"
98,Propane,"ChemicalSubstance,ChemicalCompound"
99,Purine,"ChemicalSubstance,ChemicalCompound"
100,Pyridine,"ChemicalSubstance,ChemicalCompound"
101,Pyrimidine,"ChemicalSubstance,ChemicalCompound"
102,Quartz,"ChemicalSubstance,Mineral"
103,Quinine,"ChemicalSubstance,Drug"
104,RDX,"ChemicalSubstance,ChemicalCompound"
105,DBPEDIA_ID/Radon_difluoride,"ChemicalSubstance,ChemicalCompound"
106,Riboflavin,"ChemicalSubstance,ChemicalCompound"
107,DBPEDIA_ID/Salicylic_acid,"ChemicalSubstance,ChemicalCompound"
108,Selenocysteine,"ChemicalSubstance,ChemicalCompound"
109,Serotonin,"ChemicalSubstance,ChemicalCompound"
