,entity,classes
0,Asser,"Person,Cleric,ChristianBishop,Agent"
1,DBPEDIA_ID/Augustine_of_Canterbury,"Person,Cleric,ChristianBishop,Agent"
2,DBPEDIA_ID/Bernard_of_Kilwinning,"Person,Cleric,ChristianBishop,Agent"
3,Damianus,"Person,Cleric,ChristianBishop,Agent"
4,DBPEDIA_ID/Herman_(Swaiko),"Person,Cleric,ChristianBishop,Agent"
5,DBPEDIA_ID/Herman_(bishop),"Person,Cleric,ChristianBishop,Agent"
6,DBPEDIA_ID/Nicholas_of_Arbroath,"Person,Cleric,ChristianBishop,Agent"
7,DBPEDIA_ID/Robert_II_(bishop_of_Ross),"Person,Cleric,ChristianBishop,Agent"
8,DBPEDIA_ID/Robert_of_Bath,"Person,Cleric,ChristianBishop,Agent"
9,DBPEDIA_ID/Roger_(larderer),"Person,Cleric,ChristianBishop,Agent"
10,DBPEDIA_ID/Roger_of_Worcester,"Person,Cleric,ChristianBishop,Agent"
11,DBPEDIA_ID/Simon_of_Worcester,"Person,Cleric,ChristianBishop,Agent"
12,DBPEDIA_ID/Tobias_(bishop),"Person,Cleric,ChristianBishop,Agent"
13,Absalon,"Person,Cleric,ChristianBishop,Agent"
14,Ambrose,"Person,Cleric,ChristianBishop,Agent"
15,DBPEDIA_ID/Antipope_Boniface_VII,"Person,Cleric,ChristianBishop,Agent"
16,DBPEDIA_ID/Antipope_John_XXIII,"Person,Cleric,ChristianBishop,Agent"
17,DBPEDIA_ID/Augustine_of_Hippo,"Person,Cleric,ChristianBishop,Agent"
18,DBPEDIA_ID/Denis_Auguste_Affre,"Person,Cleric,ChristianBishop,Agent"
19,Dunstan,"Person,Cleric,ChristianBishop,Agent"
20,DBPEDIA_ID/Ealdred_(archbishop_of_York),"Person,Cleric,ChristianBishop,Agent"
21,DBPEDIA_ID/George_Abbot_(bishop),"Person,Cleric,ChristianBishop,Agent"
22,DBPEDIA_ID/George_Fox,"Person,Cleric,ChristianBishop,Agent"
23,DBPEDIA_ID/Gerard_Manley_Hopkins,"Person,Cleric,ChristianBishop,Agent"
24,Justus,"Person,Cleric,ChristianBishop,Agent"
25,DBPEDIA_ID/Lancelot_Andrewes,"Person,Cleric,ChristianBishop,Agent"
26,DBPEDIA_ID/Laurence_of_Canterbury,"Person,Cleric,ChristianBishop,Agent"
27,DBPEDIA_ID/Matthew_the_Apostle,"Person,Cleric,ChristianBishop,Agent"
28,Mellitus,"Person,Cleric,ChristianBishop,Agent"
29,DBPEDIA_ID/Mychal_Judge,"Person,Cleric,ChristianBishop,Agent"
30,DBPEDIA_ID/Paul_the_Apostle,"Person,Cleric,ChristianBishop,Agent"
31,DBPEDIA_ID/Robert_Lowth,"Person,Cleric,ChristianBishop,Agent"
32,DBPEDIA_ID/Ælfheah_of_Canterbury,"Person,Cleric,ChristianBishop,Agent"
33,DBPEDIA_ID/Archibald_Tait,"Person,Cleric,ChristianBishop,Agent"
34,Athelm,"Person,Cleric,ChristianBishop,Agent"
35,DBPEDIA_ID/Charles_Blomfield,"Person,Cleric,ChristianBishop,Agent"
36,DBPEDIA_ID/Charles_Longley,"Person,Cleric,ChristianBishop,Agent"
37,DBPEDIA_ID/Charles_Manners-Sutton,"Person,Cleric,ChristianBishop,Agent"
38,DBPEDIA_ID/Edmund_Bonner,"Person,Cleric,ChristianBishop,Agent"
39,DBPEDIA_ID/Edmund_Grindal,"Person,Cleric,ChristianBishop,Agent"
40,DBPEDIA_ID/Frederick_Temple,"Person,Cleric,ChristianBishop,Agent"
41,DBPEDIA_ID/Gilbert_Sheldon,"Person,Cleric,ChristianBishop,Agent"
42,DBPEDIA_ID/Hubert_Walter,"Person,Cleric,ChristianBishop,Agent"
43,DBPEDIA_ID/Hugh_de_Balsham,"Person,Cleric,ChristianBishop,Agent"
44,DBPEDIA_ID/John_Colenso,"Person,Cleric,ChristianBishop,Agent"
45,DBPEDIA_ID/John_Earle_(bishop),"Person,Cleric,ChristianBishop,Agent"
46,DBPEDIA_ID/John_Peckham,"Person,Cleric,ChristianBishop,Agent"
47,DBPEDIA_ID/John_Potter_(bishop),"Person,Cleric,ChristianBishop,Agent"
48,DBPEDIA_ID/John_Sumner_(bishop),"Person,Cleric,ChristianBishop,Agent"
