,entity,classes
0,"DBPEDIA_ID/Kansas_City,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
1,"DBPEDIA_ID/Aberdeen,_South_Dakota","City,Settlement,Place,Location,PopulatedPlace"
2,"DBPEDIA_ID/Albion,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
3,"DBPEDIA_ID/Alexandria,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
4,"DBPEDIA_ID/Alexandria,_Louisiana","City,Settlement,Place,Location,PopulatedPlace"
5,Algiers,"City,Settlement,Place,Location,PopulatedPlace"
6,"DBPEDIA_ID/Ames,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
7,"DBPEDIA_ID/Andersonville,_Georgia","City,Settlement,Place,Location,PopulatedPlace"
8,"DBPEDIA_ID/Ann_Arbor,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
9,"DBPEDIA_ID/Astoria,_Oregon","City,Settlement,Place,Location,PopulatedPlace"
10,Atlanta,"City,Settlement,Place,Location,PopulatedPlace"
11,"DBPEDIA_ID/Austin,_Texas","City,Settlement,Place,Location,PopulatedPlace"
12,"DBPEDIA_ID/Berkeley,_California","City,Settlement,Place,Location,PopulatedPlace"
13,"DBPEDIA_ID/Buffalo,_New_York","City,Settlement,Place,Location,PopulatedPlace"
14,"DBPEDIA_ID/Cadillac,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
15,"DBPEDIA_ID/Cambridge,_Massachusetts","City,Settlement,Place,Location,PopulatedPlace"
16,"DBPEDIA_ID/Cedar_Falls,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
17,Chernobyl,"City,Settlement,Place,Location,PopulatedPlace"
18,Chicago,"City,Settlement,Place,Location,PopulatedPlace"
19,DBPEDIA_ID/City_of_London,"City,Settlement,Place,Location,PopulatedPlace"
20,Cleveland,"City,Settlement,Place,Location,PopulatedPlace"
21,"DBPEDIA_ID/Columbia,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
22,"DBPEDIA_ID/Columbus,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
23,"DBPEDIA_ID/Columbus,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
24,"DBPEDIA_ID/Concord,_New_Hampshire","City,Settlement,Place,Location,PopulatedPlace"
25,"DBPEDIA_ID/Darwin,_Northern_Territory","City,Settlement,Place,Location,PopulatedPlace"
26,"DBPEDIA_ID/Davenport,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
27,"DBPEDIA_ID/Davis,_California","City,Settlement,Place,Location,PopulatedPlace"
28,"DBPEDIA_ID/Dayton,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
29,"DBPEDIA_ID/Des_Moines,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
30,Detroit,"City,Settlement,Place,Location,PopulatedPlace"
31,"DBPEDIA_ID/Ellensburg,_Washington","City,Settlement,Place,Location,PopulatedPlace"
32,"DBPEDIA_ID/Eugene,_Oregon","City,Settlement,Place,Location,PopulatedPlace"
33,"DBPEDIA_ID/Eureka,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
34,"DBPEDIA_ID/Fort_Wayne,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
35,"DBPEDIA_ID/Gary,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
36,"DBPEDIA_ID/Goshen,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
37,DBPEDIA_ID/Guatemala_City,"City,Settlement,Place,Location,PopulatedPlace"
38,Guernica,"City,Settlement,Place,Location,PopulatedPlace"
39,Herat,"City,Settlement,Place,Location,PopulatedPlace"
40,Hobart,"City,Settlement,Place,Location,PopulatedPlace"
41,Houston,"City,Settlement,Place,Location,PopulatedPlace"
42,"DBPEDIA_ID/Ithaca,_New_York","City,Settlement,Place,Location,PopulatedPlace"
43,"DBPEDIA_ID/Lansing,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
44,"DBPEDIA_ID/Lincoln,_Nebraska","City,Settlement,Place,Location,PopulatedPlace"
