,entity,classes
0,DBPEDIA_ID/The_Bard_(Sibelius),"MusicalWork,ClassicalMusicComposition,Work"
1,DBPEDIA_ID/Ave_Maria_(Vavilov),"MusicalWork,ClassicalMusicComposition,Work"
2,DBPEDIA_ID/Kyrie_(Vivaldi),"MusicalWork,ClassicalMusicComposition,Work"
3,DBPEDIA_ID/Preludes_(Kabalevsky),"MusicalWork,ClassicalMusicComposition,Work"
4,DBPEDIA_ID/Requiem_(Cherubini),"MusicalWork,ClassicalMusicComposition,Work"
5,DBPEDIA_ID/Requiem_(Rutter),"MusicalWork,ClassicalMusicComposition,Work"
6,DBPEDIA_ID/Requiem_(Weinberg),"MusicalWork,ClassicalMusicComposition,Work"
7,DBPEDIA_ID/Slonimsky's_Earbox,"MusicalWork,ClassicalMusicComposition,Work"
8,DBPEDIA_ID/Études_(Debussy),"MusicalWork,ClassicalMusicComposition,Work"
9,DBPEDIA_ID/American_Berserk,"MusicalWork,ClassicalMusicComposition,Work"
10,"DBPEDIA_ID/Ballades,_Op._10_(Brahms)","MusicalWork,ClassicalMusicComposition,Work"
11,DBPEDIA_ID/Masques_(Szymanowski),"MusicalWork,ClassicalMusicComposition,Work"
12,"DBPEDIA_ID/Nocturne_in_C_minor,_Op._posth._(Chopin)","MusicalWork,ClassicalMusicComposition,Work"
13,"DBPEDIA_ID/Nocturne_in_E_minor,_Op._posth._72_(Chopin)","MusicalWork,ClassicalMusicComposition,Work"
14,DBPEDIA_ID/Rinaldo_(cantata),"MusicalWork,ClassicalMusicComposition,Work"
15,DBPEDIA_ID/Romanza_(Paganini-Ponce),"MusicalWork,ClassicalMusicComposition,Work"
16,DBPEDIA_ID/Sancta_Civitas,"MusicalWork,ClassicalMusicComposition,Work"
17,DBPEDIA_ID/Sonneries_de_la_Rose+Croix,"MusicalWork,ClassicalMusicComposition,Work"
18,DBPEDIA_ID/A_Birthday_Hansel,"MusicalWork,ClassicalMusicComposition,Work"
19,Amarus,"MusicalWork,ClassicalMusicComposition,Work"
20,"DBPEDIA_ID/Rondo_in_B_minor_for_violin_and_piano,_D_895_(Schubert)","MusicalWork,ClassicalMusicComposition,Work"
21,DBPEDIA_ID/Shadow_Play_Scherzo,"MusicalWork,ClassicalMusicComposition,Work"
22,DBPEDIA_ID/Gondwana_(Murail),"MusicalWork,ClassicalMusicComposition,Work"
23,DBPEDIA_ID/Road_Movies_(Adams),"MusicalWork,ClassicalMusicComposition,Work"
24,DBPEDIA_ID/Slow_Motion_(Hosokawa),"MusicalWork,ClassicalMusicComposition,Work"
25,"DBPEDIA_ID/Veni,_Veni,_Emmanuel","MusicalWork,ClassicalMusicComposition,Work"
26,DBPEDIA_ID/Nocturne_in_A-flat_(Scriabin),"MusicalWork,ClassicalMusicComposition,Work"
27,DBPEDIA_ID/Psalm_42_(Mendelssohn),"MusicalWork,ClassicalMusicComposition,Work"
28,DBPEDIA_ID/The_Sanguine_Fan,"MusicalWork,ClassicalMusicComposition,Work"
29,DBPEDIA_ID/Sunless_(song_cycle),"MusicalWork,ClassicalMusicComposition,Work"
30,DBPEDIA_ID/Fantasia_on_Christmas_Carols,"MusicalWork,ClassicalMusicComposition,Work"
31,DBPEDIA_ID/Transcendental_Étude_No._6_(Liszt),"MusicalWork,ClassicalMusicComposition,Work"
32,Donauweibchen,"MusicalWork,ClassicalMusicComposition,Work"
33,DBPEDIA_ID/Csikós_Post,"MusicalWork,ClassicalMusicComposition,Work"
34,DBPEDIA_ID/The_Hounds_of_Spring,"MusicalWork,ClassicalMusicComposition,Work"
35,DBPEDIA_ID/Late_Piano_Sonatas,"MusicalWork,ClassicalMusicComposition,Work"
36,DBPEDIA_ID/Late_piano_sonatas_(Beethoven),"MusicalWork,ClassicalMusicComposition,Work"
37,Ogives,"MusicalWork,ClassicalMusicComposition,Work"
38,DBPEDIA_ID/Rhapsodie_espagnole_(Liszt),"MusicalWork,ClassicalMusicComposition,Work"
39,"DBPEDIA_ID/Wiegenlied,_D_498_(Schubert)","MusicalWork,ClassicalMusicComposition,Work"
40,DBPEDIA_ID/Milonga_Del_Angel,"MusicalWork,ClassicalMusicComposition,Work"
41,DBPEDIA_ID/Caprice_No._5_(Paganini),"MusicalWork,ClassicalMusicComposition,Work"
42,DBPEDIA_ID/Five_Christmas_songs_(Sibelius),"MusicalWork,ClassicalMusicComposition,Work"
43,DBPEDIA_ID/For_Children_(Bartók),"MusicalWork,ClassicalMusicComposition,Work"
44,DBPEDIA_ID/Hungarian_Rhapsody_No._18,"MusicalWork,ClassicalMusicComposition,Work"
45,DBPEDIA_ID/Partita_for_Violin_No._1_(Bach),"MusicalWork,ClassicalMusicComposition,Work"
46,DBPEDIA_ID/Sacred_and_Profane_(Britten),"MusicalWork,ClassicalMusicComposition,Work"
47,Seufzer-Galopp,"MusicalWork,ClassicalMusicComposition,Work"
48,DBPEDIA_ID/Time's_Encomium,"MusicalWork,ClassicalMusicComposition,Work"
49,DBPEDIA_ID/Funeral_March_in_Memory_of_Rikard_Nordraak,"MusicalWork,ClassicalMusicComposition,Work"
50,DBPEDIA_ID/Ballade_of_London_Nights,"MusicalWork,ClassicalMusicComposition,Work"
51,"DBPEDIA_ID/Prélude,_Choral_et_Fugue_(Franck)","MusicalWork,ClassicalMusicComposition,Work"
52,DBPEDIA_ID/Sonatina_in_G_major_(attributed_to_Beethoven),"MusicalWork,ClassicalMusicComposition,Work"
53,DBPEDIA_ID/The_Forgotten_Rite,"MusicalWork,ClassicalMusicComposition,Work"
54,DBPEDIA_ID/The_Frescoes_of_Piero_della_Francesca,"MusicalWork,ClassicalMusicComposition,Work"
55,"DBPEDIA_ID/Gargoyles_for_piano,_Op._29","MusicalWork,ClassicalMusicComposition,Work"
56,DBPEDIA_ID/25_Studies_for_guitar_(Carcassi),"MusicalWork,ClassicalMusicComposition,Work"
57,DBPEDIA_ID/Hungarian_Rhapsody_No._14,"MusicalWork,ClassicalMusicComposition,Work"
58,DBPEDIA_ID/Symphony_for_Solo_Piano_(Alkan),"MusicalWork,ClassicalMusicComposition,Work"
59,DBPEDIA_ID/Tromba_Lontana,"MusicalWork,ClassicalMusicComposition,Work"
60,DBPEDIA_ID/Flight_of_Valor,"MusicalWork,ClassicalMusicComposition,Work"
61,DBPEDIA_ID/Three_Fantastic_Dances,"MusicalWork,ClassicalMusicComposition,Work"
62,DBPEDIA_ID/A_Song_of_Islands,"MusicalWork,ClassicalMusicComposition,Work"
63,Estampes,"MusicalWork,ClassicalMusicComposition,Work"
64,DBPEDIA_ID/Five_Variants_of_Dives_and_Lazarus,"MusicalWork,ClassicalMusicComposition,Work"
65,DBPEDIA_ID/Landfall_in_Unknown_Seas,"MusicalWork,ClassicalMusicComposition,Work"
66,DBPEDIA_ID/Aria_del_Gran_Duca,"MusicalWork,ClassicalMusicComposition,Work"
67,DBPEDIA_ID/Children's_Notebook,"MusicalWork,ClassicalMusicComposition,Work"
68,DBPEDIA_ID/Hermit_Songs,"MusicalWork,ClassicalMusicComposition,Work"
69,DBPEDIA_ID/Nummer_2,"MusicalWork,ClassicalMusicComposition,Work"
70,"DBPEDIA_ID/Seven,_They_Are_Seven","MusicalWork,ClassicalMusicComposition,Work"
71,DBPEDIA_ID/Indian_Suite,"MusicalWork,ClassicalMusicComposition,Work"
72,DBPEDIA_ID/Comes_Autumn_Time,"MusicalWork,ClassicalMusicComposition,Work"
73,DBPEDIA_ID/Impromptu_No._2_(Chopin),"MusicalWork,ClassicalMusicComposition,Work"
74,DBPEDIA_ID/Sonatina_(John_Ireland),"MusicalWork,ClassicalMusicComposition,Work"
75,DBPEDIA_ID/Bei_uns_Z'haus,"MusicalWork,ClassicalMusicComposition,Work"
76,DBPEDIA_ID/Comedy_Overture_on_Negro_Themes,"MusicalWork,ClassicalMusicComposition,Work"
77,DBPEDIA_ID/Nobilissima_Visione,"MusicalWork,ClassicalMusicComposition,Work"
78,DBPEDIA_ID/Poème_de_l'amour_et_de_la_mer,"MusicalWork,ClassicalMusicComposition,Work"
79,DBPEDIA_ID/Valses_Sentimentales_and_Valses_Nobles_(Schubert),"MusicalWork,ClassicalMusicComposition,Work"
80,DBPEDIA_ID/A_Mass_of_Life,"MusicalWork,ClassicalMusicComposition,Work"
81,DBPEDIA_ID/Ballade_No._1_(Liszt),"MusicalWork,ClassicalMusicComposition,Work"
82,DBPEDIA_ID/Nowth_upon_Nacht,"MusicalWork,ClassicalMusicComposition,Work"
83,Pithoprakta,"MusicalWork,ClassicalMusicComposition,Work"
84,"DBPEDIA_ID/Prelude_in_A_minor,_Op._51,_No._2_(Scriabin)","MusicalWork,ClassicalMusicComposition,Work"
85,DBPEDIA_ID/Grande_Tarantelle_(Gottschalk),"MusicalWork,ClassicalMusicComposition,Work"
86,DBPEDIA_ID/The_Art_of_Fugue_discography,"MusicalWork,ClassicalMusicComposition,Work"
87,DBPEDIA_ID/Boyhood's_End,"MusicalWork,ClassicalMusicComposition,Work"
88,"DBPEDIA_ID/Verjaget,_zerstreuet,_zerrüttet,_ihr_Sterne,_BWV_249b","MusicalWork,ClassicalMusicComposition,Work"
89,DBPEDIA_ID/Earth_Dances,"MusicalWork,ClassicalMusicComposition,Work"
90,DBPEDIA_ID/Night-Thoughts_(piano_piece),"MusicalWork,ClassicalMusicComposition,Work"
91,DBPEDIA_ID/Suite_No._2_for_Cello_All_By_Its_Lonesome,"MusicalWork,ClassicalMusicComposition,Work"
92,DBPEDIA_ID/Eleven_Chorale_Preludes,"MusicalWork,ClassicalMusicComposition,Work"
93,DBPEDIA_ID/Missa_Hispanica,"MusicalWork,ClassicalMusicComposition,Work"
94,Schöpfungsmesse,"MusicalWork,ClassicalMusicComposition,Work"
95,"DBPEDIA_ID/Seven_Songs,_Op._17_(Sibelius)","MusicalWork,ClassicalMusicComposition,Work"
96,"DBPEDIA_ID/Trau,_schau,_wem!","MusicalWork,ClassicalMusicComposition,Work"
97,DBPEDIA_ID/Hungarian_Rhapsody_No._12,"MusicalWork,ClassicalMusicComposition,Work"
98,DBPEDIA_ID/Music_for_Prague_1968,"MusicalWork,ClassicalMusicComposition,Work"
99,DBPEDIA_ID/Nine_Short_Pieces_for_Piano,"MusicalWork,ClassicalMusicComposition,Work"
100,DBPEDIA_ID/Sleep_(choral_song),"MusicalWork,ClassicalMusicComposition,Work"
101,DBPEDIA_ID/Arriba_los_de_abajo,"MusicalWork,ClassicalMusicComposition,Work"
102,DBPEDIA_ID/Seis_bagatelas,"MusicalWork,ClassicalMusicComposition,Work"
103,DBPEDIA_ID/Zugzwang_(musical_work),"MusicalWork,ClassicalMusicComposition,Work"
104,Schwächen,"MusicalWork,ClassicalMusicComposition,Work"
105,2×5,"MusicalWork,ClassicalMusicComposition,Work"
106,DBPEDIA_ID/Czech_Suite_(Dvořák),"MusicalWork,ClassicalMusicComposition,Work"
107,Lousadzak,"MusicalWork,ClassicalMusicComposition,Work"
108,DBPEDIA_ID/Prelude_Op._59_No._2_(Scriabin),"MusicalWork,ClassicalMusicComposition,Work"
109,DBPEDIA_ID/The_Birds_(Respighi),"MusicalWork,ClassicalMusicComposition,Work"
