,entity,classes
0,Asser,"Person,Cleric,ChristianBishop,Agent"
1,DBPEDIA_ID/Augustine_of_Canterbury,"Person,Cleric,ChristianBishop,Agent"
2,DBPEDIA_ID/Bernard_of_Kilwinning,"Person,Cleric,ChristianBishop,Agent"
3,Bertin,"Person,Cleric,Saint,Agent"
4,Damianus,"Person,Cleric,ChristianBishop,Agent"
5,DBPEDIA_ID/Helena_(empress),"Person,Cleric,Saint,Agent"
6,DBPEDIA_ID/Herman_(Swaiko),"Person,Cleric,ChristianBishop,Agent"
7,DBPEDIA_ID/Herman_(bishop),"Person,Cleric,ChristianBishop,Agent"
8,DBPEDIA_ID/Nicholas_of_Arbroath,"Person,Cleric,ChristianBishop,Agent"
9,DBPEDIA_ID/Philip_the_Apostle,"Person,Cleric,Saint,Agent"
10,DBPEDIA_ID/Pope_Agatho,"Person,Cleric,Pope,Agent"
11,DBPEDIA_ID/Robert_II_(bishop_of_Ross),"Person,Cleric,ChristianBishop,Agent"
12,DBPEDIA_ID/Robert_of_Bath,"Person,Cleric,ChristianBishop,Agent"
13,DBPEDIA_ID/Roger_(larderer),"Person,Cleric,ChristianBishop,Agent"
14,DBPEDIA_ID/Roger_of_Worcester,"Person,Cleric,ChristianBishop,Agent"
15,DBPEDIA_ID/Saint_Pantaleon,"Person,Cleric,Saint,Agent"
16,DBPEDIA_ID/Simon_of_Worcester,"Person,Cleric,ChristianBishop,Agent"
17,DBPEDIA_ID/Tobias_(bishop),"Person,Cleric,ChristianBishop,Agent"
18,Willibrord,"Person,Cleric,Saint,Agent"
19,Aaron,"Person,Cleric,Saint,Agent"
20,Absalon,"Person,Cleric,ChristianBishop,Agent"
21,DBPEDIA_ID/Adalbert_of_Prague,"Person,Cleric,Saint,Agent"
22,DBPEDIA_ID/Adelaide_of_Italy,"Person,Cleric,Saint,Agent"
23,DBPEDIA_ID/Agnes_of_Rome,"Person,Cleric,Saint,Agent"
24,DBPEDIA_ID/Albertus_Magnus,"Person,Cleric,Saint,Agent"
25,Alcuin,"Person,Cleric,Saint,Agent"
26,Ambrose,"Person,Cleric,ChristianBishop,Agent"
27,DBPEDIA_ID/Ambrose_of_Alexandria,"Person,Cleric,Saint,Agent"
28,Angilbert,"Person,Cleric,Saint,Agent"
29,Ansgar,"Person,Cleric,Saint,Agent"
30,DBPEDIA_ID/Anthony_the_Great,"Person,Cleric,Saint,Agent"
31,DBPEDIA_ID/Antipope_Boniface_VII,"Person,Cleric,ChristianBishop,Agent"
32,DBPEDIA_ID/Antipope_John_XXIII,"Person,Cleric,ChristianBishop,Agent"
33,Apollos,"Person,Cleric,Saint,Agent"
34,DBPEDIA_ID/Athanasius_of_Alexandria,"Person,Cleric,Saint,Agent"
35,DBPEDIA_ID/Augustine_of_Hippo,"Person,Cleric,ChristianBishop,Agent"
36,Barnabas,"Person,Cleric,Saint,Agent"
37,Bede,"Person,Cleric,Saint,Agent"
38,DBPEDIA_ID/Benedict_of_Nursia,"Person,Cleric,Saint,Agent"
39,DBPEDIA_ID/Bernard_of_Clairvaux,"Person,Cleric,Saint,Agent"
40,DBPEDIA_ID/Bruno_of_Querfurt,"Person,Cleric,Saint,Agent"
41,DBPEDIA_ID/Catherine_of_Siena,"Person,Cleric,Saint,Agent"
42,DBPEDIA_ID/Clement_of_Alexandria,"Person,Cleric,Saint,Agent"
43,Columba,"Person,Cleric,Saint,Agent"
44,Columbanus,"Person,Cleric,Saint,Agent"
45,DBPEDIA_ID/Cyril_of_Alexandria,"Person,Cleric,Saint,Agent"
46,DBPEDIA_ID/Cyril_of_Jerusalem,"Person,Cleric,Saint,Agent"
47,DBPEDIA_ID/Denis_Auguste_Affre,"Person,Cleric,ChristianBishop,Agent"
48,Dunstan,"Person,Cleric,ChristianBishop,Agent"
49,DBPEDIA_ID/Ealdred_(archbishop_of_York),"Person,Cleric,ChristianBishop,Agent"
50,Elijah,"Person,Cleric,Saint,Agent"
51,DBPEDIA_ID/Ephrem_the_Syrian,"Person,Cleric,Saint,Agent"
52,Ezekiel,"Person,Cleric,Saint,Agent"
53,DBPEDIA_ID/Francis_Xavier,"Person,Cleric,Saint,Agent"
54,DBPEDIA_ID/Francis_of_Assisi,"Person,Cleric,Saint,Agent"
