,entity,classes
0,"DBPEDIA_ID/Pembroke_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
1,"DBPEDIA_ID/Jesus_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
2,DBPEDIA_ID/Bull_College,"Organisation,EducationalInstitution,College,Agent"
3,DBPEDIA_ID/Charsley's_Hall,"Organisation,EducationalInstitution,College,Agent"
4,"DBPEDIA_ID/St_John's_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
5,"DBPEDIA_ID/Greyfriars,_Oxford","Organisation,EducationalInstitution,College,Agent"
6,"DBPEDIA_ID/St_Edmund_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
7,"DBPEDIA_ID/Selwyn_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
8,"DBPEDIA_ID/Wolfson_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
9,"DBPEDIA_ID/Clare_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
10,"DBPEDIA_ID/Magdalen_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
11,"DBPEDIA_ID/Mansfield_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
12,"DBPEDIA_ID/Regent's_Park_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
13,"DBPEDIA_ID/Darwin_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
14,"DBPEDIA_ID/Gloucester_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
15,"DBPEDIA_ID/King's_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
16,"DBPEDIA_ID/Pembroke_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
17,"DBPEDIA_ID/Trinity_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
18,"DBPEDIA_ID/Greek_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
19,"DBPEDIA_ID/Durham_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
20,"DBPEDIA_ID/Downing_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
21,"DBPEDIA_ID/Somerville_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
22,"DBPEDIA_ID/Christ's_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
23,"DBPEDIA_ID/Peterhouse,_Cambridge","Organisation,EducationalInstitution,College,Agent"
24,"DBPEDIA_ID/Trinity_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
25,"DBPEDIA_ID/Buckingham_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
26,"DBPEDIA_ID/Physwick_Hostel,_Cambridge","Organisation,EducationalInstitution,College,Agent"
27,"DBPEDIA_ID/Keble_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
28,"DBPEDIA_ID/King's_Hall,_Cambridge","Organisation,EducationalInstitution,College,Agent"
29,"DBPEDIA_ID/St_Mary's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
30,"DBPEDIA_ID/St_Mary_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
31,"DBPEDIA_ID/Sidney_Sussex_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
32,"DBPEDIA_ID/St_Catherine's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
33,"DBPEDIA_ID/Exeter_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
34,"DBPEDIA_ID/Gonville_and_Caius_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
35,"DBPEDIA_ID/Kellogg_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
36,"DBPEDIA_ID/Lady_Margaret_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
37,"DBPEDIA_ID/New_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
38,"DBPEDIA_ID/Robinson_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
39,"DBPEDIA_ID/St_John's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
40,"DBPEDIA_ID/All_Souls_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
41,"DBPEDIA_ID/Churchill_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
42,"DBPEDIA_ID/Hughes_Hall,_Cambridge","Organisation,EducationalInstitution,College,Agent"
43,"DBPEDIA_ID/Canterbury_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
44,"DBPEDIA_ID/Emmanuel_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
45,"DBPEDIA_ID/Green_Templeton_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
46,"DBPEDIA_ID/The_Queen's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
47,"DBPEDIA_ID/University_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
48,"DBPEDIA_ID/Balliol_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
49,"DBPEDIA_ID/Blackfriars,_Oxford","Organisation,EducationalInstitution,College,Agent"
50,"DBPEDIA_ID/Brasenose_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
51,"DBPEDIA_ID/Campion_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
52,"DBPEDIA_ID/Christ_Church,_Oxford","Organisation,EducationalInstitution,College,Agent"
53,"DBPEDIA_ID/Corpus_Christi_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
54,"DBPEDIA_ID/Hertford_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
55,"DBPEDIA_ID/Jesus_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
56,"DBPEDIA_ID/Linacre_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
57,"DBPEDIA_ID/Lincoln_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
58,"DBPEDIA_ID/Merton_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
59,"DBPEDIA_ID/Nuffield_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
60,"DBPEDIA_ID/Oriel_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
61,"DBPEDIA_ID/St_Anne's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
62,"DBPEDIA_ID/St_Antony's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
63,"DBPEDIA_ID/St_Benet's_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
64,"DBPEDIA_ID/St_Cross_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
65,"DBPEDIA_ID/St_Hilda's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
66,"DBPEDIA_ID/St_Hugh's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
67,"DBPEDIA_ID/St_Peter's_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
68,"DBPEDIA_ID/Wadham_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
69,"DBPEDIA_ID/Worcester_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
70,"DBPEDIA_ID/Wycliffe_Hall,_Oxford","Organisation,EducationalInstitution,College,Agent"
71,"DBPEDIA_ID/Harris_Manchester_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
72,"DBPEDIA_ID/Magdalene_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
73,"DBPEDIA_ID/Templeton_College,_Oxford","Organisation,EducationalInstitution,College,Agent"
74,"DBPEDIA_ID/Clare_Hall,_Cambridge","Organisation,EducationalInstitution,College,Agent"
75,"DBPEDIA_ID/Corpus_Christi_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
76,"DBPEDIA_ID/Fitzwilliam_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
77,"DBPEDIA_ID/Girton_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
78,"DBPEDIA_ID/Homerton_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
79,"DBPEDIA_ID/Lucy_Cavendish_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
80,"DBPEDIA_ID/Michaelhouse,_Cambridge","Organisation,EducationalInstitution,College,Agent"
81,"DBPEDIA_ID/Murray_Edwards_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
82,"DBPEDIA_ID/Newnham_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
83,"DBPEDIA_ID/Queens'_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
84,"DBPEDIA_ID/St_Catharine's_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
85,"DBPEDIA_ID/St_Edmund's_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
86,"DBPEDIA_ID/St_Stephen's_House,_Oxford","Organisation,EducationalInstitution,College,Agent"
87,"DBPEDIA_ID/Trinity_Hall,_Cambridge","Organisation,EducationalInstitution,College,Agent"
88,"DBPEDIA_ID/Wolfson_College,_Cambridge","Organisation,EducationalInstitution,College,Agent"
