,entity,classes
0,Black,Colour
1,Blue,Colour
2,Cyan,Colour
3,Green,Colour
4,Indigo,Colour
5,Red,Colour
6,DBPEDIA_ID/Jonquil_(color),Colour
7,DBPEDIA_ID/Copper_(color),Colour
8,DBPEDIA_ID/Jasmine_(color),Colour
9,DBPEDIA_ID/Amaranth_(color),Colour
10,DBPEDIA_ID/Baby_blue,Colour
11,DBPEDIA_ID/Chocolate_(color),Colour
12,DBPEDIA_ID/Cream_(colour),Colour
13,DBPEDIA_ID/Heliotrope_(color),Colour
14,DBPEDIA_ID/Lavender_(color),Colour
15,DBPEDIA_ID/Navy_blue,Colour
16,DBPEDIA_ID/Platinum_(color),Colour
17,DBPEDIA_ID/Saffron_(color),Colour
18,DBPEDIA_ID/Chestnut_(color),Colour
19,DBPEDIA_ID/Marigold_(color),Colour
20,DBPEDIA_ID/Rust_(color),Colour
21,DBPEDIA_ID/Burgundy_(color),Colour
22,DBPEDIA_ID/Carmine_(color),Colour
23,DBPEDIA_ID/Forest_green,Colour
24,DBPEDIA_ID/Goldenrod_(color),Colour
25,DBPEDIA_ID/Maize_(color),Colour
26,DBPEDIA_ID/Stil_de_grain_yellow,Colour
27,Verdigris,Colour
28,DBPEDIA_ID/Old_gold,Colour
29,DBPEDIA_ID/Tawny_(color),Colour
30,Puce,Colour
31,DBPEDIA_ID/Amaranth_(color)__Amaranth_M&P__1,Colour
32,DBPEDIA_ID/Amaranth_(color)__Amaranth_purple__1,Colour
33,DBPEDIA_ID/Amaranth_(color)__Radical_red__1,Colour
34,DBPEDIA_ID/Apricot_(color)__Apricot_Crayola__1,Colour
35,DBPEDIA_ID/Apricot_(color)__Mellow_Apricot__1,Colour
36,Bistre,Colour
37,Teal,Colour
38,DBPEDIA_ID/Dodger_blue,Colour
39,DBPEDIA_ID/Shades_of_cyan,Colour
40,DBPEDIA_ID/Duke_blue,Colour
41,DBPEDIA_ID/Candy_apple_red_(color)__Candy_Pink__1,Colour
42,DBPEDIA_ID/Ruby_(color)__Big_Dip_O'Ruby__1,Colour
43,DBPEDIA_ID/Ruby_(color)__Rubine_Red__1,Colour
44,DBPEDIA_ID/Ruby_(color)__Ruby_BS_381__1,Colour
45,DBPEDIA_ID/Ruby_(color)__Ruby_Red__1,Colour
46,DBPEDIA_ID/Ruby_(color)__white__1,Colour
47,DBPEDIA_ID/Ruby_(color)__white__2,Colour
48,DBPEDIA_ID/Ruby_(color)__white__3,Colour
49,DBPEDIA_ID/Shades_of_red__Barn_Red__1,Colour
50,DBPEDIA_ID/Shades_of_red__Carmine__1,Colour
51,DBPEDIA_ID/Shades_of_red__Coral_Pink__1,Colour
52,DBPEDIA_ID/Shades_of_red__Cornell_Red__1,Colour
53,DBPEDIA_ID/Shades_of_red__Crayola__1,Colour
54,DBPEDIA_ID/Shades_of_red__Crimson__1,Colour
55,DBPEDIA_ID/Shades_of_red__Dark_Red__1,Colour
56,DBPEDIA_ID/Shades_of_red__Desire__1,Colour
57,DBPEDIA_ID/Shades_of_red__Fire_Brick__1,Colour
58,DBPEDIA_ID/Shades_of_red__Fire_Engine_Red__1,Colour
59,DBPEDIA_ID/Shades_of_red__G&S__1,Colour
60,DBPEDIA_ID/Shades_of_red__Imperial_Red__1,Colour
61,DBPEDIA_ID/Shades_of_red__Indian_Red__1,Colour
62,DBPEDIA_ID/Shades_of_red__Lust__1,Colour
63,DBPEDIA_ID/Shades_of_red__Maroon__1,Colour
64,DBPEDIA_ID/Shades_of_red__Munsell__1,Colour
65,DBPEDIA_ID/Shades_of_red__NCS__1,Colour
66,DBPEDIA_ID/Shades_of_red__OU_Crimson_Red__1,Colour
67,DBPEDIA_ID/Shades_of_red__Pigment_Red__1,Colour
68,DBPEDIA_ID/Shades_of_red__Pink__1,Colour
69,DBPEDIA_ID/Shades_of_red__Ruby__1,Colour
70,DBPEDIA_ID/Shades_of_red__Rusty_Red__1,Colour
71,DBPEDIA_ID/Shades_of_red__Salmon_Crayola__1,Colour
72,DBPEDIA_ID/Shades_of_red__Salmon__1,Colour
73,DBPEDIA_ID/Shades_of_red__Scarlet__1,Colour
74,DBPEDIA_ID/Shades_of_red__Turkey_red__1,Colour
75,DBPEDIA_ID/Shades_of_red__white__1,Colour
76,DBPEDIA_ID/Shades_of_red__white__2,Colour
77,DBPEDIA_ID/Shades_of_red__white__3,Colour
78,DBPEDIA_ID/Shades_of_red__white__4,Colour
79,DBPEDIA_ID/Shades_of_red__white__5,Colour
80,DBPEDIA_ID/Wine_(color)__Burgundy__1,Colour
81,DBPEDIA_ID/Wine_(color)__Champagne__1,Colour
82,DBPEDIA_ID/Wine_(color)__white__1,Colour
83,DBPEDIA_ID/Wine_(color)__white__2,Colour
84,DBPEDIA_ID/Desert_sand_(color)__Desert__1,Colour
85,DBPEDIA_ID/Desert_sand_(color)__Earth_Yellow__1,Colour
86,DBPEDIA_ID/Desert_sand_(color)__Field_Drab__1,Colour
87,DBPEDIA_ID/Desert_sand_(color)__Sand_Dune__1,Colour
88,DBPEDIA_ID/Desert_sand_(color)__Sand__1,Colour
89,DBPEDIA_ID/Desert_sand_(color)__Sandy_Brown__1,Colour
90,DBPEDIA_ID/Federal_Standard_595_camouflage_colours,Colour
91,DBPEDIA_ID/Persian_blue,Colour
92,Ultramarine,Colour
93,DBPEDIA_ID/Aquamarine_(color),Colour
94,DBPEDIA_ID/Cadmium_pigments,Colour
95,Beige,Colour
96,DBPEDIA_ID/Midnight_green,Colour
97,DBPEDIA_ID/Dark_purple,Colour
98,DBPEDIA_ID/Capri_(color),Colour
99,DBPEDIA_ID/Chartreuse_(color),Colour
100,DBPEDIA_ID/Shades_of_blue,Colour
101,DBPEDIA_ID/Shades_of_brown,Colour
102,DBPEDIA_ID/Yale_Blue,Colour
103,Aureolin,Colour
104,DBPEDIA_ID/Indian_red_(color),Colour
105,DBPEDIA_ID/Shades_of_pink__Amaranth_Pink__1,Colour
106,DBPEDIA_ID/Shades_of_pink__Baby_Pink__1,Colour
107,DBPEDIA_ID/Shades_of_pink__Baker-Miller_Pink__1,Colour
108,DBPEDIA_ID/Shades_of_pink__Cameo_Pink__1,Colour
109,DBPEDIA_ID/Shades_of_pink__Carnation_Pink__1,Colour
110,DBPEDIA_ID/Shades_of_pink__Cherry_Blossom_Pink__1,Colour
111,DBPEDIA_ID/Shades_of_pink__Congo_Pink__1,Colour
112,DBPEDIA_ID/Shades_of_pink__Deep_Pink_Light__1,Colour
113,DBPEDIA_ID/Shades_of_pink__Deep_Pink__1,Colour
114,DBPEDIA_ID/Shades_of_pink__G&S__1,Colour
115,DBPEDIA_ID/Shades_of_pink__Hot_Pink_Light__1,Colour
116,DBPEDIA_ID/Shades_of_pink__Hot_Pink__1,Colour
117,DBPEDIA_ID/Shades_of_pink__Lace__1,Colour
118,DBPEDIA_ID/Shades_of_pink__Lavender_Crayola__1,Colour
119,DBPEDIA_ID/Shades_of_pink__Light_Pink__1,Colour
120,DBPEDIA_ID/Shades_of_pink__New_York_Pink__1,Colour
121,DBPEDIA_ID/Shades_of_pink__Pale_Pink__1,Colour
122,DBPEDIA_ID/Shades_of_pink__Pastel_Pink__1,Colour
123,DBPEDIA_ID/Shades_of_pink__Pink__1,Colour
124,DBPEDIA_ID/Shades_of_pink__Shocking_Pink__1,Colour
125,DBPEDIA_ID/Shades_of_pink__Solid_Pink__1,Colour
126,DBPEDIA_ID/Shades_of_pink__black__1,Colour
127,DBPEDIA_ID/Shades_of_pink__black__10,Colour
128,DBPEDIA_ID/Shades_of_pink__black__11,Colour
129,DBPEDIA_ID/Shades_of_pink__black__12,Colour
130,DBPEDIA_ID/Shades_of_pink__black__13,Colour
131,DBPEDIA_ID/Shades_of_pink__black__14,Colour
132,DBPEDIA_ID/Shades_of_pink__black__15,Colour
133,DBPEDIA_ID/Shades_of_pink__black__16,Colour
134,DBPEDIA_ID/Shades_of_pink__black__2,Colour
135,DBPEDIA_ID/Shades_of_pink__black__3,Colour
136,DBPEDIA_ID/Shades_of_pink__black__4,Colour
137,DBPEDIA_ID/Shades_of_pink__black__5,Colour
138,DBPEDIA_ID/Shades_of_pink__black__6,Colour
139,DBPEDIA_ID/Shades_of_pink__black__7,Colour
140,DBPEDIA_ID/Shades_of_pink__black__8,Colour
141,DBPEDIA_ID/Shades_of_pink__black__9,Colour
142,DBPEDIA_ID/Shades_of_pink__white__1,Colour
143,DBPEDIA_ID/Shades_of_pink__white__2,Colour
144,DBPEDIA_ID/Shades_of_pink__white__3,Colour
145,DBPEDIA_ID/Shades_of_pink__white__4,Colour
146,DBPEDIA_ID/Shades_of_pink__white__5,Colour
147,DBPEDIA_ID/Shades_of_pink__white__6,Colour
148,DBPEDIA_ID/Turkey_red,Colour
149,DBPEDIA_ID/Bronze_(color)__Blast-Off_Bronze__1,Colour
150,DBPEDIA_ID/Bronze_(color)__white__1,Colour
151,DBPEDIA_ID/Shades_of_magenta__Amaranth_purple__1,Colour
152,DBPEDIA_ID/Shades_of_magenta__Orchid__1,Colour
153,DBPEDIA_ID/Shades_of_magenta__Plum__1,Colour
154,DBPEDIA_ID/Shades_of_magenta__Shocking_Pink__1,Colour
155,DBPEDIA_ID/Shades_of_magenta__Telemagenta__1,Colour
156,DBPEDIA_ID/Shades_of_magenta__black__1,Colour
157,DBPEDIA_ID/Shades_of_magenta__black__2,Colour
158,DBPEDIA_ID/Shades_of_magenta__black__3,Colour
159,DBPEDIA_ID/Shades_of_magenta__black__4,Colour
160,DBPEDIA_ID/Shades_of_magenta__black__5,Colour
161,DBPEDIA_ID/Shades_of_magenta__black__6,Colour
162,DBPEDIA_ID/Shades_of_magenta__black__7,Colour
163,DBPEDIA_ID/Shades_of_magenta__white__1,Colour
164,DBPEDIA_ID/Shades_of_magenta__white__2,Colour
165,DBPEDIA_ID/Shades_of_magenta__white__3,Colour
166,DBPEDIA_ID/Shades_of_magenta__white__4,Colour
167,DBPEDIA_ID/Shades_of_magenta__white__5,Colour
168,DBPEDIA_ID/Shades_of_magenta__white__6,Colour
169,DBPEDIA_ID/Shades_of_magenta__white__7,Colour
170,DBPEDIA_ID/Plum_(color)__Persian_Plum__1,Colour
171,DBPEDIA_ID/Plum_(color)__Plum_web__1,Colour
172,DBPEDIA_ID/Harvest_gold_(color),Colour
173,DBPEDIA_ID/Coyote_brown,Colour
174,Kobicha,Colour
175,DBPEDIA_ID/Air_Force_blue,Colour
176,DBPEDIA_ID/Aqua_(color),Colour
177,DBPEDIA_ID/Azure_(color),Colour
178,DBPEDIA_ID/Arylide_yellow,Colour
179,DBPEDIA_ID/Auburn_hair,Colour
180,DBPEDIA_ID/Cardinal_(color),Colour
181,Glaucous,Colour
182,Grey,Colour
183,DBPEDIA_ID/Lime_(color),Colour
184,Maroon,Colour
185,DBPEDIA_ID/Mustard_(color),Colour
186,DBPEDIA_ID/Orange_(colour),Colour
187,DBPEDIA_ID/Ruby_(color),Colour
188,DBPEDIA_ID/Shades_of_green,Colour
189,DBPEDIA_ID/Fire_engine_red,Colour
190,DBPEDIA_ID/Rose_(color),Colour
191,DBPEDIA_ID/Straw_(colour),Colour
