,entity,classes
0,DBPEDIA_ID/Billy_Crystal,"Person,Comedian,Agent,Artist"
1,DBPEDIA_ID/Chris_Morris_(satirist),"Person,Comedian,Agent,Artist"
2,DBPEDIA_ID/David_Letterman,"Person,Comedian,Agent,Artist"
3,DBPEDIA_ID/Denis_Leary,"Person,Comedian,Agent,Artist"
4,DBPEDIA_ID/Garrison_Keillor,"Person,Comedian,Agent,Artist"
5,DBPEDIA_ID/Groucho_Marx,"Person,Comedian,Agent,Artist"
6,DBPEDIA_ID/Jay_Leno,"Person,Comedian,Agent,Artist"
7,DBPEDIA_ID/Jerry_Lewis,"Person,Comedian,Agent,Artist"
8,DBPEDIA_ID/John_Belushi,"Person,Comedian,Agent,Artist"
9,DBPEDIA_ID/Mel_Brooks,"Person,Comedian,Agent,Artist"
10,DBPEDIA_ID/Mel_Smith,"Person,Comedian,Agent,Artist"
11,DBPEDIA_ID/Sid_James,"Person,Comedian,Agent,Artist"
12,Chespirito,"Person,Comedian,Agent,Artist"
13,DBPEDIA_ID/Johnny_Carson,"Person,Comedian,Agent,Artist"
14,DBPEDIA_ID/Benny_Hill,"Person,Comedian,Agent,Artist"
15,DBPEDIA_ID/Bill_Bailey,"Person,Comedian,Agent,Artist"
16,DBPEDIA_ID/Don_Rickles,"Person,Comedian,Agent,Artist"
17,DBPEDIA_ID/Norman_Wisdom,"Person,Comedian,Agent,Artist"
18,DBPEDIA_ID/Paul_Merton,"Person,Comedian,Agent,Artist"
19,DBPEDIA_ID/Angus_Deayton,"Person,Comedian,Agent,Artist"
20,DBPEDIA_ID/Bob_Newhart,"Person,Comedian,Agent,Artist"
21,DBPEDIA_ID/Harry_Hill,"Person,Comedian,Agent,Artist"
22,DBPEDIA_ID/Jim_Palosaari,"Person,Comedian,Agent,Artist"
23,DBPEDIA_ID/Lily_Tomlin,"Person,Comedian,Agent,Artist"
24,DBPEDIA_ID/Ryan_Stiles,"Person,Comedian,Agent,Artist"
25,DBPEDIA_ID/Buchi_(comedian),"Person,Comedian,Agent,Artist"
26,DBPEDIA_ID/Cem_Yılmaz,"Person,Comedian,Agent,Artist"
27,DBPEDIA_ID/Colin_Quinn,"Person,Comedian,Agent,Artist"
28,DBPEDIA_ID/Dave_Chappelle,"Person,Comedian,Agent,Artist"
29,DBPEDIA_ID/David_Reed_(comedian),"Person,Comedian,Agent,Artist"
30,DBPEDIA_ID/Donnell_Rawlings,"Person,Comedian,Agent,Artist"
31,DBPEDIA_ID/Ed_Helms,"Person,Comedian,Agent,Artist"
32,DBPEDIA_ID/Ed_Wynn,"Person,Comedian,Agent,Artist"
33,DBPEDIA_ID/Frank_Skinner,"Person,Comedian,Agent,Artist"
34,DBPEDIA_ID/Griff_Rhys_Jones,"Person,Comedian,Agent,Artist"
35,DBPEDIA_ID/H._Jon_Benjamin,"Person,Comedian,Agent,Artist"
36,DBPEDIA_ID/J._Elvis_Weinstein,"Person,Comedian,Agent,Artist"
37,DBPEDIA_ID/Jeff_Green_(comedian),"Person,Comedian,Agent,Artist"
38,DBPEDIA_ID/Jim_Breuer,"Person,Comedian,Agent,Artist"
39,DBPEDIA_ID/Josh_Wolf_(comedian),"Person,Comedian,Agent,Artist"
