,entity,classes
0,DBPEDIA_ID/A.D._Police:_Dead_End_City,"Comic,Work,Manga,WrittenWork"
1,DBPEDIA_ID/Cowboy_Bebop,"Comic,Work,Manga,WrittenWork"
2,DirkJan,"ComicStrip,Comic,Work,WrittenWork"
3,Doraemon,"Comic,Work,Manga,WrittenWork"
4,DBPEDIA_ID/Preacher_(comics),"Comic,Work,WrittenWork"
5,DBPEDIA_ID/Ranma_½,"Comic,Work,Manga,WrittenWork"
6,DBPEDIA_ID/Sailor_Moon,"Comic,Work,Manga,WrittenWork"
7,DBPEDIA_ID/The_Amazing_Spider-Man,"Comic,Work,WrittenWork"
8,DBPEDIA_ID/The_Beano,"Comic,Work,WrittenWork"
9,DBPEDIA_ID/Justice_League,"Comic,Work,WrittenWork"
10,DBPEDIA_ID/Blueberry_(comics),"Comic,Work,WrittenWork"
11,Promethea,"Comic,Work,WrittenWork"
12,DBPEDIA_ID/The_Amazing_3,"Comic,Work,Manga,WrittenWork"
13,DBPEDIA_ID/1984_(magazine),"Comic,Work,WrittenWork"
14,DBPEDIA_ID/Archaic_(comics),"Comic,Work,WrittenWork"
15,DBPEDIA_ID/Baribari_Legend,"Comic,Work,Manga,WrittenWork"
16,DBPEDIA_ID/Barrage_(manga),"Comic,Work,Manga,WrittenWork"
17,DBPEDIA_ID/Blood:_A_Tale,"Comic,Work,WrittenWork"
18,DBPEDIA_ID/Bobo_(Italian_comics),"ComicStrip,Comic,Work,WrittenWork"
19,DBPEDIA_ID/Bobobo-bo_Bo-bobo,"Comic,Work,Manga,WrittenWork"
20,DBPEDIA_ID/Crisis_(Fleetway),"Comic,Work,WrittenWork"
21,DBPEDIA_ID/Date_A_Live,"Comic,Work,Manga,WrittenWork"
22,Djustine,"Comic,Work,WrittenWork"
23,DBPEDIA_ID/Doodles_(comics),"ComicStrip,Comic,Work,WrittenWork"
24,DBPEDIA_ID/Fearless_(comics),"Comic,Work,WrittenWork"
25,DBPEDIA_ID/Jaco_the_Galactic_Patrolman,"Comic,Work,Manga,WrittenWork"
26,DBPEDIA_ID/Johnny_the_Homicidal_Maniac,"Comic,Work,WrittenWork"
27,DBPEDIA_ID/Marville_(comics),"Comic,Work,WrittenWork"
28,DBPEDIA_ID/Missing_(novel_series),"Comic,Work,Manga,WrittenWork"
29,DBPEDIA_ID/Remains_(comics),"Comic,Work,WrittenWork"
30,DBPEDIA_ID/Scion_(comics),"Comic,Work,WrittenWork"
31,DBPEDIA_ID/Shoe_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
32,DBPEDIA_ID/Sola_(manga),"Comic,Work,Manga,WrittenWork"
33,DBPEDIA_ID/Swamp_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
34,DBPEDIA_ID/Adventure_into_Fear,"Comic,Work,WrittenWork"
35,DBPEDIA_ID/Again!_(manga),"Comic,Work,Manga,WrittenWork"
36,DBPEDIA_ID/Age_of_Bronze_(comics),"Comic,Work,WrittenWork"
37,DBPEDIA_ID/Ai_Yori_Aoshi,"Comic,Work,Manga,WrittenWork"
38,DBPEDIA_ID/Air_(comics),"Comic,Work,WrittenWork"
39,DBPEDIA_ID/Air_(visual_novel),"Comic,Work,Manga,WrittenWork"
40,DBPEDIA_ID/Ally_Sloper,"Comic,Work,WrittenWork"
41,DBPEDIA_ID/Amok_(comics),"Comic,Work,WrittenWork"
42,DBPEDIA_ID/Angel:_After_the_Fall,"Comic,Work,WrittenWork"
43,DBPEDIA_ID/BUMP_(comics),"Comic,Work,WrittenWork"
44,DBPEDIA_ID/Bad_Boy_(comics),"Comic,Work,WrittenWork"
45,DBPEDIA_ID/Baker_Street_(comics),"Comic,Work,WrittenWork"
46,DBPEDIA_ID/Baku_(manga),"Comic,Work,Manga,WrittenWork"
47,DBPEDIA_ID/Batman:_The_Killing_Joke,"Comic,Work,WrittenWork"
48,DBPEDIA_ID/Big_Shot_Comics,"Comic,Work,WrittenWork"
49,DBPEDIA_ID/Black_Knight_(manga),"Comic,Work,Manga,WrittenWork"
50,DBPEDIA_ID/Blackmask_(comic_book),"Comic,Work,WrittenWork"
51,DBPEDIA_ID/Blue_(manga),"Comic,Work,Manga,WrittenWork"
52,DBPEDIA_ID/Blue_Monday_(comics),"Comic,Work,WrittenWork"
53,DBPEDIA_ID/Bodacious_Space_Pirates,"Comic,Work,Manga,WrittenWork"
54,DBPEDIA_ID/Bonk_(video_game_series),"Comic,Work,Manga,WrittenWork"
55,DBPEDIA_ID/Broadside_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
56,DBPEDIA_ID/Candy_(manga),"Comic,Work,Manga,WrittenWork"
57,DBPEDIA_ID/Candy_Candy,"Comic,Work,Manga,WrittenWork"
58,DBPEDIA_ID/Casper_and_the_Spectrals,"Comic,Work,WrittenWork"
59,DBPEDIA_ID/Catwoman:_When_in_Rome,"Comic,Work,WrittenWork"
60,DBPEDIA_ID/Cerebus_the_Aardvark,"Comic,Work,WrittenWork"
61,DBPEDIA_ID/Chameleon_(manga),"Comic,Work,Manga,WrittenWork"
62,DBPEDIA_ID/Clear_(visual_novel),"Comic,Work,Manga,WrittenWork"
63,DBPEDIA_ID/Clerks._(comics),"Comic,Work,WrittenWork"
64,DBPEDIA_ID/Clover_(Toriko_Chiya_manga),"Comic,Work,Manga,WrittenWork"
65,DBPEDIA_ID/Clover_(manga),"Comic,Work,Manga,WrittenWork"
66,DBPEDIA_ID/Committed_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
67,DBPEDIA_ID/Countdown:_Arena,"Comic,Work,WrittenWork"
68,Delicious!,"Comic,Work,Manga,WrittenWork"
69,DBPEDIA_ID/Devi_(comics),"Comic,Work,WrittenWork"
70,DBPEDIA_ID/Dog_eat_Doug,"ComicStrip,Comic,Work,WrittenWork"
71,DBPEDIA_ID/Doll_(manga),"Comic,Work,Manga,WrittenWork"
72,DBPEDIA_ID/Dragon_Knights,"Comic,Work,Manga,WrittenWork"
73,DBPEDIA_ID/Fathom_(comics),"Comic,Work,WrittenWork"
74,DBPEDIA_ID/Fight_Club_2,"Comic,Work,WrittenWork"
75,DBPEDIA_ID/Flame_of_Recca,"Comic,Work,Manga,WrittenWork"
76,DBPEDIA_ID/Gakkō_no_Kaidan_(novel_series),"Comic,Work,Manga,WrittenWork"
77,DBPEDIA_ID/Gakuen_Heaven,"Comic,Work,Manga,WrittenWork"
78,Gantz,"Comic,Work,Manga,WrittenWork"
79,DBPEDIA_ID/Gate_(novel_series),"Comic,Work,Manga,WrittenWork"
80,DBPEDIA_ID/Gear_(Image_Comics),"Comic,Work,WrittenWork"
81,DBPEDIA_ID/Genus_(comics),"Comic,Work,WrittenWork"
82,DBPEDIA_ID/Ghostbusters_(comics),"Comic,Work,WrittenWork"
83,DBPEDIA_ID/Ginban_Kaleidoscope,"Comic,Work,Manga,WrittenWork"
84,DBPEDIA_ID/Gravitation_(manga),"Comic,Work,Manga,WrittenWork"
85,Haré+Guu,"Comic,Work,Manga,WrittenWork"
86,DBPEDIA_ID/Haunted_(Buffy_the_Vampire_Slayer),"Comic,Work,WrittenWork"
87,DBPEDIA_ID/Haunted_(comics),"Comic,Work,WrittenWork"
88,DBPEDIA_ID/Himitsu_no_Akko-chan,"Comic,Work,Manga,WrittenWork"
89,DBPEDIA_ID/Honey_Honey_no_Suteki_na_Bouken,"Comic,Work,Manga,WrittenWork"
90,DBPEDIA_ID/Idol_Defense_Force_Hummingbird,"Comic,Work,Manga,WrittenWork"
91,DBPEDIA_ID/Jim_(comics),"Comic,Work,WrittenWork"
92,DBPEDIA_ID/Karakuri_Dôji_Ultimo,"Comic,Work,Manga,WrittenWork"
93,"DBPEDIA_ID/Kobo,_the_Li'l_Rascal","Comic,Work,Manga,WrittenWork"
94,DBPEDIA_ID/Kryptonite_(story_arc),"Comic,Work,WrittenWork"
95,DBPEDIA_ID/Liar_Game,"Comic,Work,Manga,WrittenWork"
96,DBPEDIA_ID/Liselotte_&_Witch's_Forest,"Comic,Work,Manga,WrittenWork"
97,DBPEDIA_ID/Local_(comics),"Comic,Work,WrittenWork"
98,DBPEDIA_ID/Magical_Girl_Lyrical_Nanoha_ViVid,"Comic,Work,Manga,WrittenWork"
99,DBPEDIA_ID/Michel_Vaillant,"Comic,Work,WrittenWork"
100,DBPEDIA_ID/Mister_X_(Vortex),"Comic,Work,WrittenWork"
101,DBPEDIA_ID/Miyuki-chan_in_Wonderland,"Comic,Work,Manga,WrittenWork"
102,DBPEDIA_ID/Moonshadow_(comics),"Comic,Work,WrittenWork"
103,DBPEDIA_ID/Mystic_(comics),"Comic,Work,WrittenWork"
104,DBPEDIA_ID/Nana_to_Kaoru,"Comic,Work,Manga,WrittenWork"
105,DBPEDIA_ID/No._5_(manga),"Comic,Work,Manga,WrittenWork"
106,DBPEDIA_ID/Oniisama_e...,"Comic,Work,Manga,WrittenWork"
107,DBPEDIA_ID/Otherworld_(DC_Comics),"Comic,Work,WrittenWork"
108,DBPEDIA_ID/Papyrus_(comics),"Comic,Work,WrittenWork"
109,DBPEDIA_ID/Pepito_(comics),"Comic,Work,WrittenWork"
110,DBPEDIA_ID/Pineapple_Army,"Comic,Work,Manga,WrittenWork"
111,Pita-Ten,"Comic,Work,Manga,WrittenWork"
112,Plop!,"Comic,Work,WrittenWork"
113,DBPEDIA_ID/Plop:_The_Hairless_Elbonian,"ComicStrip,Comic,Work,WrittenWork"
114,DBPEDIA_ID/Point_Blank_(comics),"Comic,Work,WrittenWork"
115,DBPEDIA_ID/Pon_Pon,"Comic,Work,WrittenWork"
116,DBPEDIA_ID/Queen_Margot_(comics),"Comic,Work,WrittenWork"
117,Riki-Oh,"Comic,Work,Manga,WrittenWork"
118,DBPEDIA_ID/Samurai_Deeper_Kyo,"Comic,Work,Manga,WrittenWork"
119,DBPEDIA_ID/Sangokushi_(manga),"Comic,Work,Manga,WrittenWork"
120,DBPEDIA_ID/Saurians:_Unnatural_Selection,"Comic,Work,WrittenWork"
121,DBPEDIA_ID/Secret_Wars_II,"Comic,Work,WrittenWork"
122,DBPEDIA_ID/Shakugan_no_Shana,"Comic,Work,Manga,WrittenWork"
123,DBPEDIA_ID/Silver_Star_(comics),"Comic,Work,WrittenWork"
124,DBPEDIA_ID/Slam_Dunk_(manga),"Comic,Work,Manga,WrittenWork"
125,DBPEDIA_ID/Snake_Tales,"ComicStrip,Comic,Work,WrittenWork"
126,DBPEDIA_ID/Spawn:_Godslayer,"Comic,Work,WrittenWork"
127,DBPEDIA_ID/Strangers_(Malibu_Comics),"Comic,Work,WrittenWork"
128,DBPEDIA_ID/Sukeban_Deka,"Comic,Work,Manga,WrittenWork"
129,DBPEDIA_ID/Suki:_A_Like_Story,"Comic,Work,Manga,WrittenWork"
130,DBPEDIA_ID/Taboo_(comics),"Comic,Work,WrittenWork"
131,DBPEDIA_ID/Tales_of_the_Green_Beret,"ComicStrip,Comic,Work,WrittenWork"
132,DBPEDIA_ID/Tammy_(comics),"Comic,Work,WrittenWork"
133,DBPEDIA_ID/The_Adventures_of_Bob_Hope,"Comic,Work,WrittenWork"
134,DBPEDIA_ID/The_Adventures_of_Pussycat,"Comic,Work,WrittenWork"
135,DBPEDIA_ID/The_Batman_Adventures:_Mad_Love,"Comic,Work,WrittenWork"
136,DBPEDIA_ID/The_Big_Book_Of,"Comic,Work,WrittenWork"
137,DBPEDIA_ID/The_Crew_(comics),"Comic,Work,WrittenWork"
138,DBPEDIA_ID/The_Fountain_(comics),"Comic,Work,WrittenWork"
139,DBPEDIA_ID/The_Guilty_(novel),"Comic,Work,Manga,WrittenWork"
140,DBPEDIA_ID/The_Losers_(comics),"Comic,Work,WrittenWork"
141,DBPEDIA_ID/The_Massive_(comics),"Comic,Work,WrittenWork"
142,DBPEDIA_ID/The_One_I_Love_(manga),"Comic,Work,Manga,WrittenWork"
143,DBPEDIA_ID/The_Real_Ghostbusters_(comics),"Comic,Work,WrittenWork"
144,DBPEDIA_ID/The_Spire_(comics),"Comic,Work,WrittenWork"
145,DBPEDIA_ID/The_Transformers:_Headmasters,"Comic,Work,WrittenWork"
146,DBPEDIA_ID/The_Unwritten,"Comic,Work,WrittenWork"
147,DBPEDIA_ID/Tough_(manga),"Comic,Work,Manga,WrittenWork"
148,DBPEDIA_ID/Trekker_(comics),"Comic,Work,WrittenWork"
149,DBPEDIA_ID/Trident_(UK_comics),"Comic,Work,WrittenWork"
150,DBPEDIA_ID/True_Love_(manga),"Comic,Work,Manga,WrittenWork"
151,"DBPEDIA_ID/Truth:_Red,_White_&_Black","Comic,Work,WrittenWork"
152,DBPEDIA_ID/Uncle_Sam_(Vertigo),"Comic,Work,WrittenWork"
153,DBPEDIA_ID/Underbar_Summer,"Comic,Work,Manga,WrittenWork"
154,DBPEDIA_ID/Welcome_to_the_N.H.K.,"Comic,Work,Manga,WrittenWork"
155,DBPEDIA_ID/What_If_(comics),"Comic,Work,WrittenWork"
156,DBPEDIA_ID/World_War_III_(DC_Comics),"Comic,Work,WrittenWork"
157,DBPEDIA_ID/X-Men:_First_Class_(comics),"Comic,Work,WrittenWork"
158,DBPEDIA_ID/X-Men:_Legacy,"Comic,Work,WrittenWork"
159,DBPEDIA_ID/X-Men:_Regenesis,"Comic,Work,WrittenWork"
160,DBPEDIA_ID/X-Men_(comic_book),"Comic,Work,WrittenWork"
