,entity,classes
0,DirkJan,"ComicStrip,Comic,Work,WrittenWork"
1,DBPEDIA_ID/Bobo_(Italian_comics),"ComicStrip,Comic,Work,WrittenWork"
2,DBPEDIA_ID/Doodles_(comics),"ComicStrip,Comic,Work,WrittenWork"
3,DBPEDIA_ID/Shoe_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
4,DBPEDIA_ID/Swamp_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
5,DBPEDIA_ID/Broadside_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
6,DBPEDIA_ID/Committed_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
7,DBPEDIA_ID/Dog_eat_Doug,"ComicStrip,Comic,Work,WrittenWork"
8,DBPEDIA_ID/Plop:_The_Hairless_Elbonian,"ComicStrip,Comic,Work,WrittenWork"
9,DBPEDIA_ID/Snake_Tales,"ComicStrip,Comic,Work,WrittenWork"
10,DBPEDIA_ID/Tales_of_the_Green_Beret,"ComicStrip,Comic,Work,WrittenWork"
11,Meg!,"ComicStrip,Comic,Work,WrittenWork"
12,DBPEDIA_ID/Smudge_(comics),"ComicStrip,Comic,Work,WrittenWork"
13,DBPEDIA_ID/Speed_Bump,"ComicStrip,Comic,Work,WrittenWork"
14,DBPEDIA_ID/Those_Were_the_Days_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
15,DBPEDIA_ID/Fiddle_O_Diddle,"ComicStrip,Comic,Work,WrittenWork"
16,DBPEDIA_ID/Friday_Foster,"ComicStrip,Comic,Work,WrittenWork"
17,DBPEDIA_ID/It_Happened_in_Canada,"ComicStrip,Comic,Work,WrittenWork"
18,DBPEDIA_ID/Geech_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
19,DBPEDIA_ID/Latigo_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
20,DBPEDIA_ID/Skyroads_(comics),"ComicStrip,Comic,Work,WrittenWork"
21,DBPEDIA_ID/Teenage_Mutant_Ninja_Turtles_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
22,DBPEDIA_ID/The_Buckets,"ComicStrip,Comic,Work,WrittenWork"
23,DBPEDIA_ID/Everyday_People_Cartoons,"ComicStrip,Comic,Work,WrittenWork"
24,DBPEDIA_ID/Lost_Consonants,"ComicStrip,Comic,Work,WrittenWork"
25,DBPEDIA_ID/Biffen_och_Bananen,"ComicStrip,Comic,Work,WrittenWork"
26,DBPEDIA_ID/The_5th_Wave_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
27,DBPEDIA_ID/Weltschmerz_(comics),"ComicStrip,Comic,Work,WrittenWork"
28,DBPEDIA_ID/Mister_Boffo,"ComicStrip,Comic,Work,WrittenWork"
29,DBPEDIA_ID/Thorn_(comic_strip),"ComicStrip,Comic,Work,WrittenWork"
30,DBPEDIA_ID/The_Avridge_Farm,"ComicStrip,Comic,Work,WrittenWork"
