,entity,classes
0,DBPEDIA_ID/Barb_Wire,"ComicsCharacter,Person,FictionalCharacter,Agent"
1,Batman,"ComicsCharacter,Person,FictionalCharacter,Agent"
2,DBPEDIA_ID/Captain_America,"ComicsCharacter,Person,FictionalCharacter,Agent"
3,DBPEDIA_ID/Clark_Kent,"ComicsCharacter,Person,FictionalCharacter,Agent"
4,Galactus,"ComicsCharacter,Person,FictionalCharacter,Agent"
5,DBPEDIA_ID/Iceman_(comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
6,DBPEDIA_ID/Jean_Grey,"ComicsCharacter,Person,FictionalCharacter,Agent"
7,DBPEDIA_ID/Judge_Dredd,"ComicsCharacter,Person,FictionalCharacter,Agent"
8,DBPEDIA_ID/Lex_Luthor,"ComicsCharacter,Person,FictionalCharacter,Agent"
9,DBPEDIA_ID/Lois_Lane,"ComicsCharacter,Person,FictionalCharacter,Agent"
10,Obelix,"ComicsCharacter,Person,FictionalCharacter,Agent"
11,DBPEDIA_ID/Professor_X,"ComicsCharacter,Person,FictionalCharacter,Agent"
12,DBPEDIA_ID/Rachel_Summers,"ComicsCharacter,Person,FictionalCharacter,Agent"
13,DBPEDIA_ID/Sam_&_Max,"ComicsCharacter,Person,FictionalCharacter,Agent"
14,Shang-Chi,"ComicsCharacter,Person,FictionalCharacter,Agent"
15,DBPEDIA_ID/Skuld_(Oh_My_Goddess!),"ComicsCharacter,Person,AnimangaCharacter,FictionalCharacter,Agent"
16,Spider-Man,"ComicsCharacter,Person,FictionalCharacter,Agent"
17,Superman,"ComicsCharacter,Person,FictionalCharacter,Agent"
18,DBPEDIA_ID/Joker_(comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
19,Marvelman,"ComicsCharacter,Person,FictionalCharacter,Agent"
20,DBPEDIA_ID/Red_Skull,"ComicsCharacter,Person,FictionalCharacter,Agent"
21,DBPEDIA_ID/Roger_Mellie,"ComicsCharacter,Person,FictionalCharacter,Agent"
22,DBPEDIA_ID/Foxglove_(DC_Comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
23,DBPEDIA_ID/Mister_Fantastic,"ComicsCharacter,Person,FictionalCharacter,Agent"
24,DBPEDIA_ID/Red_Sonja,"ComicsCharacter,Person,FictionalCharacter,Agent"
25,DBPEDIA_ID/Spectre_(comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
26,DBPEDIA_ID/Uncle_Ben,"ComicsCharacter,Person,FictionalCharacter,Agent"
27,DBPEDIA_ID/Baron_Blood,"ComicsCharacter,Person,FictionalCharacter,Agent"
28,DBPEDIA_ID/Bobo_(Swedish_comics),"ComicsCharacter,Person,FictionalCharacter,Agent"
